"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty45041","Florence County, SC",0.2667
"cty47135","Perry County, TN",0.2665
"cty05029","Conway County, AR",0.2664
"cty29035","Carter County, MO",0.2664
"cty13201","Miller County, GA",0.2663
"cty28077","Lawrence County, MS",0.2663
"cty01045","Dale County, AL",0.2662
"cty37073","Gates County, NC",0.2662
"cty21081","Grant County, KY",0.2661
"cty40055","Greer County, OK",0.2661
"cty24019","Dorchester County, MD",0.2661
"cty01069","Houston County, AL",0.266
"cty13257","Stephens County, GA",0.2659
"cty13207","Monroe County, GA",0.2657
"cty48359","Oldham County, TX",0.2656
"cty05043","Drew County, AR",0.2656
"cty47079","Henry County, TN",0.2656
"cty40021","Cherokee County, OK",0.2654
"cty13023","Bleckley County, GA",0.2654
"cty48101","Cottle County, TX",0.2654
"cty05119","Pulaski County, AR",0.2652
"cty28105","Oktibbeha County, MS",0.2652
"cty48133","Eastland County, TX",0.2651
"cty45007","Anderson County, SC",0.2649
"cty21213","Simpson County, KY",0.2647
"cty40125","Pottawatomie County, OK",0.2643
"cty18149","Starke County, IN",0.2643
"cty47139","Polk County, TN",0.2643
"cty29215","Texas County, MO",0.2642
"cty05027","Columbia County, AR",0.2641
"cty40085","Love County, OK",0.2639
"cty21057","Cumberland County, KY",0.2638
"cty04012","La Paz County, AZ",0.2636
"cty40019","Carter County, OK",0.2636
"cty35061","Valencia County, NM",0.2635
"cty40097","Mayes County, OK",0.2634
"cty40139","Texas County, OK",0.2634
"cty48029","Bexar County, TX",0.2633
"cty48329","Midland County, TX",0.2631
"cty28081","Lee County, MS",0.2629
"cty01061","Geneva County, AL",0.2629
"cty05055","Greene County, AR",0.2628
"cty48141","El Paso County, TX",0.2627
"cty48331","Milam County, TX",0.2627
"cty40075","Kiowa County, OK",0.2625
"cty72071","Isabela Municipio, PR",0.2623
"cty06029","Kern County, CA",0.2622
"cty13309","Wheeler County, GA",0.2622
"cty01033","Colbert County, AL",0.262
"cty30087","Rosebud County, MT",0.2618
"cty13091","Dodge County, GA",0.2617
"cty51036","Charles City County, VA",0.2617
"cty40095","Marshall County, OK",0.2613
"cty13125","Glascock County, GA",0.2613
"cty13009","Baldwin County, GA",0.2613
"cty37071","Gaston County, NC",0.2612
"cty12031","Duval County, FL",0.2612
"cty47111","Macon County, TN",0.261
"cty48347","Nacogdoches County, TX",0.2608
"cty51147","Prince Edward County, VA",0.2607
"cty40115","Ottawa County, OK",0.2605
"cty48089","Colorado County, TX",0.2604
"cty12013","Calhoun County, FL",0.2604
"cty47017","Carroll County, TN",0.2601
"cty08087","Morgan County, CO",0.2601
"cty01029","Cleburne County, AL",0.2597
"cty40045","Ellis County, OK",0.2596
"cty47061","Grundy County, TN",0.2595
"cty47177","Warren County, TN",0.2595
"cty21031","Butler County, KY",0.2594
"cty20019","Chautauqua County, KS",0.2594
"cty28045","Hancock County, MS",0.2593
"cty48289","Leon County, TX",0.2593
"cty08101","Pueblo County, CO",0.2592
"cty01079","Lawrence County, AL",0.2592
"cty21011","Bath County, KY",0.2591
"cty37075","Graham County, NC",0.2591
"cty47037","Davidson County, TN",0.259
"cty48051","Burleson County, TX",0.2589
"cty05071","Johnson County, AR",0.2588
"cty28003","Alcorn County, MS",0.2587
"cty05129","Searcy County, AR",0.2587
"cty40037","Creek County, OK",0.2586
"cty47161","Stewart County, TN",0.2586
"cty37051","Cumberland County, NC",0.2585
"cty48093","Comanche County, TX",0.2585
"cty47077","Henderson County, TN",0.2582
"cty48067","Cass County, TX",0.258
"cty29079","Grundy County, MO",0.2578
"cty72085","Las Piedras Municipio, PR",0.2578
"cty01073","Jefferson County, AL",0.2577
"cty13147","Hart County, GA",0.2577
"cty40149","Washita County, OK",0.2577
"cty51049","Cumberland County, VA",0.2577
"cty40077","Latimer County, OK",0.2576
"cty05141","Van Buren County, AR",0.2576
"cty20093","Kearny County, KS",0.2576
"cty02158","Kusilvak Census Area, AK",0.2575
"cty29221","Washington County, MO",0.2574
"cty20125","Montgomery County, KS",0.2573
"cty01127","Walker County, AL",0.2573
"cty48485","Wichita County, TX",0.2571
"cty72005","Aguadilla Municipio, PR",0.2571
"cty01051","Elmore County, AL",0.2571
"cty35007","Colfax County, NM",0.2571
"cty37173","Swain County, NC",0.257
"cty06031","Kings County, CA",0.2569
"cty12133","Washington County, FL",0.2568
"cty37141","Pender County, NC",0.2566
"cty48337","Montague County, TX",0.2566
"cty34011","Cumberland County, NJ",0.2565
"cty48183","Gregg County, TX",0.2564
"cty21203","Rockcastle County, KY",0.2563
"cty05099","Nevada County, AR",0.2563
"cty21099","Hart County, KY",0.2563
"cty37127","Nash County, NC",0.2562
"cty21053","Clinton County, KY",0.2562
"cty48179","Gray County, TX",0.2562
"cty37145","Person County, NC",0.2561
"cty35006","Cibola County, NM",0.2557
"cty47041","DeKalb County, TN",0.2554
"cty37077","Granville County, NC",0.2552
"cty12075","Levy County, FL",0.2549
"cty05051","Garland County, AR",0.2548
"cty35031","McKinley County, NM",0.2547
"cty21235","Whitley County, KY",0.2547
"cty13059","Clarke County, GA",0.2545
"cty48027","Bell County, TX",0.2543
"cty48441","Taylor County, TX",0.2542
"cty12121","Suwannee County, FL",0.2542
"cty18041","Fayette County, IN",0.2541
"cty20061","Geary County, KS",0.2541
"cty72021","Bayamon Municipio, PR",0.254
"cty05059","Hot Spring County, AR",0.2539
"cty29023","Butler County, MO",0.2537
"cty39047","Fayette County, OH",0.2536
"cty48391","Refugio County, TX",0.2536
"cty47169","Trousdale County, TN",0.2535
"cty48499","Wood County, TX",0.2535
"cty37163","Sampson County, NC",0.2534
"cty47081","Hickman County, TN",0.2534
"cty01027","Clay County, AL",0.2532
"cty29095","Jackson County, MO",0.2528
"cty18117","Orange County, IN",0.2528
"cty08089","Otero County, CO",0.2528
"cty40099","Murray County, OK",0.2527
"cty39131","Pike County, OH",0.2527
"cty40005","Atoka County, OK",0.2526
"cty06107","Tulare County, CA",0.2526
"cty47063","Hamblen County, TN",0.2522
"cty05097","Montgomery County, AR",0.2522
"cty30035","Glacier County, MT",0.2519
"cty32019","Lyon County, NV",0.2519
"cty12055","Highlands County, FL",0.2519
"cty53021","Franklin County, WA",0.2518
"cty22113","Vermilion Parish, LA",0.2514
"cty21183","Ohio County, KY",0.2514
"cty47025","Claiborne County, TN",0.2513
"cty47143","Rhea County, TN",0.2509
"cty47013","Campbell County, TN",0.2508
"cty05133","Sevier County, AR",0.2507
"cty18093","Lawrence County, IN",0.2505
"cty13115","Floyd County, GA",0.2505
"cty47131","Obion County, TN",0.2504
"cty37117","Martin County, NC",0.2504
"cty01071","Jackson County, AL",0.2503
"cty48233","Hutchinson County, TX",0.2503
"cty13121","Fulton County, GA",0.2501
"cty01001","Autauga County, AL",0.2501
"cty21033","Caldwell County, KY",0.25
"cty48161","Freestone County, TX",0.25
"cty13031","Bulloch County, GA",0.2499
"cty05089","Marion County, AR",0.2497
"cty01095","Marshall County, AL",0.2496
"cty48483","Wheeler County, TX",0.2496
"cty35017","Grant County, NM",0.2495
"cty21137","Lincoln County, KY",0.2493
"cty48181","Grayson County, TX",0.2492
"cty48325","Medina County, TX",0.2492
"cty51193","Westmoreland County, VA",0.2492
"cty37159","Rowan County, NC",0.2491
"cty12033","Escambia County, FL",0.249
"cty12065","Jefferson County, FL",0.249
"cty05109","Pike County, AR",0.2488
"cty51700","Newport News city, VA",0.2487
"cty18155","Switzerland County, IN",0.2487
"cty37139","Pasquotank County, NC",0.2485
"cty29109","Lawrence County, MO",0.2485
"cty31173","Thurston County, NE",0.2483
"cty35045","San Juan County, NM",0.2483
"cty37147","Pitt County, NC",0.2483
"cty47055","Giles County, TN",0.2481
"cty04027","Yuma County, AZ",0.248
"cty13157","Jackson County, GA",0.248
"cty37027","Caldwell County, NC",0.2479
"cty22125","West Feliciana Parish, LA",0.2479
"cty21233","Webster County, KY",0.2475
"cty40035","Craig County, OK",0.2474
"cty29131","Miller County, MO",0.2474
"cty21085","Grayson County, KY",0.2474
"cty40071","Kay County, OK",0.2473
"cty40069","Johnston County, OK",0.2473
"cty51183","Sussex County, VA",0.2472
"cty40105","Nowata County, OK",0.247
"cty37013","Beaufort County, NC",0.2469
"cty45083","Spartanburg County, SC",0.2469
"cty21141","Logan County, KY",0.2469
"cty48139","Ellis County, TX",0.2467
"cty12083","Marion County, FL",0.2466
"cty29123","Madison County, MO",0.2466
"cty48379","Rains County, TX",0.2466
"cty29105","Laclede County, MO",0.2465
"cty17183","Vermilion County, IL",0.2464
"cty01115","St. Clair County, AL",0.2464
"cty48361","Orange County, TX",0.2463
"cty29017","Bollinger County, MO",0.2463
"cty48423","Smith County, TX",0.2462
"cty47005","Benton County, TN",0.2462
"cty37161","Rutherford County, NC",0.2461
"cty29013","Bates County, MO",0.2461
"cty05025","Cleveland County, AR",0.2461
"cty21063","Elliott County, KY",0.2459
"cty48281","Lampasas County, TX",0.2457
"cty48471","Walker County, TX",0.2456
"cty18009","Blackford County, IN",0.2454
"cty17115","Macon County, IL",0.2454
"cty45055","Kershaw County, SC",0.2453
"cty48041","Brazos County, TX",0.2451
"cty53077","Yakima County, WA",0.245
"cty48193","Hamilton County, TX",0.2448
"cty12131","Walton County, FL",0.2446
"cty48467","Van Zandt County, TX",0.2444
"cty48097","Cooke County, TX",0.2443
"cty51053","Dinwiddie County, VA",0.2443
"cty72041","Cidra Municipio, PR",0.2441
"cty72043","Coamo Municipio, PR",0.2441
"cty26121","Muskegon County, MI",0.244
"cty13011","Banks County, GA",0.244
"cty21135","Lewis County, KY",0.244
"cty05101","Newton County, AR",0.2439
"cty48243","Jeff Davis County, TX",0.2438
"cty39079","Jackson County, OH",0.2437
"cty20207","Woodson County, KS",0.2437
"cty35013","Doña Ana County, NM",0.2436
"cty40065","Jackson County, OK",0.2436
"cty48265","Kerr County, TX",0.2435
"cty06019","Fresno County, CA",0.2434
"cty48021","Bastrop County, TX",0.2434
"cty48501","Yoakum County, TX",0.2433
"cty05135","Sharp County, AR",0.2433
"cty13231","Pike County, GA",0.2433
"cty51045","Craig County, VA",0.2431
"cty13101","Echols County, GA",0.243
"cty55079","Milwaukee County, WI",0.2429
"cty31043","Dakota County, NE",0.2428
"cty40033","Cotton County, OK",0.2427
"cty13013","Barrow County, GA",0.2427
"cty37095","Hyde County, NC",0.2427
"cty48223","Hopkins County, TX",0.2427
"cty35035","Otero County, NM",0.2426
"cty39105","Meigs County, OH",0.2426
"cty47059","Greene County, TN",0.2425
"cty51650","Hampton city, VA",0.2424
"cty22093","St. James Parish, LA",0.2424
"cty51117","Mecklenburg County, VA",0.2421
"cty17163","St. Clair County, IL",0.242
"cty47115","Marion County, TN",0.242
"cty39071","Highland County, OH",0.242
"cty29039","Cedar County, MO",0.242
"cty47129","Morgan County, TN",0.242
"cty47185","White County, TN",0.2419
"cty21023","Bracken County, KY",0.2418
"cty01049","DeKalb County, AL",0.2415
"cty45015","Berkeley County, SC",0.2415
"cty26163","Wayne County, MI",0.2415
"cty29067","Douglas County, MO",0.2415
"cty48207","Haskell County, TX",0.2415
"cty48167","Galveston County, TX",0.2414
"cty45091","York County, SC",0.2413
"cty37069","Franklin County, NC",0.2413
"cty21087","Green County, KY",0.2413
"cty05015","Carroll County, AR",0.2413
"cty72025","Caguas Municipio, PR",0.2412
"cty48473","Waller County, TX",0.241
"cty13111","Fannin County, GA",0.241
"cty13311","White County, GA",0.241
"cty16027","Canyon County, ID",0.2409
"cty05105","Perry County, AR",0.2409
"cty40109","Oklahoma County, OK",0.2408
"cty08001","Adams County, CO",0.2408
"cty37191","Wayne County, NC",0.2408
"cty28033","DeSoto County, MS",0.2407
"cty21003","Allen County, KY",0.2404
"cty47107","McMinn County, TN",0.2404
"cty13123","Gilmer County, GA",0.2404
"cty45019","Charleston County, SC",0.2403
"cty05063","Independence County, AR",0.2403
"cty04023","Santa Cruz County, AZ",0.2402
"cty06039","Madera County, CA",0.2401
"cty48299","Llano County, TX",0.2401
"cty30003","Big Horn County, MT",0.2398
"cty20057","Ford County, KS",0.2397
"cty47023","Chester County, TN",0.2395
"cty37103","Jones County, NC",0.2394
"cty37023","Burke County, NC",0.2394
"cty29175","Randolph County, MO",0.2393
"cty22057","Lafourche Parish, LA",0.2392
"cty32013","Humboldt County, NV",0.2392
"cty47071","Hardin County, TN",0.239
"cty39115","Morgan County, OH",0.2388
"cty48053","Burnet County, TX",0.2388
"cty04015","Mohave County, AZ",0.2385
"cty47125","Montgomery County, TN",0.2385
"cty51029","Buckingham County, VA",0.2385
"cty21231","Wayne County, KY",0.2384
"cty21083","Graves County, KY",0.2383
"cty37105","Lee County, NC",0.2382
"cty72019","Barranquitas Municipio, PR",0.2382
"cty08065","Lake County, CO",0.2381
"cty47091","Johnson County, TN",0.2381
"cty18135","Randolph County, IN",0.2378
"cty45079","Richland County, SC",0.2376
"cty39001","Adams County, OH",0.2375
"cty40025","Cimarron County, OK",0.2374
"cty47067","Hancock County, TN",0.2374
"cty17101","Lawrence County, IL",0.2373
"cty48385","Real County, TX",0.2372
"cty05137","Stone County, AR",0.2372
"cty39023","Clark County, OH",0.2372
"cty47085","Humphreys County, TN",0.2371
"cty38005","Benson County, ND",0.237
"cty22005","Ascension Parish, LA",0.237
"cty51135","Nottoway County, VA",0.2368
"cty48099","Coryell County, TX",0.2367
"cty24039","Somerset County, MD",0.2367
"cty39101","Marion County, OH",0.2366
"cty72117","Rincon Municipio, PR",0.2364
"cty17127","Massac County, IL",0.2361
"cty32023","Nye County, NV",0.2361
"cty47039","Decatur County, TN",0.2361
"cty13053","Chattahoochee County, GA",0.236
"cty13077","Coweta County, GA",0.236
"cty18071","Jackson County, IN",0.236
"cty12111","St. Lucie County, FL",0.2358
"cty13227","Pickens County, GA",0.2358
"cty47011","Bradley County, TN",0.2355
"cty72115","Quebradillas Municipio, PR",0.2354
"cty21177","Muhlenberg County, KY",0.2354
"cty48399","Runnels County, TX",0.2353
"cty13195","Madison County, GA",0.2353
"cty47119","Maury County, TN",0.2353
"cty47065","Hamilton County, TN",0.2352
"cty18119","Owen County, IN",0.2352
"cty48447","Throckmorton County, TX",0.2351
"cty05049","Fulton County, AR",0.235
"cty21191","Pendleton County, KY",0.2349
"cty35051","Sierra County, NM",0.2349
"cty08025","Crowley County, CO",0.2349
"cty47117","Marshall County, TN",0.2349
"cty29209","Stone County, MO",0.2348
"cty20021","Cherokee County, KS",0.2347
"cty21043","Carter County, KY",0.2347
"cty51131","Northampton County, VA",0.2347
"cty01075","Lamar County, AL",0.2346
"cty37049","Craven County, NC",0.2345
"cty37111","McDowell County, NC",0.2345
"cty16047","Gooding County, ID",0.2344
"cty40123","Pontotoc County, OK",0.2343
"cty13103","Effingham County, GA",0.2343
"cty05075","Lawrence County, AR",0.2342
"cty13169","Jones County, GA",0.2341
"cty05085","Lonoke County, AR",0.2341
"cty47027","Clay County, TN",0.2341
"cty39127","Perry County, OH",0.2339
"cty41045","Malheur County, OR",0.2339
"cty48295","Lipscomb County, TX",0.2338
"cty48201","Harris County, TX",0.2337
"cty02164","Lake and Peninsula Borough, AK",0.2336
"cty37151","Randolph County, NC",0.2336
"cty17055","Franklin County, IL",0.2336
"cty51139","Page County, VA",0.2336
"cty51103","Lancaster County, VA",0.2333
"cty05023","Cleburne County, AR",0.2332
"cty17047","Edwards County, IL",0.2332
"cty29149","Oregon County, MO",0.2327
"cty24045","Wicomico County, MD",0.2327
"cty47049","Fentress County, TN",0.2325
"cty28015","Carroll County, MS",0.2322
"cty20099","Labette County, KS",0.232
"cty37157","Rockingham County, NC",0.2319
"cty28141","Tishomingo County, MS",0.2318
"cty05145","White County, AR",0.2317
"cty17051","Fayette County, IL",0.2317
"cty51083","Halifax County, VA",0.2317
"cty05131","Sebastian County, AR",0.2313
"cty13297","Walton County, GA",0.2313
"cty45077","Pickens County, SC",0.2313
"cty29141","Morgan County, MO",0.2311
"cty30039","Granite County, MT",0.2311
"cty32003","Clark County, NV",0.231
"cty08043","Fremont County, CO",0.231
"cty12059","Holmes County, FL",0.2309
"cty08123","Weld County, CO",0.2308
"cty48077","Clay County, TX",0.2308
"cty39003","Allen County, OH",0.2308
"cty39145","Scioto County, OH",0.2306
"cty48435","Sutton County, TX",0.2302
"cty21013","Bell County, KY",0.2302
"cty47089","Jefferson County, TN",0.2301
"cty51089","Henry County, VA",0.2301
"cty17091","Kankakee County, IL",0.2301
"cty47181","Wayne County, TN",0.23
"cty29211","Sullivan County, MO",0.23
"cty47031","Coffee County, TN",0.2299
"cty13137","Habersham County, GA",0.2298
"cty21167","Mercer County, KY",0.2297
"cty48345","Motley County, TX",0.2295
"cty16067","Minidoka County, ID",0.2294
"cty01083","Limestone County, AL",0.2293
"cty41049","Morrow County, OR",0.2293
"cty29169","Pulaski County, MO",0.2291
"cty47021","Cheatham County, TN",0.2291
"cty21199","Pulaski County, KY",0.2289
"cty18033","DeKalb County, IN",0.2288
"cty20173","Sedgwick County, KS",0.2287
"cty28071","Lafayette County, MS",0.2287
"cty48251","Johnson County, TX",0.2285
"cty54023","Grant County, WV",0.2285
"cty13039","Camden County, GA",0.2283
"cty47099","Lawrence County, TN",0.2283
"cty47159","Smith County, TN",0.2283
"cty40117","Pawnee County, OK",0.2282
"cty21061","Edmonson County, KY",0.228
"cty48287","Lee County, TX",0.2279
"cty17165","Saline County, IL",0.2277
"cty29097","Jasper County, MO",0.2276
"cty18175","Washington County, IN",0.2276
"cty28121","Rankin County, MS",0.2275
"cty18133","Putnam County, IN",0.2273
"cty21107","Hopkins County, KY",0.2273
"cty21187","Owen County, KY",0.2272
"cty51143","Pittsylvania County, VA",0.2269
"cty37019","Brunswick County, NC",0.2268
"cty29091","Howell County, MO",0.2268
"cty29195","Saline County, MO",0.2267
"cty17069","Hardin County, IL",0.2267
"cty48081","Coke County, TX",0.2265
"cty05087","Madison County, AR",0.2263
"cty16073","Owyhee County, ID",0.2263
"cty05065","Izard County, AR",0.2263
"cty18161","Union County, IN",0.2263
"cty47183","Weakley County, TN",0.2261
"cty12005","Bay County, FL",0.226
"cty10001","Kent County, DE",0.226
"cty45051","Horry County, SC",0.2259
"cty01103","Morgan County, AL",0.2258
"cty48439","Tarrant County, TX",0.2258
"cty29021","Buchanan County, MO",0.2258
"cty21045","Casey County, KY",0.2256
"cty18177","Wayne County, IN",0.2256
"cty47035","Cumberland County, TN",0.2255
"cty37039","Cherokee County, NC",0.2255
"cty40137","Stephens County, OK",0.2254
"cty35027","Lincoln County, NM",0.2254
"cty47109","McNairy County, TN",0.2254
"cty48187","Guadalupe County, TX",0.2253
"cty18075","Jay County, IN",0.2253
"cty40049","Garvin County, OK",0.2252
"cty40081","Lincoln County, OK",0.2252
"cty51540","Charlottesville city, VA",0.2252
"cty72091","Manati Municipio, PR",0.2251
"cty53025","Grant County, WA",0.225
"cty20035","Cowley County, KS",0.225
"cty47137","Pickett County, TN",0.225
"cty05031","Craighead County, AR",0.225
"cty04003","Cochise County, AZ",0.2249
"cty29145","Newton County, MO",0.2249
"cty17045","Edgar County, IL",0.2249
"cty45003","Aiken County, SC",0.2246
"cty17025","Clay County, IL",0.2246
"cty05115","Pope County, AR",0.2246
"cty35019","Guadalupe County, NM",0.2246
"cty21111","Jefferson County, KY",0.2245
"cty26021","Berrien County, MI",0.2245
"cty40083","Logan County, OK",0.2245
"cty54047","McDowell County, WV",0.2245
"cty20073","Greenwood County, KS",0.2245
"cty22051","Jefferson Parish, LA",0.2244
"cty24011","Caroline County, MD",0.2244
"cty46007","Bennett County, SD",0.2241
"cty18113","Noble County, IN",0.2236
"cty24033","Prince George's County, MD",0.2234
"cty12067","Lafayette County, FL",0.2234
"cty48503","Young County, TX",0.2233
"cty12081","Manatee County, FL",0.2232
"cty32033","White Pine County, NV",0.2232
"cty37097","Iredell County, NC",0.2232
"cty21237","Wolfe County, KY",0.2231
"cty17143","Peoria County, IL",0.223
"cty05121","Randolph County, AR",0.2229
"cty21065","Estill County, KY",0.2229
"cty72003","Aguada Municipio, PR",0.2228
"cty17017","Cass County, IL",0.2228
"cty48327","Menard County, TX",0.2228
"cty48039","Brazoria County, TX",0.2227
"cty51580","Covington city, VA",0.2227
"cty20191","Sumner County, KS",0.2226
"cty02016","Aleutians West Census Area, AK",0.2226
"cty18095","Madison County, IN",0.2226
"cty40013","Bryan County, OK",0.2225
"cty17151","Pope County, IL",0.2225
"cty39073","Hocking County, OH",0.2224
"cty18035","Delaware County, IN",0.2224
"cty08021","Conejos County, CO",0.2223
"cty53001","Adams County, WA",0.2223
"cty19115","Louisa County, IA",0.2223
"cty21041","Carroll County, KY",0.2217
"cty21173","Montgomery County, KY",0.2217
"cty37063","Durham County, NC",0.2213
"cty16059","Lemhi County, ID",0.2213
"cty51680","Lynchburg city, VA",0.2213
"cty21223","Trimble County, KY",0.2212
"cty47147","Robertson County, TN",0.2211
"cty13139","Hall County, GA",0.2209
"cty22063","Livingston Parish, LA",0.2209
"cty32021","Mineral County, NV",0.2209
"cty21125","Laurel County, KY",0.2209
"cty48357","Ochiltree County, TX",0.2208
"cty26123","Newaygo County, MI",0.2208
"cty21095","Harlan County, KY",0.2207
"cty29167","Polk County, MO",0.2207
"cty18089","Lake County, IN",0.2206
"cty29011","Barton County, MO",0.2206
"cty47149","Rutherford County, TN",0.2205
"cty01031","Coffee County, AL",0.2205
"cty35055","Taos County, NM",0.2204
"cty55001","Adams County, WI",0.2203
"cty39087","Lawrence County, OH",0.2203
"cty29081","Harrison County, MO",0.2203
"cty12095","Orange County, FL",0.2202
"cty51033","Caroline County, VA",0.2201
"cty21225","Union County, KY",0.22
"cty51057","Essex County, VA",0.22
"cty05009","Boone County, AR",0.2199
"cty21149","McLean County, KY",0.2199
"cty13047","Catoosa County, GA",0.2199
"cty22075","Plaquemines Parish, LA",0.2199
"cty21093","Hardin County, KY",0.2198
"cty05007","Benton County, AR",0.2198
"cty29159","Pettis County, MO",0.2197
"cty01081","Lee County, AL",0.2195
"cty21101","Henderson County, KY",0.2195
"cty12069","Lake County, FL",0.2194
"cty39119","Muskingum County, OH",0.2194
"cty48059","Callahan County, TX",0.2194
"cty51630","Fredericksburg city, VA",0.2194
"cty22055","Lafayette Parish, LA",0.2193
"cty39113","Montgomery County, OH",0.2193
"cty41031","Jefferson County, OR",0.2193
"cty16053","Jerome County, ID",0.2193
"cty35001","Bernalillo County, NM",0.2192
"cty12057","Hillsborough County, FL",0.2192
"cty26085","Lake County, MI",0.2192
"cty48043","Brewster County, TX",0.2191
"cty20097","Kiowa County, KS",0.2189
"cty29207","Stoddard County, MO",0.2188
"cty40093","Major County, OK",0.2188
"cty37101","Johnston County, NC",0.2185
"cty39095","Lucas County, OH",0.2184
"cty17031","Cook County, IL",0.2184
"cty39139","Richland County, OH",0.2184
"cty51093","Isle of Wight County, VA",0.2184
"cty49001","Beaver County, UT",0.2183
"cty40039","Custer County, OK",0.2182
"cty29115","Linn County, MO",0.2182
"cty17087","Johnson County, IL",0.2181
"cty20075","Hamilton County, KS",0.218
"cty39049","Franklin County, OH",0.2178
"cty21209","Scott County, KY",0.2178
"cty21027","Breckinridge County, KY",0.2178
"cty12041","Gilchrist County, FL",0.2178
"cty51001","Accomack County, VA",0.2178
"cty40047","Garfield County, OK",0.2176
"cty18055","Greene County, IN",0.2176
"cty21153","Magoffin County, KY",0.2176
"cty29059","Dallas County, MO",0.2176
"cty48023","Baylor County, TX",0.2176
"cty72111","Penuelas Municipio, PR",0.2175
"cty13153","Houston County, GA",0.2174
"cty45013","Beaufort County, SC",0.2174
"cty45073","Oconee County, SC",0.2174
"cty18019","Clark County, IN",0.2173
"cty29187","St. Francois County, MO",0.2173
"cty10005","Sussex County, DE",0.2172
"cty40051","Grady County, OK",0.2172
"cty06047","Merced County, CA",0.2172
"cty39027","Clinton County, OH",0.2172
"cty54043","Lincoln County, WV",0.2172
"cty51105","Lee County, VA",0.2172
"cty49009","Daggett County, UT",0.2167
"cty29225","Webster County, MO",0.2167
"cty47155","Sevier County, TN",0.2166
"cty21051","Clay County, KY",0.2166
"cty18163","Vanderburgh County, IN",0.2165
"cty01133","Winston County, AL",0.2165
"cty51035","Carroll County, VA",0.2163
"cty40129","Roger Mills County, OK",0.2162
"cty08029","Delta County, CO",0.2162
"cty29203","Shannon County, MO",0.2162
"cty37099","Jackson County, NC",0.2161
"cty39135","Preble County, OH",0.2161
"cty21151","Madison County, KY",0.2161
"cty17121","Marion County, IL",0.216
"cty18115","Ohio County, IN",0.216
"cty08033","Dolores County, CO",0.2158
"cty01043","Cullman County, AL",0.2157
"cty21079","Garrard County, KY",0.2157
"cty51071","Giles County, VA",0.2157
"cty02050","Bethel Census Area, AK",0.2155
"cty01009","Blount County, AL",0.2155
"cty18039","Elkhart County, IN",0.2154
"cty29179","Reynolds County, MO",0.2154
"cty29015","Benton County, MO",0.2154
"cty39091","Logan County, OH",0.2153
"cty18139","Rush County, IN",0.2153
"cty18067","Howard County, IN",0.2152
"cty48015","Austin County, TX",0.2152
"cty48087","Collingsworth County, TX",0.2151
"cty29065","Dent County, MO",0.2151
"cty29093","Iron County, MO",0.2151
"cty08109","Saguache County, CO",0.2148
"cty21029","Bullitt County, KY",0.2147
"cty21103","Henry County, KY",0.2147
"cty16063","Lincoln County, ID",0.2147
"cty54065","Morgan County, WV",0.2145
"cty37109","Lincoln County, NC",0.2145
"cty29153","Ozark County, MO",0.2145
"cty16079","Shoshone County, ID",0.2145
"cty13223","Paulding County, GA",0.2144
"cty17061","Greene County, IL",0.2144
"cty45035","Dorchester County, SC",0.2143
"cty13145","Harris County, GA",0.2143
"cty06071","San Bernardino County, CA",0.2142
"cty37115","Madison County, NC",0.2141
"cty20059","Franklin County, KS",0.2141
"cty17171","Scott County, IL",0.214
"cty18091","LaPorte County, IN",0.2138
"cty17065","Hamilton County, IL",0.2137
"cty20205","Wilson County, KS",0.2137
"cty29125","Maries County, MO",0.2136
"cty39015","Brown County, OH",0.2136
"cty06115","Yuba County, CA",0.2135
"cty37009","Ashe County, NC",0.2134
"cty18021","Clay County, IN",0.2134
"cty39117","Morrow County, OH",0.2133
"cty39129","Pickaway County, OH",0.2131
"cty39141","Ross County, OH",0.2131
"cty29063","DeKalb County, MO",0.2129
"cty39065","Hardin County, OH",0.2129
"cty17081","Jefferson County, IL",0.2128
"cty48433","Stonewall County, TX",0.2127
"cty39171","Williams County, OH",0.2127
"cty37133","Onslow County, NC",0.2126
"cty47145","Roane County, TN",0.2125
"cty51820","Waynesboro city, VA",0.2125
"cty29163","Pike County, MO",0.2124
"cty21091","Hancock County, KY",0.2124
"cty20001","Allen County, KS",0.2123
"cty47051","Franklin County, TN",0.2123
"cty51173","Smyth County, VA",0.2123
"cty18065","Henry County, IN",0.2123
"cty48285","Lavaca County, TX",0.2121
"cty04019","Pima County, AZ",0.2119
"cty48431","Sterling County, TX",0.2119
"cty49019","Grand County, UT",0.2119
"cty16039","Elmore County, ID",0.2116
"cty41025","Harney County, OR",0.2115
"cty47073","Hawkins County, TN",0.2113
"cty12129","Wakulla County, FL",0.2113
"cty18145","Shelby County, IN",0.2112
"cty37057","Davidson County, NC",0.2111
"cty49047","Uintah County, UT",0.211
"cty13085","Dawson County, GA",0.2109
"cty05143","Washington County, AR",0.2108
"cty18013","Brown County, IN",0.2108
"cty48497","Wise County, TX",0.2107
"cty20145","Pawnee County, KS",0.2107
"cty39021","Champaign County, OH",0.2105
"cty13083","Dade County, GA",0.2104
"cty37001","Alamance County, NC",0.2103
"cty02275","Wrangell City and Borough, AK",0.2101
"cty51685","Manassas Park city, VA",0.2101
"cty37193","Wilkes County, NC",0.2099
"cty21219","Todd County, KY",0.2098
"cty49025","Kane County, UT",0.2098
"cty21009","Barren County, KY",0.2097
