"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty01113","Russell County, AL",0.3525
"cty28031","Covington County, MS",0.3516
"cty22003","Allen Parish, LA",0.3511
"cty13081","Crisp County, GA",0.3511
"cty40023","Choctaw County, OK",0.3507
"cty28097","Montgomery County, MS",0.3506
"cty28127","Simpson County, MS",0.3505
"cty28061","Jasper County, MS",0.3502
"cty22013","Bienville Parish, LA",0.3502
"cty48395","Robertson County, TX",0.3502
"cty17003","Alexander County, IL",0.3492
"cty22117","Washington Parish, LA",0.3492
"cty22047","Iberville Parish, LA",0.3491
"cty48403","Sabine County, TX",0.3485
"cty13133","Greene County, GA",0.3477
"cty48189","Hale County, TX",0.3477
"cty13253","Seminole County, GA",0.3475
"cty01107","Pickens County, AL",0.3473
"cty13249","Schley County, GA",0.3472
"cty22077","Pointe Coupee Parish, LA",0.347
"cty13255","Spalding County, GA",0.3463
"cty13193","Macon County, GA",0.3451
"cty28019","Choctaw County, MS",0.345
"cty13319","Wilkinson County, GA",0.345
"cty48069","Castro County, TX",0.3449
"cty45039","Fairfield County, SC",0.3448
"cty28147","Walthall County, MS",0.3445
"cty05057","Hempstead County, AR",0.3436
"cty45027","Clarendon County, SC",0.3436
"cty28023","Clarke County, MS",0.3436
"cty48025","Bee County, TX",0.3431
"cty13107","Emanuel County, GA",0.3429
"cty45023","Chester County, SC",0.3429
"cty12047","Hamilton County, FL",0.3427
"cty37091","Hertford County, NC",0.3424
"cty48075","Childress County, TX",0.3423
"cty22069","Natchitoches Parish, LA",0.341
"cty22041","Franklin Parish, LA",0.341
"cty13293","Upson County, GA",0.3409
"cty22127","Winn Parish, LA",0.3408
"cty13173","Lanier County, GA",0.3408
"cty48463","Uvalde County, TX",0.3406
"cty13161","Jeff Davis County, GA",0.3405
"cty21165","Menifee County, KY",0.3404
"cty01025","Clarke County, AL",0.3398
"cty05001","Arkansas County, AR",0.3396
"cty22027","Claiborne Parish, LA",0.3387
"cty28049","Hinds County, MS",0.3383
"cty22029","Concordia Parish, LA",0.3382
"cty48293","Limestone County, TX",0.338
"cty13155","Irwin County, GA",0.3379
"cty13189","McDuffie County, GA",0.3377
"cty13099","Early County, GA",0.3376
"cty13197","Marion County, GA",0.3375
"cty05011","Bradley County, AR",0.3368
"cty13149","Heard County, GA",0.3364
"cty13213","Murray County, GA",0.3363
"cty37131","Northampton County, NC",0.3363
"cty35025","Lea County, NM",0.3361
"cty22045","Iberia Parish, LA",0.336
"cty13225","Peach County, GA",0.336
"cty72143","Vega Alta Municipio, PR",0.3356
"cty01053","Escambia County, AL",0.3355
"cty13021","Bibb County, GA",0.3355
"cty12093","Okeechobee County, FL",0.3354
"cty22017","Caddo Parish, LA",0.3352
"cty28159","Winston County, MS",0.3352
"cty48341","Moore County, TX",0.3347
"cty28129","Smith County, MS",0.3341
"cty40061","Haskell County, OK",0.3338
"cty05095","Monroe County, AR",0.3338
"cty48137","Edwards County, TX",0.3333
"cty48487","Wilbarger County, TX",0.333
"cty35029","Luna County, NM",0.3327
"cty40107","Okfuskee County, OK",0.3326
"cty13087","Decatur County, GA",0.3324
"cty01041","Crenshaw County, AL",0.3324
"cty51740","Portsmouth city, VA",0.3322
"cty13233","Polk County, GA",0.332
"cty13261","Sumter County, GA",0.332
"cty13005","Bacon County, GA",0.3318
"cty48353","Nolan County, TX",0.3317
