"cty","Name","Population_Density_in_2010"
"cty21067","Fayette County, KY",1043
"cty20209","Wyandotte County, KS",1039
"cty42017","Bucks County, PA",1035
"cty48453","Travis County, TX",1034
"cty49011","Davis County, UT",1026
"cty40109","Oklahoma County, OK",1014
"cty42077","Lehigh County, PA",1013
"cty39085","Lake County, OH",1011
"cty72065","Hatillo Municipio, PR",1004
"cty51590","Danville city, VA",1003
"cty21117","Kenton County, KY",996.7
"cty18089","Lake County, IN",994.1
"cty51530","Buena Vista city, VA",991.9
"cty25005","Bristol County, MA",991.3
"cty17089","Kane County, IL",990.8
"cty44003","Kent County, RI",985.9
"cty13059","Clarke County, GA",979.1
"cty72091","Manati Municipio, PR",977.5
"cty22033","East Baton Rouge Parish, LA",966.6
"cty72007","Aguas Buenas Municipio, PR",952.6
"cty37063","Durham County, NC",935.7
"cty48085","Collin County, TX",930
"cty72035","Cayey Municipio, PR",926.5
"cty34029","Ocean County, NJ",917
"cty53033","King County, WA",912.9
"cty72119","Rio Grande Municipio, PR",895.8
"cty34015","Gloucester County, NJ",895.3
"cty72019","Barranquitas Municipio, PR",885.1
"cty36029","Erie County, NY",881.4
"cty13215","Muscogee County, GA",877.5
"cty72047","Corozal Municipio, PR",872.4
"cty51595","Emporia city, VA",859.7
"cty37067","Forsyth County, NC",859.2
"cty51640","Galax city, VA",854.7
"cty47093","Knox County, TN",850.5
"cty72075","Juana Diaz Municipio, PR",841.9
"cty72101","Morovis Municipio, PR",838.9
"cty72054","Florida Municipio, PR",833.7
"cty72009","Aibonito Municipio, PR",827.2
"cty72071","Isabela Municipio, PR",825.1
"cty22055","Lafayette Parish, LA",824.6
"cty17197","Will County, IL",809.6
"cty44005","Newport County, RI",809.6
"cty42095","Northampton County, PA",805.4
"cty72099","Moca Municipio, PR",796.7
"cty51735","Poquoson city, VA",793.2
"cty48141","El Paso County, TX",790.6
"cty12071","Lee County, FL",788.7
"cty39017","Butler County, OH",788.2
"cty13117","Forsyth County, GA",783.5
"cty27003","Anoka County, MN",782.1
"cty72089","Luquillo Municipio, PR",777.5
"cty72129","San Lorenzo Municipio, PR",773.1
"cty48167","Galveston County, TX",769.9
"cty18163","Vanderburgh County, IN",769.7
"cty72013","Arecibo Municipio, PR",765.7
"cty72027","Camuy Municipio, PR",758.5
"cty36093","Schenectady County, NY",756.6
"cty37081","Guilford County, NC",756.4
"cty48121","Denton County, TX",754.3
"cty25013","Hampden County, MA",751
"cty25023","Plymouth County, MA",750.9
"cty19153","Polk County, IA",750.5
"cty51041","Chesterfield County, VA",747.1
"cty72011","Anasco Municipio, PR",744.8
"cty06073","San Diego County, CA",735.8
"cty72149","Villalba Municipio, PR",731.6
"cty72045","Comerio Municipio, PR",731.6
"cty41067","Washington County, OR",731.4
