"cty","Name","College_Graduation_Rate_rP_gP_pall"
"cty17095","Knox County, IL",0.3793
"cty08041","El Paso County, CO",0.3791
"cty56023","Lincoln County, WY",0.379
"cty17063","Grundy County, IL",0.379
"cty01003","Baldwin County, AL",0.3789
"cty27067","Kandiyohi County, MN",0.3789
"cty46029","Codington County, SD",0.3785
"cty19193","Woodbury County, IA",0.3783
"cty20173","Sedgwick County, KS",0.3783
"cty54105","Wirt County, WV",0.3783
"cty06073","San Diego County, CA",0.3782
"cty47179","Washington County, TN",0.3781
"cty46129","Walworth County, SD",0.3779
"cty19005","Allamakee County, IA",0.3778
"cty19069","Franklin County, IA",0.3778
"cty05119","Pulaski County, AR",0.3776
"cty27161","Waseca County, MN",0.3776
"cty46077","Kingsbury County, SD",0.3776
"cty23013","Knox County, ME",0.3775
"cty08045","Garfield County, CO",0.3775
"cty19039","Clarke County, IA",0.3775
"cty55101","Racine County, WI",0.3774
"cty31139","Pierce County, NE",0.3774
"cty20015","Butler County, KS",0.3773
"cty19127","Marshall County, IA",0.3769
"cty51125","Nelson County, VA",0.3764
"cty51043","Clarke County, VA",0.3764
"cty55097","Portage County, WI",0.3764
"cty42119","Union County, PA",0.3763
"cty39155","Trumbull County, OH",0.3762
"cty42133","York County, PA",0.3761
"cty13153","Houston County, GA",0.376
"cty23015","Lincoln County, ME",0.3759
"cty27105","Nobles County, MN",0.3759
"cty20203","Wichita County, KS",0.3758
"cty51173","Smyth County, VA",0.3758
"cty51157","Rappahannock County, VA",0.3755
"cty21113","Jessamine County, KY",0.3754
"cty46135","Yankton County, SD",0.3753
"cty12021","Collier County, FL",0.3752
"cty42085","Mercer County, PA",0.3751
"cty51181","Surry County, VA",0.375
"cty18163","Vanderburgh County, IN",0.3749
"cty20103","Leavenworth County, KS",0.3749
"cty19145","Page County, IA",0.3749
"cty20063","Gove County, KS",0.3748
"cty48445","Terry County, TX",0.3748
"cty53007","Chelan County, WA",0.3747
"cty47031","Coffee County, TN",0.3746
"cty31031","Cherry County, NE",0.3745
"cty39045","Fairfield County, OH",0.3745
"cty56015","Goshen County, WY",0.3744
"cty12035","Flagler County, FL",0.3742
"cty22061","Lincoln Parish, LA",0.3741
"cty29161","Phelps County, MO",0.3736
"cty38051","McIntosh County, ND",0.3734
"cty42051","Fayette County, PA",0.3733
"cty55055","Jefferson County, WI",0.3733
"cty54089","Summers County, WV",0.373
"cty17001","Adams County, IL",0.3729
"cty51640","Galax city, VA",0.3729
"cty31097","Johnson County, NE",0.3729
"cty17161","Rock Island County, IL",0.3728
"cty48329","Midland County, TX",0.3727
"cty06079","San Luis Obispo County, CA",0.3726
"cty31143","Polk County, NE",0.3724
"cty16019","Bonneville County, ID",0.3723
"cty36051","Livingston County, NY",0.3723
"cty20207","Woodson County, KS",0.3723
"cty38077","Richland County, ND",0.3722
"cty30099","Teton County, MT",0.3721
"cty38007","Billings County, ND",0.3721
"cty51185","Tazewell County, VA",0.372
"cty38043","Kidder County, ND",0.372
"cty20009","Barton County, KS",0.3718
"cty16049","Idaho County, ID",0.3718
"cty17007","Boone County, IL",0.3714
"cty49019","Grand County, UT",0.3712
"cty20007","Barber County, KS",0.371
"cty47001","Anderson County, TN",0.3709
"cty18073","Jasper County, IN",0.3707
"cty40017","Canadian County, OK",0.3705
"cty39123","Ottawa County, OH",0.3705
"cty51067","Franklin County, VA",0.3704
"cty19035","Cherokee County, IA",0.3703
"cty39083","Knox County, OH",0.3703
"cty36013","Chautauqua County, NY",0.3702
"cty29047","Clay County, MO",0.3702
"cty56029","Park County, WY",0.3702
"cty47037","Davidson County, TN",0.3701
"cty55141","Wood County, WI",0.37
"cty36023","Cortland County, NY",0.37
"cty39095","Lucas County, OH",0.3694
"cty20197","Wabaunsee County, KS",0.3694
"cty29027","Callaway County, MO",0.3692
"cty17201","Winnebago County, IL",0.3685
"cty17155","Putnam County, IL",0.3685
"cty30005","Blaine County, MT",0.3683
"cty24033","Prince George's County, MD",0.3683
"cty23001","Androscoggin County, ME",0.3683
"cty36011","Cayuga County, NY",0.3683
"cty51520","Bristol city, VA",0.3683
"cty19183","Washington County, IA",0.368
"cty19029","Cass County, IA",0.3676
"cty38065","Oliver County, ND",0.3676
"cty37025","Cabarrus County, NC",0.3676
"cty01073","Jefferson County, AL",0.3675
"cty38103","Wells County, ND",0.3675
"cty51177","Spotsylvania County, VA",0.3673
"cty37127","Nash County, NC",0.3672
"cty48031","Blanco County, TX",0.367
"cty51099","King George County, VA",0.367
"cty27081","Lincoln County, MN",0.367
"cty21237","Wolfe County, KY",0.3669
"cty21053","Clinton County, KY",0.3668
"cty38071","Ramsey County, ND",0.3667
"cty53005","Benton County, WA",0.3667
"cty19007","Appanoose County, IA",0.3664
"cty39013","Belmont County, OH",0.3663
"cty51175","Southampton County, VA",0.3661
"cty21217","Taylor County, KY",0.3658
"cty36107","Tioga County, NY",0.3658
"cty48011","Armstrong County, TX",0.3658
"cty17009","Brown County, IL",0.3658
"cty13211","Morgan County, GA",0.3657
"cty27137","St. Louis County, MN",0.3656
"cty41051","Multnomah County, OR",0.3655
"cty20065","Graham County, KS",0.3655
"cty35001","Bernalillo County, NM",0.3654
"cty35049","Santa Fe County, NM",0.3653
"cty39109","Miami County, OH",0.3653
"cty27061","Itasca County, MN",0.3652
"cty02122","Kenai Peninsula Borough, AK",0.3651
"cty08007","Archuleta County, CO",0.3651
"cty37029","Camden County, NC",0.3651
"cty22095","St. John the Baptist Parish, LA",0.3651
"cty42025","Carbon County, PA",0.3651
"cty18089","Lake County, IN",0.365
"cty27127","Redwood County, MN",0.365
"cty54103","Wetzel County, WV",0.3649
"cty45019","Charleston County, SC",0.3648
"cty53063","Spokane County, WA",0.3647
"cty51031","Campbell County, VA",0.3647
"cty27049","Goodhue County, MN",0.3645
"cty05043","Drew County, AR",0.3644
"cty55127","Walworth County, WI",0.3644
"cty36105","Sullivan County, NY",0.3643
"cty51820","Waynesboro city, VA",0.3641
"cty19181","Warren County, IA",0.3641
"cty42013","Blair County, PA",0.364
"cty26045","Eaton County, MI",0.3637
"cty12103","Pinellas County, FL",0.3636
"cty48059","Callahan County, TX",0.3634
"cty38105","Williams County, ND",0.3633
"cty29089","Howard County, MO",0.3632
"cty53017","Douglas County, WA",0.363
"cty29001","Adair County, MO",0.363
"cty41039","Lane County, OR",0.3629
"cty40027","Cleveland County, OK",0.3628
"cty27101","Murray County, MN",0.3628
"cty30081","Ravalli County, MT",0.3627
"cty26047","Emmet County, MI",0.3625
"cty56011","Crook County, WY",0.3625
"cty26055","Grand Traverse County, MI",0.3624
"cty31155","Saunders County, NE",0.3624
"cty19057","Des Moines County, IA",0.3624
"cty29077","Greene County, MO",0.3622
"cty55079","Milwaukee County, WI",0.3622
"cty17173","Shelby County, IL",0.3621
"cty40143","Tulsa County, OK",0.362
"cty48439","Tarrant County, TX",0.3618
"cty48193","Hamilton County, TX",0.3618
"cty18159","Tipton County, IN",0.3617
"cty56017","Hot Springs County, WY",0.3617
"cty12009","Brevard County, FL",0.3616
"cty21033","Caldwell County, KY",0.3616
"cty17115","Macon County, IL",0.3615
"cty20127","Morris County, KS",0.3613
"cty48473","Waller County, TX",0.3612
"cty19099","Jasper County, IA",0.3612
"cty27069","Kittson County, MN",0.3611
"cty20027","Clay County, KS",0.361
"cty54065","Morgan County, WV",0.3608
"cty55109","St. Croix County, WI",0.3608
"cty54093","Tucker County, WV",0.3608
"cty17145","Perry County, IL",0.3607
"cty01031","Coffee County, AL",0.3606
"cty17177","Stephenson County, IL",0.3606
"cty17137","Morgan County, IL",0.3605
"cty08109","Saguache County, CO",0.3605
"cty51149","Prince George County, VA",0.3605
"cty41007","Clatsop County, OR",0.3604
"cty38067","Pembina County, ND",0.3604
"cty17147","Piatt County, IL",0.3604
"cty27091","Martin County, MN",0.3604
"cty46097","Miner County, SD",0.3604
"cty51127","New Kent County, VA",0.3604
"cty38063","Nelson County, ND",0.3604
"cty51165","Rockingham County, VA",0.3599
"cty27119","Polk County, MN",0.3598
"cty17163","St. Clair County, IL",0.3598
"cty19123","Mahaska County, IA",0.3597
"cty48201","Harris County, TX",0.3596
"cty36095","Schoharie County, NY",0.3595
"cty31067","Gage County, NE",0.3593
"cty53071","Walla Walla County, WA",0.3593
"cty28043","Grenada County, MS",0.3591
"cty20041","Dickinson County, KS",0.3591
"cty56013","Fremont County, WY",0.359
"cty02020","Anchorage Municipality, AK",0.359
"cty19015","Boone County, IA",0.359
"cty08125","Yuma County, CO",0.359
"cty50025","Windham County, VT",0.3589
"cty37001","Alamance County, NC",0.3588
"cty27073","Lac qui Parle County, MN",0.3588
"cty27131","Rice County, MN",0.3587
"cty31151","Saline County, NE",0.3585
"cty27089","Marshall County, MN",0.3585
"cty23023","Sagadahoc County, ME",0.3582
"cty30029","Flathead County, MT",0.358
"cty21151","Madison County, KY",0.358
"cty08073","Lincoln County, CO",0.358
"cty36075","Oswego County, NY",0.3579
"cty12087","Monroe County, FL",0.3577
"cty54007","Braxton County, WV",0.3577
"cty31003","Antelope County, NE",0.3577
"cty24015","Cecil County, MD",0.3577
"cty06027","Inyo County, CA",0.3576
"cty36089","St. Lawrence County, NY",0.3574
"cty55037","Florence County, WI",0.3574
"cty54041","Lewis County, WV",0.3573
"cty18179","Wells County, IN",0.3572
"cty17135","Montgomery County, IL",0.3572
"cty23019","Penobscot County, ME",0.3571
"cty26041","Delta County, MI",0.3571
"cty27013","Blue Earth County, MN",0.3571
"cty37125","Moore County, NC",0.3571
"cty20043","Doniphan County, KS",0.357
"cty51790","Staunton city, VA",0.3569
"cty17005","Bond County, IL",0.3568
"cty01091","Marengo County, AL",0.3568
"cty24035","Queen Anne's County, MD",0.3567
"cty12091","Okaloosa County, FL",0.3566
"cty15001","Hawaii County, HI",0.3566
"cty30095","Stillwater County, MT",0.3566
"cty45083","Spartanburg County, SC",0.3565
"cty17125","Mason County, IL",0.3565
"cty27173","Yellow Medicine County, MN",0.3564
"cty08119","Teller County, CO",0.3564
"cty55059","Kenosha County, WI",0.3563
"cty20199","Wallace County, KS",0.3563
"cty19055","Delaware County, IA",0.356
"cty51009","Amherst County, VA",0.3559
"cty17067","Hancock County, IL",0.3558
"cty53031","Jefferson County, WA",0.3557
"cty20149","Pottawatomie County, KS",0.3557
"cty46103","Pennington County, SD",0.3556
"cty17119","Madison County, IL",0.3555
"cty19187","Webster County, IA",0.3555
"cty48093","Comanche County, TX",0.3554
"cty31037","Colfax County, NE",0.3553
"cty49049","Utah County, UT",0.3551
"cty29007","Audrain County, MO",0.355
"cty51550","Chesapeake city, VA",0.3547
"cty51045","Craig County, VA",0.3547
"cty27033","Cottonwood County, MN",0.3545
"cty20117","Marshall County, KS",0.3544
"cty42037","Columbia County, PA",0.3544
"cty27113","Pennington County, MN",0.3544
"cty29107","Lafayette County, MO",0.3543
"cty24045","Wicomico County, MD",0.3543
"cty55085","Oneida County, WI",0.3543
"cty55139","Winnebago County, WI",0.3541
"cty29033","Carroll County, MO",0.3539
"cty55039","Fond du Lac County, WI",0.3539
"cty31101","Keith County, NE",0.3539
"cty47165","Sumner County, TN",0.3539
"cty29003","Andrew County, MO",0.3539
"cty17023","Clark County, IL",0.3537
"cty28069","Kemper County, MS",0.3537
"cty20139","Osage County, KS",0.3537
"cty55015","Calumet County, WI",0.3536
"cty15007","Kauai County, HI",0.3536
"cty42107","Schuylkill County, PA",0.3536
"cty27169","Winona County, MN",0.3536
"cty48159","Franklin County, TX",0.3536
"cty21069","Fleming County, KY",0.3534
"cty17065","Hamilton County, IL",0.3534
"cty36045","Jefferson County, NY",0.3532
"cty27055","Houston County, MN",0.353
"cty42081","Lycoming County, PA",0.3528
"cty30067","Park County, MT",0.3527
"cty19129","Mills County, IA",0.3526
"cty36015","Chemung County, NY",0.3526
"cty24017","Charles County, MD",0.3525
"cty17071","Henderson County, IL",0.3524
"cty18097","Marion County, IN",0.3523
"cty37099","Jackson County, NC",0.3522
"cty31129","Nuckolls County, NE",0.3519
"cty42097","Northumberland County, PA",0.3519
"cty17159","Richland County, IL",0.3517
"cty27063","Jackson County, MN",0.3517
"cty51131","Northampton County, VA",0.3513
"cty48273","Kleberg County, TX",0.3513
"cty01101","Montgomery County, AL",0.3512
"cty42083","McKean County, PA",0.3511
"cty08065","Lake County, CO",0.351
"cty39009","Athens County, OH",0.351
"cty46035","Davison County, SD",0.3509
"cty28049","Hinds County, MS",0.3509
"cty25011","Franklin County, MA",0.3508
"cty55071","Manitowoc County, WI",0.3508
"cty45003","Aiken County, SC",0.3507
"cty46051","Grant County, SD",0.3506
"cty31053","Dodge County, NE",0.3505
"cty38013","Burke County, ND",0.3505
"cty12086","Miami-Dade County, FL",0.3504
"cty26017","Bay County, MI",0.3504
"cty27107","Norman County, MN",0.3502
"cty42071","Lancaster County, PA",0.3501
"cty27003","Anoka County, MN",0.3499
"cty28131","Stone County, MS",0.3498
"cty20115","Marion County, KS",0.3497
"cty31145","Red Willow County, NE",0.3497
"cty17195","Whiteside County, IL",0.3496
"cty41017","Deschutes County, OR",0.3494
"cty28001","Adams County, MS",0.3494
"cty17107","Logan County, IL",0.3494
"cty27151","Swift County, MN",0.3494
"cty30007","Broadwater County, MT",0.3493
"cty51145","Powhatan County, VA",0.3492
"cty37031","Carteret County, NC",0.3491
"cty20111","Lyon County, KS",0.3491
"cty54035","Jackson County, WV",0.349
"cty17129","Menard County, IL",0.349
"cty19077","Guthrie County, IA",0.3489
"cty20057","Ford County, KS",0.3488
"cty19043","Clayton County, IA",0.3488
"cty30009","Carbon County, MT",0.3486
"cty20079","Harvey County, KS",0.3486
"cty18031","Decatur County, IN",0.3484
"cty19175","Union County, IA",0.3484
"cty47183","Weakley County, TN",0.3483
"cty26109","Menominee County, MI",0.3478
"cty39093","Lorain County, OH",0.3477
"cty45043","Georgetown County, SC",0.3476
"cty24001","Allegany County, MD",0.3475
"cty19111","Lee County, IA",0.3474
"cty31107","Knox County, NE",0.3472
"cty36073","Orleans County, NY",0.3472
"cty42031","Clarion County, PA",0.3471
"cty42075","Lebanon County, PA",0.3469
"cty13177","Lee County, GA",0.3468
"cty48441","Taylor County, TX",0.3467
"cty08039","Elbert County, CO",0.3467
"cty39157","Tuscarawas County, OH",0.3467
"cty17099","LaSalle County, IL",0.3467
"cty28149","Warren County, MS",0.3466
"cty23007","Franklin County, ME",0.3466
"cty48221","Hood County, TX",0.3464
"cty51191","Washington County, VA",0.3464
"cty39161","Van Wert County, OH",0.346
"cty48019","Bandera County, TX",0.346
"cty40129","Roger Mills County, OK",0.346
"cty51720","Norton city, VA",0.346
"cty12061","Indian River County, FL",0.3459
"cty47189","Wilson County, TN",0.3458
"cty06045","Mendocino County, CA",0.3457
"cty51081","Greensville County, VA",0.3455
"cty31079","Hall County, NE",0.3454
"cty29186","Ste. Genevieve County, MO",0.3454
"cty49035","Salt Lake County, UT",0.3452
"cty06037","Los Angeles County, CA",0.3451
"cty41053","Polk County, OR",0.3451
"cty38069","Pierce County, ND",0.3449
"cty48143","Erath County, TX",0.3448
"cty42101","Philadelphia County, PA",0.3446
"cty36041","Hamilton County, NY",0.3446
"cty04005","Coconino County, AZ",0.3443
"cty46101","Moody County, SD",0.3442
"cty19139","Muscatine County, IA",0.3442
"cty26071","Iron County, MI",0.344
"cty36121","Wyoming County, NY",0.3437
"cty39169","Wayne County, OH",0.3436
"cty55093","Pierce County, WI",0.3436
"cty48369","Parmer County, TX",0.3435
"cty54037","Jefferson County, WV",0.3434
"cty30021","Dawson County, MT",0.3434
"cty17035","Cumberland County, IL",0.3434
"cty50013","Grand Isle County, VT",0.3432
"cty13151","Henry County, GA",0.3432
"cty28035","Forrest County, MS",0.343
"cty06023","Humboldt County, CA",0.3429
"cty26049","Genesee County, MI",0.3429
"cty46005","Beadle County, SD",0.3429
"cty31085","Hayes County, NE",0.3429
"cty19173","Taylor County, IA",0.3428
"cty48247","Jim Hogg County, TX",0.3428
"cty18001","Adams County, IN",0.3428
"cty20017","Chase County, KS",0.3427
"cty08075","Logan County, CO",0.3426
"cty56009","Converse County, WY",0.3425
"cty36017","Chenango County, NY",0.3424
"cty48169","Garza County, TX",0.3424
"cty48303","Lubbock County, TX",0.3422
"cty42131","Wyoming County, PA",0.3422
"cty28081","Lee County, MS",0.3422
"cty18091","LaPorte County, IN",0.3422
"cty18131","Pulaski County, IN",0.3422
"cty05041","Desha County, AR",0.3419
"cty39149","Shelby County, OH",0.3419
"cty51700","Newport News city, VA",0.3416
"cty18145","Shelby County, IN",0.3415
"cty21115","Johnson County, KY",0.3415
"cty53061","Snohomish County, WA",0.3414
"cty27141","Sherburne County, MN",0.3414
"cty27111","Otter Tail County, MN",0.3413
"cty12015","Charlotte County, FL",0.3413
"cty49037","San Juan County, UT",0.3412
"cty30091","Sheridan County, MT",0.3412
"cty01123","Tallapoosa County, AL",0.3412
"cty48471","Walker County, TX",0.3411
"cty18039","Elkhart County, IN",0.341
"cty20109","Logan County, KS",0.3407
"cty37035","Catawba County, NC",0.3404
"cty27041","Douglas County, MN",0.3402
"cty47157","Shelby County, TN",0.3399
"cty17105","Livingston County, IL",0.3399
"cty48043","Brewster County, TX",0.3399
"cty49051","Wasatch County, UT",0.3398
"cty39027","Clinton County, OH",0.3395
"cty26131","Ontonagon County, MI",0.3393
"cty21059","Daviess County, KY",0.3393
"cty39113","Montgomery County, OH",0.3392
"cty19051","Davis County, IA",0.3392
"cty11001","District of Columbia, DC",0.3391
"cty46037","Day County, SD",0.339
"cty39025","Clermont County, OH",0.339
"cty55125","Vilas County, WI",0.3389
"cty29037","Cass County, MO",0.3387
"cty54021","Gilmer County, WV",0.3387
"cty51021","Bland County, VA",0.3381
"cty45035","Dorchester County, SC",0.3379
"cty30077","Powell County, MT",0.3379
"cty47103","Lincoln County, TN",0.3379
"cty18147","Spencer County, IN",0.3379
"cty20185","Stafford County, KS",0.3378
"cty48069","Castro County, TX",0.3376
"cty36099","Seneca County, NY",0.3376
"cty51069","Frederick County, VA",0.3376
"cty36031","Essex County, NY",0.3376
"cty51117","Mecklenburg County, VA",0.3374
"cty53073","Whatcom County, WA",0.3369
"cty26163","Wayne County, MI",0.3369
"cty13279","Toombs County, GA",0.3369
"cty16069","Nez Perce County, ID",0.3368
"cty19131","Mitchell County, IA",0.3368
"cty16077","Power County, ID",0.3368
"cty41029","Jackson County, OR",0.3367
"cty51017","Bath County, VA",0.3367
"cty51073","Gloucester County, VA",0.3367
"cty51135","Nottoway County, VA",0.3366
"cty54107","Wood County, WV",0.3365
"cty20147","Phillips County, KS",0.3365
"cty37191","Wayne County, NC",0.3365
"cty20181","Sherman County, KS",0.3365
"cty47113","Madison County, TN",0.3363
"cty13115","Floyd County, GA",0.3362
"cty37041","Chowan County, NC",0.3361
"cty29127","Marion County, MO",0.3361
"cty26029","Charlevoix County, MI",0.3359
"cty17083","Jersey County, IL",0.3358
"cty47145","Roane County, TN",0.3358
"cty05045","Faulkner County, AR",0.3357
"cty49015","Emery County, UT",0.3357
"cty28027","Coahoma County, MS",0.3357
"cty51093","Isle of Wight County, VA",0.3357
"cty32510","Carson City, NV",0.3356
"cty48483","Wheeler County, TX",0.3356
"cty37087","Haywood County, NC",0.3355
"cty19001","Adair County, IA",0.3355
"cty20005","Atchison County, KS",0.3354
"cty27031","Cook County, MN",0.3354
"cty40153","Woodward County, OK",0.3353
"cty05149","Yell County, AR",0.3353
"cty36115","Washington County, NY",0.3353
"cty47149","Rutherford County, TN",0.3352
"cty21071","Floyd County, KY",0.3351
"cty40047","Garfield County, OK",0.3348
"cty48325","Medina County, TX",0.3348
"cty48111","Dallam County, TX",0.3348
"cty19019","Buchanan County, IA",0.3348
"cty29045","Clark County, MO",0.3347
"cty55017","Chippewa County, WI",0.3345
"cty17091","Kankakee County, IL",0.3344
"cty20077","Harper County, KS",0.3342
"cty17025","Clay County, IL",0.3341
"cty46047","Fall River County, SD",0.334
"cty17053","Ford County, IL",0.334
"cty30039","Granite County, MT",0.334
"cty22121","West Baton Rouge Parish, LA",0.3336
"cty48039","Brazoria County, TX",0.3335
"cty19085","Harrison County, IA",0.3334
"cty29157","Perry County, MO",0.3332
"cty22125","West Feliciana Parish, LA",0.3331
"cty06095","Solano County, CA",0.333
"cty45047","Greenwood County, SC",0.333
"cty38099","Walsh County, ND",0.333
"cty19097","Jackson County, IA",0.333
"cty27117","Pipestone County, MN",0.3329
"cty48179","Gray County, TX",0.3329
"cty48183","Gregg County, TX",0.3328
"cty51005","Alleghany County, VA",0.3328
"cty53029","Island County, WA",0.3327
"cty48265","Kerr County, TX",0.3327
"cty20121","Miami County, KS",0.3325
"cty19087","Henry County, IA",0.3325
"cty01025","Clarke County, AL",0.3325
"cty47027","Clay County, TN",0.3325
"cty31095","Jefferson County, NE",0.3324
"cty55091","Pepin County, WI",0.3323
"cty04013","Maricopa County, AZ",0.3321
"cty06067","Sacramento County, CA",0.3321
"cty26145","Saginaw County, MI",0.332
"cty36101","Steuben County, NY",0.3319
"cty26075","Jackson County, MI",0.3318
"cty39081","Jefferson County, OH",0.3317
"cty27045","Fillmore County, MN",0.3316
"cty27145","Stearns County, MN",0.3315
"cty48485","Wichita County, TX",0.3314
"cty06049","Modoc County, CA",0.3314
"cty48095","Concho County, TX",0.3314
"cty47009","Blount County, TN",0.3314
"cty27125","Red Lake County, MN",0.3314
"cty13085","Dawson County, GA",0.3314
"cty45037","Edgefield County, SC",0.3313
"cty56041","Uinta County, WY",0.3312
"cty27047","Freeborn County, MN",0.3311
"cty48167","Galveston County, TX",0.331
"cty36025","Delaware County, NY",0.331
"cty51650","Hampton city, VA",0.3309
"cty49053","Washington County, UT",0.3308
"cty37113","Macon County, NC",0.3308
"cty29151","Osage County, MO",0.3308
"cty33007","Coos County, NH",0.3308
"cty31175","Valley County, NE",0.3308
"cty35053","Socorro County, NM",0.3307
"cty54015","Clay County, WV",0.3307
"cty36035","Fulton County, NY",0.3306
"cty02090","Fairbanks North Star Borough, AK",0.3305
"cty31121","Merrick County, NE",0.3304
"cty55105","Rock County, WI",0.3301
"cty20093","Kearny County, KS",0.33
"cty30089","Sanders County, MT",0.3297
"cty31111","Lincoln County, NE",0.3297
"cty53013","Columbia County, WA",0.3296
"cty20107","Linn County, KS",0.3293
"cty39159","Union County, OH",0.3292
"cty39167","Washington County, OH",0.3289
"cty20097","Kiowa County, KS",0.3288
"cty30065","Musselshell County, MT",0.3288
"cty20055","Finney County, KS",0.3288
"cty18161","Union County, IN",0.3288
"cty40109","Oklahoma County, OK",0.3287
"cty53001","Adams County, WA",0.3286
"cty22071","Orleans Parish, LA",0.3285
"cty53035","Kitsap County, WA",0.3285
"cty42115","Susquehanna County, PA",0.3284
"cty18047","Franklin County, IN",0.3283
"cty18137","Ripley County, IN",0.3282
"cty31157","Scotts Bluff County, NE",0.3275
"cty18035","Delaware County, IN",0.3275
"cty12113","Santa Rosa County, FL",0.3273
"cty13101","Echols County, GA",0.327
"cty48071","Chambers County, TX",0.3269
"cty36057","Montgomery County, NY",0.3267
"cty21157","Marshall County, KY",0.3267
"cty31025","Cass County, NE",0.3264
"cty54071","Pendleton County, WV",0.3264
"cty01015","Calhoun County, AL",0.3263
"cty20155","Reno County, KS",0.3263
"cty28059","Jackson County, MS",0.3262
"cty51171","Shenandoah County, VA",0.3262
"cty53053","Pierce County, WA",0.3261
"cty49007","Carbon County, UT",0.326
"cty48113","Dallas County, TX",0.3259
"cty56005","Campbell County, WY",0.3259
"cty42117","Tioga County, PA",0.3259
"cty54003","Berkeley County, WV",0.3259
"cty54053","Mason County, WV",0.3259
"cty01033","Colbert County, AL",0.3259
"cty55027","Dodge County, WI",0.3257
"cty19067","Floyd County, IA",0.3257
"cty31083","Harlan County, NE",0.3257
"cty37149","Polk County, NC",0.3255
"cty18069","Huntington County, IN",0.3255
"cty18067","Howard County, IN",0.3254
"cty53025","Grant County, WA",0.3253
"cty42053","Forest County, PA",0.3253
"cty26087","Lapeer County, MI",0.3252
"cty36033","Franklin County, NY",0.3251
"cty40043","Dewey County, OK",0.3251
"cty06043","Mariposa County, CA",0.3251
"cty38005","Benson County, ND",0.3249
"cty20067","Grant County, KS",0.3247
"cty42055","Franklin County, PA",0.3246
"cty29075","Gentry County, MO",0.3246
"cty41025","Harney County, OR",0.3246
"cty20099","Labette County, KS",0.3243
"cty01103","Morgan County, AL",0.3243
"cty39147","Seneca County, OH",0.3243
"cty18077","Jefferson County, IN",0.3243
"cty17141","Ogle County, IL",0.3242
"cty21089","Greenup County, KY",0.3242
"cty22105","Tangipahoa Parish, LA",0.3241
"cty50017","Orange County, VT",0.3238
"cty42111","Somerset County, PA",0.3237
"cty20189","Stevens County, KS",0.3237
"cty37013","Beaufort County, NC",0.3236
"cty27017","Carlton County, MN",0.3234
"cty06109","Tuolumne County, CA",0.3234
"cty18049","Fulton County, IN",0.3232
"cty17057","Fulton County, IL",0.3232
"cty56021","Laramie County, WY",0.323
"cty27007","Beltrami County, MN",0.3228
"cty39039","Defiance County, OH",0.3228
"cty48481","Wharton County, TX",0.3228
"cty05001","Arkansas County, AR",0.3228
"cty18029","Dearborn County, IN",0.3227
"cty37057","Davidson County, NC",0.3226
"cty31061","Franklin County, NE",0.3226
"cty29195","Saline County, MO",0.3225
"cty17181","Union County, IL",0.3223
"cty12089","Nassau County, FL",0.3222
"cty40137","Stephens County, OK",0.322
"cty29095","Jackson County, MO",0.3219
"cty13127","Glynn County, GA",0.3219
"cty13051","Chatham County, GA",0.3217
"cty08123","Weld County, CO",0.3217
"cty16005","Bannock County, ID",0.3215
"cty42015","Bradford County, PA",0.3215
"cty19011","Benton County, IA",0.3215
"cty26021","Berrien County, MI",0.3214
"cty20163","Rooks County, KS",0.3214
"cty29139","Montgomery County, MO",0.3214
"cty42033","Clearfield County, PA",0.3214
"cty30041","Hill County, MT",0.3213
"cty48151","Fisher County, TX",0.3212
"cty48285","Lavaca County, TX",0.3212
"cty19093","Ida County, IA",0.3212
"cty37051","Cumberland County, NC",0.321
"cty24019","Dorchester County, MD",0.321
"cty51590","Danville city, VA",0.321
"cty27171","Wright County, MN",0.3209
"cty29227","Worth County, MO",0.3208
"cty08049","Grand County, CO",0.3208
"cty29053","Cooper County, MO",0.3207
"cty51770","Roanoke city, VA",0.3206
"cty13097","Douglas County, GA",0.3205
"cty42059","Greene County, PA",0.3205
"cty17011","Bureau County, IL",0.3204
"cty45053","Jasper County, SC",0.3203
"cty41065","Wasco County, OR",0.3202
"cty12095","Orange County, FL",0.3202
"cty12057","Hillsborough County, FL",0.3202
"cty06005","Amador County, CA",0.3201
"cty55045","Green County, WI",0.3201
"cty20159","Rice County, KS",0.3199
"cty21177","Muhlenberg County, KY",0.3199
"cty16037","Custer County, ID",0.3196
"cty23021","Piscataquis County, ME",0.3195
"cty13275","Thomas County, GA",0.3195
"cty40075","Kiowa County, OK",0.3194
"cty49027","Millard County, UT",0.3193
"cty31023","Butler County, NE",0.3193
"cty30017","Custer County, MT",0.3192
"cty27087","Mahnomen County, MN",0.3191
"cty55007","Bayfield County, WI",0.319
"cty08077","Mesa County, CO",0.3189
"cty26053","Gogebic County, MI",0.3189
"cty39175","Wyandot County, OH",0.3189
"cty27025","Chisago County, MN",0.3189
"cty27093","Meeker County, MN",0.3189
"cty22047","Iberville Parish, LA",0.3188
"cty40065","Jackson County, OK",0.3187
"cty20191","Sumner County, KS",0.3187
"cty47105","Loudon County, TN",0.3187
"cty48255","Karnes County, TX",0.3186
"cty29175","Randolph County, MO",0.3186
"cty55047","Green Lake County, WI",0.3186
"cty37179","Union County, NC",0.3185
"cty31021","Burt County, NE",0.3185
"cty51119","Middlesex County, VA",0.3184
"cty55099","Price County, WI",0.3184
"cty39101","Marion County, OH",0.3184
