"cty","Name","College_Graduation_Rate_rP_gP_pall"
"cty33011","Hillsborough County, NH",0.4854
"cty38031","Foster County, ND",0.4852
"cty13219","Oconee County, GA",0.4847
"cty38053","McKenzie County, ND",0.4845
"cty31071","Garfield County, NE",0.484
"cty20135","Ness County, KS",0.4831
"cty08009","Baca County, CO",0.483
"cty46065","Hughes County, SD",0.4823
"cty08063","Kit Carson County, CO",0.4814
"cty31077","Greeley County, NE",0.481
"cty55025","Dane County, WI",0.4807
"cty42129","Westmoreland County, PA",0.4806
"cty36081","Queens County, NY",0.4805
"cty20045","Douglas County, KS",0.4802
"cty38009","Bottineau County, ND",0.4802
"cty40093","Major County, OK",0.4797
"cty20131","Nemaha County, KS",0.4795
"cty53023","Garfield County, WA",0.4791
"cty19191","Winneshiek County, IA",0.4782
"cty31185","York County, NE",0.4777
"cty22103","St. Tammany Parish, LA",0.4768
"cty13135","Gwinnett County, GA",0.4767
"cty50015","Lamoille County, VT",0.4763
"cty21035","Calloway County, KY",0.4759
"cty19061","Dubuque County, IA",0.4749
"cty16085","Valley County, ID",0.4746
"cty46003","Aurora County, SD",0.474
"cty27037","Dakota County, MN",0.473
"cty51660","Harrisonburg city, VA",0.473
"cty31069","Garden County, NE",0.4728
"cty06013","Contra Costa County, CA",0.4726
"cty42077","Lehigh County, PA",0.4725
"cty20151","Pratt County, KS",0.472
"cty29165","Platte County, MO",0.4718
"cty51075","Goochland County, VA",0.4718
"cty36113","Warren County, NY",0.4715
"cty51775","Salem city, VA",0.4705
"cty21067","Fayette County, KY",0.4704
"cty20051","Ellis County, KS",0.4702
"cty42125","Washington County, PA",0.469
"cty34009","Cape May County, NJ",0.4686
"cty25003","Berkshire County, MA",0.4685
"cty46011","Brookings County, SD",0.4683
"cty30049","Lewis and Clark County, MT",0.4675
"cty36007","Broome County, NY",0.4675
"cty48295","Lipscomb County, TX",0.4671
"cty27123","Ramsey County, MN",0.4663
"cty36111","Ulster County, NY",0.4659
"cty37189","Watauga County, NC",0.4648
"cty17113","McLean County, IL",0.4646
"cty34041","Warren County, NJ",0.4643
"cty38091","Steele County, ND",0.4643
"cty18157","Tippecanoe County, IN",0.4643
"cty20183","Smith County, KS",0.4641
"cty33009","Grafton County, NH",0.463
"cty36069","Ontario County, NY",0.463
"cty46025","Clark County, SD",0.4628
"cty19147","Palo Alto County, IA",0.4625
"cty08121","Washington County, CO",0.4625
"cty51121","Montgomery County, VA",0.4624
"cty09011","New London County, CT",0.4621
"cty24013","Carroll County, MD",0.4621
"cty44003","Kent County, RI",0.462
"cty51087","Henrico County, VA",0.4616
"cty17019","Champaign County, IL",0.4613
"cty33003","Carroll County, NH",0.4608
"cty19165","Shelby County, IA",0.46
"cty17013","Calhoun County, IL",0.46
"cty38017","Cass County, ND",0.459
"cty29051","Cole County, MO",0.4588
"cty08059","Jefferson County, CO",0.4578
"cty40025","Cimarron County, OK",0.4578
"cty37063","Durham County, NC",0.4577
"cty18011","Boone County, IN",0.4576
"cty17133","Monroe County, IL",0.4572
"cty37175","Transylvania County, NC",0.4572
"cty53033","King County, WA",0.4571
"cty39061","Hamilton County, OH",0.4568
"cty37119","Mecklenburg County, NC",0.4568
"cty36071","Orange County, NY",0.4567
"cty16065","Madison County, ID",0.4566
"cty34015","Gloucester County, NJ",0.4564
"cty31055","Douglas County, NE",0.4563
"cty08069","Larimer County, CO",0.4559
"cty41067","Washington County, OR",0.4549
"cty36061","New York County, NY",0.4545
"cty17203","Woodford County, IL",0.4545
"cty29183","St. Charles County, MO",0.4544
"cty20195","Trego County, KS",0.4542
"cty50023","Washington County, VT",0.4541
"cty38097","Traill County, ND",0.454
"cty31147","Richardson County, NE",0.4536
"cty27109","Olmsted County, MN",0.4536
"cty18063","Hendricks County, IN",0.4536
"cty08027","Custer County, CO",0.4532
"cty31137","Phelps County, NE",0.4531
"cty27163","Washington County, MN",0.453
"cty36065","Oneida County, NY",0.4521
"cty08047","Gilpin County, CO",0.452
"cty40149","Washita County, OK",0.452
"cty19161","Sac County, IA",0.4519
"cty31015","Boyd County, NE",0.4515
"cty08003","Alamosa County, CO",0.4514
"cty19163","Scott County, IA",0.451
"cty06001","Alameda County, CA",0.451
"cty31063","Frontier County, NE",0.4508
"cty51085","Hanover County, VA",0.4505
"cty46067","Hutchinson County, SD",0.4504
"cty08014","Broomfield County, CO",0.4504
"cty39055","Geauga County, OH",0.4504
"cty12109","St. Johns County, FL",0.45
"cty24005","Baltimore County, MD",0.4497
"cty48397","Rockwall County, TX",0.4496
"cty21239","Woodford County, KY",0.4496
"cty51540","Charlottesville city, VA",0.4496
"cty31169","Thayer County, NE",0.4496
"cty31123","Morrill County, NE",0.4494
"cty12073","Leon County, FL",0.4493
"cty34007","Camden County, NJ",0.4492
"cty24029","Kent County, MD",0.4489
"cty20123","Mitchell County, KS",0.4486
"cty21201","Robertson County, KY",0.4485
"cty42095","Northampton County, PA",0.4477
"cty12001","Alachua County, FL",0.4476
"cty37129","New Hanover County, NC",0.4472
"cty38039","Griggs County, ND",0.4471
"cty50027","Windsor County, VT",0.4469
"cty17197","Will County, IL",0.4465
"cty12117","Seminole County, FL",0.4462
"cty24021","Frederick County, MD",0.4461
"cty25013","Hampden County, MA",0.4456
"cty45013","Beaufort County, SC",0.4453
"cty30093","Silver Bow County, MT",0.4447
"cty16081","Teton County, ID",0.4447
"cty42079","Luzerne County, PA",0.4445
"cty20089","Jewell County, KS",0.4445
"cty26093","Livingston County, MI",0.4441
"cty39085","Lake County, OH",0.4441
"cty39035","Cuyahoga County, OH",0.444
"cty30063","Missoula County, MT",0.4431
"cty30031","Gallatin County, MT",0.4429
"cty28089","Madison County, MS",0.4429
"cty54009","Brooke County, WV",0.4428
"cty40039","Custer County, OK",0.4425
"cty21021","Boyle County, KY",0.4422
