"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty49027","Millard County, UT",54553
"cty27161","Waseca County, MN",54543
"cty51165","Rockingham County, VA",54514
"cty02070","Dillingham Census Area, AK",54502
"cty17091","Kankakee County, IL",54500
"cty17103","Lee County, IL",54491
"cty25003","Berkshire County, MA",54451
"cty19099","Jasper County, IA",54446
"cty48415","Scurry County, TX",54407
"cty12129","Wakulla County, FL",54401
"cty38047","Logan County, ND",54382
"cty13157","Jackson County, GA",54381
"cty46051","Grant County, SD",54368
"cty21111","Jefferson County, KY",54355
"cty17013","Calhoun County, IL",54352
"cty26087","Lapeer County, MI",54317
"cty46069","Hyde County, SD",54315
"cty50017","Orange County, VT",54290
"cty13297","Walton County, GA",54288
"cty08103","Rio Blanco County, CO",54275
"cty48013","Atascosa County, TX",54262
"cty06009","Calaveras County, CA",54249
"cty39075","Holmes County, OH",54239
"cty53073","Whatcom County, WA",54229
"cty17039","De Witt County, IL",54222
"cty47037","Davidson County, TN",54218
"cty17189","Washington County, IL",54196
"cty12081","Manatee County, FL",54182
"cty40053","Grant County, OK",54178
"cty17163","St. Clair County, IL",54151
"cty13211","Morgan County, GA",54151
"cty22015","Bossier Parish, LA",54105
"cty55029","Door County, WI",54078
"cty10005","Sussex County, DE",54070
"cty41003","Benton County, OR",54062
"cty19109","Kossuth County, IA",54023
"cty13169","Jones County, GA",54021
"cty27129","Renville County, MN",53992
"cty27135","Roseau County, MN",53974
"cty46077","Kingsbury County, SD",53966
"cty18085","Kosciusko County, IN",53966
"cty20195","Trego County, KS",53949
"cty47047","Fayette County, TN",53947
"cty47021","Cheatham County, TN",53946
"cty42007","Beaver County, PA",53940
"cty17123","Marshall County, IL",53918
"cty42027","Centre County, PA",53915
"cty19105","Jones County, IA",53909
"cty20067","Grant County, KS",53904
"cty19171","Tama County, IA",53889
"cty48435","Sutton County, TX",53887
"cty27119","Polk County, MN",53849
"cty44007","Providence County, RI",53808
"cty18015","Carroll County, IN",53804
"cty55063","La Crosse County, WI",53793
"cty18087","LaGrange County, IN",53779
"cty41049","Morrow County, OR",53769
"cty55027","Dodge County, WI",53768
"cty36011","Cayuga County, NY",53763
"cty27173","Yellow Medicine County, MN",53725
"cty31027","Cedar County, NE",53707
"cty08017","Cheyenne County, CO",53698
"cty27063","Jackson County, MN",53696
"cty36121","Wyoming County, NY",53690
"cty51036","Charles City County, VA",53688
"cty51830","Williamsburg city, VA",53687
"cty21093","Hardin County, KY",53676
"cty13039","Camden County, GA",53675
"cty31185","York County, NE",53620
"cty18019","Clark County, IN",53611
"cty31171","Thomas County, NE",53610
"cty19081","Hancock County, IA",53609
"cty13013","Barrow County, GA",53593
"cty42131","Wyoming County, PA",53589
"cty48355","Nueces County, TX",53574
"cty29043","Christian County, MO",53569
"cty12073","Leon County, FL",53552
"cty37125","Moore County, NC",53550
"cty16051","Jefferson County, ID",53541
"cty19127","Marshall County, IA",53506
"cty55081","Monroe County, WI",53473
"cty37073","Gates County, NC",53466
"cty46115","Spink County, SD",53465
"cty49005","Cache County, UT",53462
"cty18089","Lake County, IN",53454
"cty56033","Sheridan County, WY",53439
"cty27009","Benton County, MN",53412
"cty20189","Stevens County, KS",53395
"cty29177","Ray County, MO",53387
"cty01001","Autauga County, AL",53379
"cty48477","Washington County, TX",53336
"cty27005","Becker County, MN",53296
"cty20177","Shawnee County, KS",53271
"cty38041","Hettinger County, ND",53267
"cty38095","Towner County, ND",53257
"cty13139","Hall County, GA",53229
"cty27169","Winona County, MN",53229
"cty37059","Davie County, NC",53216
"cty48051","Burleson County, TX",53214
"cty48409","San Patricio County, TX",53160
"cty19169","Story County, IA",53155
"cty55017","Chippewa County, WI",53146
"cty02105","Hoonah-Angoon Census Area, AK",53135
"cty30009","Carbon County, MT",53096
"cty27013","Blue Earth County, MN",53094
"cty31117","McPherson County, NE",53080
"cty31179","Wayne County, NE",53078
"cty31131","Otoe County, NE",53061
"cty46103","Pennington County, SD",53059
"cty36109","Tompkins County, NY",53041
"cty51193","Westmoreland County, VA",53030
"cty47157","Shelby County, TN",53025
"cty01073","Jefferson County, AL",53017
"cty18003","Allen County, IN",52988
"cty22057","Lafourche Parish, LA",52984
"cty18145","Shelby County, IN",52984
"cty40109","Oklahoma County, OK",52962
"cty36031","Essex County, NY",52962
"cty27083","Lyon County, MN",52940
"cty48031","Blanco County, TX",52909
"cty12095","Orange County, FL",52872
"cty27075","Lake County, MN",52871
"cty39117","Morrow County, OH",52853
"cty48175","Goliad County, TX",52852
"cty19157","Poweshiek County, IA",52832
"cty31029","Chase County, NE",52830
"cty27023","Chippewa County, MN",52817
"cty27113","Pennington County, MN",52807
"cty41053","Polk County, OR",52792
"cty49053","Washington County, UT",52783
"cty40007","Beaver County, OK",52730
"cty17083","Jersey County, IL",52730
"cty36037","Genesee County, NY",52728
"cty37101","Johnston County, NC",52726
"cty29095","Jackson County, MO",52721
"cty39021","Champaign County, OH",52715
"cty45079","Richland County, SC",52714
"cty16055","Kootenai County, ID",52712
"cty51570","Colonial Heights city, VA",52704
"cty36047","Kings County, NY",52699
"cty27111","Otter Tail County, MN",52686
"cty01051","Elmore County, AL",52680
"cty20079","Harvey County, KS",52672
"cty27099","Mower County, MN",52659
"cty55097","Portage County, WI",52656
"cty38001","Adams County, ND",52631
"cty47065","Hamilton County, TN",52628
"cty15001","Hawaii County, HI",52627
"cty55065","Lafayette County, WI",52623
"cty56019","Johnson County, WY",52617
"cty27105","Nobles County, MN",52611
"cty02180","Nome Census Area, AK",52610
"cty46033","Custer County, SD",52606
"cty27051","Grant County, MN",52601
"cty21005","Anderson County, KY",52593
"cty39133","Portage County, OH",52553
"cty19079","Hamilton County, IA",52542
"cty48361","Orange County, TX",52531
"cty06099","Stanislaus County, CA",52518
"cty30087","Rosebud County, MT",52514
"cty31127","Nemaha County, NE",52509
"cty23013","Knox County, ME",52501
"cty13217","Newton County, GA",52492
"cty36051","Livingston County, NY",52482
"cty29019","Boone County, MO",52478
"cty48053","Burnet County, TX",52466
"cty02100","Haines Borough, AK",52463
"cty19131","Mitchell County, IA",52452
"cty48027","Bell County, TX",52446
"cty36063","Niagara County, NY",52443
"cty18061","Harrison County, IN",52436
"cty19083","Hardin County, IA",52430
"cty31093","Howard County, NE",52417
"cty17041","Douglas County, IL",52415
"cty48473","Waller County, TX",52400
"cty01083","Limestone County, AL",52383
"cty18133","Putnam County, IN",52354
"cty29151","Osage County, MO",52342
"cty23015","Lincoln County, ME",52342
"cty19071","Fremont County, IA",52331
"cty27133","Rock County, MN",52330
"cty02275","Wrangell City and Borough, AK",52326
"cty48421","Sherman County, TX",52309
"cty22051","Jefferson Parish, LA",52305
"cty31111","Lincoln County, NE",52301
"cty50003","Bennington County, VT",52299
"cty08051","Gunnison County, CO",52296
"cty22095","St. John the Baptist Parish, LA",52294
"cty08081","Moffat County, CO",52283
"cty29157","Perry County, MO",52282
"cty46011","Brookings County, SD",52281
"cty56013","Fremont County, WY",52273
"cty29219","Warren County, MO",52271
"cty27149","Stevens County, MN",52262
"cty18047","Franklin County, IN",52259
"cty31051","Dixon County, NE",52259
"cty22033","East Baton Rouge Parish, LA",52258
"cty36115","Washington County, NY",52245
"cty19141","O'Brien County, IA",52241
"cty36117","Wayne County, NY",52230
"cty27101","Murray County, MN",52229
"cty19077","Guthrie County, IA",52228
"cty06029","Kern County, CA",52226
"cty46125","Turner County, SD",52216
"cty36077","Otsego County, NY",52213
"cty20119","Meade County, KS",52210
"cty53063","Spokane County, WA",52190
"cty39091","Logan County, OH",52182
"cty55111","Sauk County, WI",52171
"cty55121","Trempealeau County, WI",52156
"cty05045","Faulkner County, AR",52153
"cty46029","Codington County, SD",52128
"cty50015","Lamoille County, VT",52088
"cty40093","Major County, OK",52082
"cty26047","Emmet County, MI",52074
"cty27031","Cook County, MN",52052
"cty48169","Garza County, TX",52051
"cty27091","Martin County, MN",52049
"cty12071","Lee County, FL",52044
"cty20045","Douglas County, KS",52024
"cty55135","Waupaca County, WI",52019
"cty38035","Grand Forks County, ND",52005
"cty46093","Meade County, SD",51996
"cty20027","Clay County, KS",51994
"cty40003","Alfalfa County, OK",51993
"cty55105","Rock County, WI",51992
"cty02050","Bethel Census Area, AK",51989
"cty47105","Loudon County, TN",51986
"cty26077","Kalamazoo County, MI",51984
"cty31037","Colfax County, NE",51975
"cty13047","Catoosa County, GA",51969
"cty46059","Hand County, SD",51966
"cty46003","Aurora County, SD",51964
"cty16085","Valley County, ID",51955
"cty39035","Cuyahoga County, OH",51949
"cty19023","Butler County, IA",51947
"cty47125","Montgomery County, TN",51917
"cty49033","Rich County, UT",51914
"cty18179","Wells County, IN",51914
"cty31139","Pierce County, NE",51872
"cty20055","Finney County, KS",51871
"cty31031","Cherry County, NE",51865
"cty55095","Polk County, WI",51864
"cty26147","St. Clair County, MI",51852
"cty35001","Bernalillo County, NM",51846
"cty31137","Phelps County, NE",51828
"cty20143","Ottawa County, KS",51820
"cty40045","Ellis County, OK",51782
"cty53007","Chelan County, WA",51757
"cty02198","Prince of Wales-Hyder Census Area, AK",51735
"cty46101","Moody County, SD",51732
"cty39043","Erie County, OH",51728
"cty17099","LaSalle County, IL",51697
"cty37081","Guilford County, NC",51695
"cty48057","Calhoun County, TX",51693
"cty19027","Carroll County, IA",51670
"cty06043","Mariposa County, CA",51662
"cty48359","Oldham County, TX",51641
"cty06027","Inyo County, CA",51605
"cty51011","Appomattox County, VA",51599
"cty27137","St. Louis County, MN",51592
"cty18051","Gibson County, IN",51584
"cty39161","Van Wert County, OH",51558
"cty17139","Moultrie County, IL",51556
"cty55069","Lincoln County, WI",51537
"cty39169","Wayne County, OH",51536
"cty12031","Duval County, FL",51528
"cty17009","Brown County, IL",51525
"cty20139","Osage County, KS",51521
"cty55011","Buffalo County, WI",51506
"cty36019","Clinton County, NY",51500
"cty48287","Lee County, TX",51494
"cty55071","Manitowoc County, WI",51479
"cty31059","Fillmore County, NE",51476
"cty27167","Wilkin County, MN",51469
"cty17201","Winnebago County, IL",51463
"cty18023","Clinton County, IN",51436
"cty13015","Bartow County, GA",51417
"cty48227","Howard County, TX",51404
"cty40099","Murray County, OK",51403
"cty17005","Bond County, IL",51389
"cty39151","Stark County, OH",51387
"cty12009","Brevard County, FL",51380
"cty17117","Macoupin County, IL",51362
"cty01003","Baldwin County, AL",51355
"cty18031","Decatur County, IN",51350
"cty51775","Salem city, VA",51290
"cty40047","Garfield County, OK",51284
"cty27035","Crow Wing County, MN",51281
"cty17019","Champaign County, IL",51280
"cty49015","Emery County, UT",51272
"cty21179","Nelson County, KY",51269
"cty18137","Ripley County, IN",51257
"cty20059","Franklin County, KS",51239
"cty42025","Carbon County, PA",51237
"cty17175","Stark County, IL",51221
"cty48291","Liberty County, TX",51192
"cty41047","Marion County, OR",51165
"cty53059","Skamania County, WA",51156
"cty31049","Deuel County, NE",51141
"cty19165","Shelby County, IA",51134
"cty22125","West Feliciana Parish, LA",51132
"cty19115","Louisa County, IA",51100
"cty36105","Sullivan County, NY",51097
"cty40139","Texas County, OK",51096
"cty37031","Carteret County, NC",51064
"cty13051","Chatham County, GA",51056
"cty51700","Newport News city, VA",51026
"cty29071","Franklin County, MO",51024
"cty27097","Morrison County, MN",51019
"cty04021","Pinal County, AZ",51005
"cty42059","Greene County, PA",50986
"cty48423","Smith County, TX",50970
"cty27151","Swift County, MN",50959
"cty42127","Wayne County, PA",50944
"cty08077","Mesa County, CO",50943
"cty13247","Rockdale County, GA",50941
"cty31079","Hall County, NE",50921
"cty36065","Oneida County, NY",50916
"cty48281","Lampasas County, TX",50864
"cty51119","Middlesex County, VA",50855
"cty21073","Franklin County, KY",50849
"cty42015","Bradford County, PA",50848
"cty51175","Southampton County, VA",50846
"cty31119","Madison County, NE",50822
"cty46063","Harding County, SD",50817
"cty19013","Black Hawk County, IA",50817
"cty46073","Jerauld County, SD",50801
"cty06109","Tuolumne County, CA",50800
"cty31011","Boone County, NE",50796
"cty20051","Ellis County, KS",50785
"cty20193","Thomas County, KS",50785
"cty31035","Clay County, NE",50783
"cty36023","Cortland County, NY",50777
"cty19035","Cherokee County, IA",50768
"cty06035","Lassen County, CA",50757
"cty53023","Garfield County, WA",50755
"cty29186","Ste. Genevieve County, MO",50755
"cty12003","Baker County, FL",50740
"cty12061","Indian River County, FL",50740
"cty32510","Carson City, NV",50735
"cty55033","Dunn County, WI",50728
"cty18151","Steuben County, IN",50727
"cty16043","Fremont County, ID",50721
"cty31001","Adams County, NE",50715
"cty38071","Ramsey County, ND",50709
"cty31113","Logan County, NE",50706
"cty36045","Jefferson County, NY",50686
"cty36075","Oswego County, NY",50681
"cty30105","Valley County, MT",50680
"cty36039","Greene County, NY",50668
"cty39039","Defiance County, OH",50666
"cty48237","Jack County, TX",50651
"cty46043","Douglas County, SD",50651
"cty13183","Long County, GA",50645
"cty38063","Nelson County, ND",50641
"cty39175","Wyandot County, OH",50614
"cty36015","Chemung County, NY",50611
"cty08053","Hinsdale County, CO",50611
"cty18181","White County, IN",50586
"cty48149","Fayette County, TX",50564
"cty37109","Lincoln County, NC",50559
"cty31063","Frontier County, NE",50554
"cty40147","Washington County, OK",50552
"cty46111","Sanborn County, SD",50530
"cty24019","Dorchester County, MD",50529
"cty36041","Hamilton County, NY",50515
"cty08015","Chaffee County, CO",50510
"cty48335","Mitchell County, TX",50509
"cty17011","Bureau County, IL",50508
"cty40043","Dewey County, OK",50507
"cty16011","Bingham County, ID",50501
"cty31023","Butler County, NE",50475
"cty30019","Daniels County, MT",50471
"cty51125","Nelson County, VA",50444
"cty05119","Pulaski County, AR",50415
"cty04011","Greenlee County, AZ",50415
"cty51540","Charlottesville city, VA",50413
"cty22109","Terrebonne Parish, LA",50396
"cty37067","Forsyth County, NC",50389
"cty31043","Dakota County, NE",50375
"cty48179","Gray County, TX",50365
"cty29135","Moniteau County, MO",50355
"cty51163","Rockbridge County, VA",50338
"cty19193","Woodbury County, IA",50320
"cty42109","Snyder County, PA",50314
"cty24011","Caroline County, MD",50312
"cty56003","Big Horn County, WY",50296
"cty48357","Ochiltree County, TX",50278
"cty21103","Henry County, KY",50230
"cty48181","Grayson County, TX",50224
"cty13231","Pike County, GA",50224
"cty31007","Banner County, NE",50200
"cty30097","Sweet Grass County, MT",50180
"cty30091","Sheridan County, MT",50172
"cty39135","Preble County, OH",50171
"cty55141","Wood County, WI",50169
"cty55035","Eau Claire County, WI",50169
"cty18113","Noble County, IN",50169
"cty51650","Hampton city, VA",50162
"cty48025","Bee County, TX",50140
"cty12086","Miami-Dade County, FL",50116
"cty36095","Schoharie County, NY",50100
"cty37077","Granville County, NC",50095
"cty53015","Cowlitz County, WA",50091
"cty04005","Coconino County, AZ",50061
"cty31053","Dodge County, NE",50052
"cty47119","Maury County, TN",50046
"cty50021","Rutland County, VT",50042
"cty53025","Grant County, WA",50031
"cty48105","Crockett County, TX",50015
"cty40009","Beckham County, OK",50014
"cty48263","Kent County, TX",49994
"cty29027","Callaway County, MO",49987
"cty55091","Pepin County, WI",49987
"cty51840","Winchester city, VA",49984
"cty53045","Mason County, WA",49981
"cty36099","Seneca County, NY",49979
"cty36123","Yates County, NY",49975
"cty27155","Traverse County, MN",49970
"cty38099","Walsh County, ND",49957
"cty27165","Watonwan County, MN",49951
"cty27047","Freeborn County, MN",49951
"cty51103","Lancaster County, VA",49942
"cty18039","Elkhart County, IN",49924
"cty48425","Somervell County, TX",49917
"cty21049","Clark County, KY",49910
"cty48365","Panola County, TX",49907
"cty26091","Lenawee County, MI",49893
"cty38103","Wells County, ND",49891
"cty31047","Dawson County, NE",49840
"cty29173","Ralls County, MO",49832
"cty18141","St. Joseph County, IN",49829
"cty29107","Lafayette County, MO",49824
"cty12103","Pinellas County, FL",49821
"cty36049","Lewis County, NY",49813
"cty50025","Windham County, VT",49812
"cty30007","Broadwater County, MT",49807
"cty19045","Clinton County, IA",49798
"cty42115","Susquehanna County, PA",49762
"cty31009","Blaine County, NE",49723
"cty04019","Pima County, AZ",49722
"cty51053","Dinwiddie County, VA",49709
"cty20179","Sheridan County, KS",49704
"cty26067","Ionia County, MI",49703
"cty22093","St. James Parish, LA",49702
"cty27107","Norman County, MN",49701
"cty20169","Saline County, KS",49700
"cty21077","Gallatin County, KY",49695
"cty32017","Lincoln County, NV",49689
"cty48417","Shackelford County, TX",49659
"cty48371","Pecos County, TX",49656
"cty31121","Merrick County, NE",49650
"cty53031","Jefferson County, WA",49638
"cty19117","Lucas County, IA",49636
"cty18099","Marshall County, IN",49636
"cty12069","Lake County, FL",49631
"cty42049","Erie County, PA",49630
"cty38039","Griggs County, ND",49624
"cty28059","Jackson County, MS",49622
"cty06031","Kings County, CA",49620
"cty12101","Pasco County, FL",49617
"cty21191","Pendleton County, KY",49600
"cty19087","Henry County, IA",49581
"cty34011","Cumberland County, NJ",49579
"cty51171","Shenandoah County, VA",49577
"cty55115","Shawano County, WI",49569
"cty37049","Craven County, NC",49565
"cty17161","Rock Island County, IL",49564
"cty27069","Kittson County, MN",49551
"cty48243","Jeff Davis County, TX",49549
"cty49025","Kane County, UT",49535
"cty48431","Sterling County, TX",49531
"cty06115","Yuba County, CA",49526
"cty20131","Nemaha County, KS",49526
"cty48391","Refugio County, TX",49514
"cty19033","Cerro Gordo County, IA",49509
"cty17053","Ford County, IL",49509
"cty21059","Daviess County, KY",49501
"cty17075","Iroquois County, IL",49500
"cty30025","Fallon County, MT",49490
"cty27065","Kanabec County, MN",49488
"cty48451","Tom Green County, TX",49475
"cty31089","Holt County, NE",49475
"cty53071","Walla Walla County, WA",49439
"cty40031","Comanche County, OK",49425
"cty17195","Whiteside County, IL",49423
"cty51097","King and Queen County, VA",49415
"cty26065","Ingham County, MI",49414
"cty55031","Douglas County, WI",49395
"cty23001","Androscoggin County, ME",49393
"cty48299","Llano County, TX",49387
"cty32019","Lyon County, NV",49377
"cty40059","Harper County, OK",49364
"cty20151","Pratt County, KS",49361
"cty48379","Rains County, TX",49350
"cty26029","Charlevoix County, MI",49323
"cty46109","Roberts County, SD",49317
"cty48099","Coryell County, TX",49313
"cty47127","Moore County, TN",49302
"cty46015","Brule County, SD",49281
"cty48483","Wheeler County, TX",49266
"cty45037","Edgefield County, SC",49255
"cty16005","Bannock County, ID",49252
"cty12035","Flagler County, FL",49252
"cty19161","Sac County, IA",49233
"cty47009","Blount County, TN",49211
"cty48395","Robertson County, TX",49202
"cty12005","Bay County, FL",49199
"cty27095","Mille Lacs County, MN",49195
"cty30099","Teton County, MT",49194
"cty48303","Lubbock County, TX",49191
"cty31069","Garden County, NE",49184
"cty31067","Gage County, NE",49180
"cty48123","DeWitt County, TX",49169
"cty55053","Jackson County, WI",49157
"cty30029","Flathead County, MT",49155
"cty55085","Oneida County, WI",49133
"cty18033","DeKalb County, IN",49114
"cty55123","Vernon County, WI",49104
"cty27057","Hubbard County, MN",49048
"cty16041","Franklin County, ID",49047
"cty35045","San Juan County, NM",49009
"cty21163","Meade County, KY",48989
"cty27011","Big Stone County, MN",48988
"cty36043","Herkimer County, NY",48986
"cty27127","Redwood County, MN",48979
"cty26021","Berrien County, MI",48973
"cty19097","Jackson County, IA",48968
"cty20105","Lincoln County, KS",48965
"cty47169","Trousdale County, TN",48958
"cty17067","Hancock County, IL",48951
"cty18107","Montgomery County, IN",48945
"cty27117","Pipestone County, MN",48939
"cty18157","Tippecanoe County, IN",48922
"cty19189","Winnebago County, IA",48903
"cty22007","Assumption Parish, LA",48900
"cty18111","Newton County, IN",48889
"cty29101","Johnson County, MO",48888
"cty20043","Doniphan County, KS",48885
"cty20175","Seward County, KS",48883
"cty48341","Moore County, TX",48879
"cty31151","Saline County, NE",48873
"cty46081","Lawrence County, SD",48865
"cty17017","Cass County, IL",48860
"cty27061","Itasca County, MN",48841
"cty36007","Broome County, NY",48841
"cty08087","Morgan County, CO",48829
"cty26075","Jackson County, MI",48824
"cty27073","Lac qui Parle County, MN",48818
"cty27081","Lincoln County, MN",48809
"cty53039","Klickitat County, WA",48809
"cty39143","Sandusky County, OH",48797
"cty01125","Tuscaloosa County, AL",48794
"cty20093","Kearny County, KS",48781
"cty40039","Custer County, OK",48768
"cty19195","Worth County, IA",48768
"cty17001","Adams County, IL",48763
"cty20007","Barber County, KS",48754
"cty16069","Nez Perce County, ID",48753
"cty19093","Ida County, IA",48741
"cty18091","LaPorte County, IN",48733
"cty20153","Rawlins County, KS",48712
"cty36101","Steuben County, NY",48711
"cty30063","Missoula County, MT",48703
"cty18067","Howard County, IN",48698
"cty20191","Sumner County, KS",48691
"cty06063","Plumas County, CA",48689
"cty17015","Carroll County, IL",48685
"cty48001","Anderson County, TX",48683
"cty40085","Love County, OK",48665
"cty17115","Macon County, IL",48663
"cty17137","Morgan County, IL",48636
"cty46135","Yankton County, SD",48633
"cty27043","Faribault County, MN",48630
"cty36033","Franklin County, NY",48625
"cty17173","Shelby County, IL",48623
"cty51067","Franklin County, VA",48621
"cty39113","Montgomery County, OH",48604
"cty19021","Buena Vista County, IA",48591
"cty49007","Carbon County, UT",48590
"cty19051","Davis County, IA",48590
"cty26009","Antrim County, MI",48570
"cty42057","Fulton County, PA",48567
"cty19147","Palo Alto County, IA",48566
"cty48055","Caldwell County, TX",48550
"cty39083","Knox County, OH",48548
"cty39077","Huron County, OH",48533
"cty48441","Taylor County, TX",48530
"cty42067","Juniata County, PA",48515
"cty08079","Mineral County, CO",48513
"cty19047","Crawford County, IA",48507
"cty48233","Hutchinson County, TX",48506
"cty30017","Custer County, MT",48502
"cty18079","Jennings County, IN",48497
"cty22019","Calcasieu Parish, LA",48490
"cty51155","Pulaski County, VA",48488
"cty20053","Ellsworth County, KS",48481
"cty54061","Monongalia County, WV",48473
"cty19089","Howard County, IA",48462
"cty23011","Kennebec County, ME",48457
"cty41007","Clatsop County, OR",48433
"cty18123","Perry County, IN",48432
"cty19041","Clay County, IA",48425
"cty39125","Paulding County, OH",48415
"cty17065","Hamilton County, IL",48401
"cty26137","Otsego County, MI",48400
"cty37019","Brunswick County, NC",48386
"cty41059","Umatilla County, OR",48385
"cty06019","Fresno County, CA",48382
"cty23009","Hancock County, ME",48374
"cty12119","Sumter County, FL",48365
"cty20123","Mitchell County, KS",48358
"cty27125","Red Lake County, MN",48357
"cty31039","Cuming County, NE",48356
"cty48297","Live Oak County, TX",48356
"cty18071","Jackson County, IN",48354
"cty46005","Beadle County, SD",48344
"cty39027","Clinton County, OH",48323
"cty40033","Cotton County, OK",48314
"cty42081","Lycoming County, PA",48282
"cty18069","Huntington County, IN",48277
"cty55043","Grant County, WI",48271
"cty40149","Washita County, OK",48255
"cty48185","Grimes County, TX",48239
"cty26155","Shiawassee County, MI",48238
"cty36073","Orleans County, NY",48237
"cty45003","Aiken County, SC",48226
"cty19135","Monroe County, IA",48221
"cty20041","Dickinson County, KS",48208
"cty54039","Kanawha County, WV",48202
"cty17169","Schuyler County, IL",48156
"cty31149","Rock County, NE",48143
"cty20127","Morris County, KS",48135
"cty01031","Coffee County, AL",48124
"cty46009","Bon Homme County, SD",48124
"cty42079","Luzerne County, PA",48117
"cty51710","Norfolk city, VA",48111
"cty49001","Beaver County, UT",48099
"cty30039","Granite County, MT",48081
"cty19143","Osceola County, IA",48075
"cty21227","Warren County, KY",48068
"cty13127","Glynn County, GA",48067
"cty49039","Sanpete County, UT",48057
"cty19043","Clayton County, IA",48046
"cty20061","Geary County, KS",48046
"cty31021","Burt County, NE",48022
"cty42069","Lackawanna County, PA",47987
"cty27021","Cass County, MN",47982
"cty20047","Edwards County, KS",47972
"cty26019","Benzie County, MI",47961
"cty19037","Chickasaw County, IA",47961
"cty46025","Clark County, SD",47958
"cty19005","Allamakee County, IA",47944
"cty46097","Miner County, SD",47937
"cty39147","Seneca County, OH",47931
"cty42117","Tioga County, PA",47930
"cty20075","Hamilton County, KS",47918
"cty19001","Adair County, IA",47916
"cty20117","Marshall County, KS",47913
"cty48095","Concho County, TX",47912
"cty51113","Madison County, VA",47911
"cty48459","Upshur County, TX",47895
"cty19063","Emmet County, IA",47883
"cty48369","Parmer County, TX",47882
"cty18007","Benton County, IN",47881
"cty37085","Harnett County, NC",47878
"cty55079","Milwaukee County, WI",47878
"cty30013","Cascade County, MT",47874
"cty51121","Montgomery County, VA",47866
"cty40129","Roger Mills County, OK",47858
"cty19175","Union County, IA",47851
"cty22047","Iberville Parish, LA",47848
"cty53043","Lincoln County, WA",47848
"cty17033","Crawford County, IL",47833
"cty26027","Cass County, MI",47833
"cty20115","Marion County, KS",47822
"cty51063","Floyd County, VA",47792
"cty19065","Fayette County, IA",47782
"cty19003","Adams County, IA",47772
"cty38083","Sheridan County, ND",47772
"cty42047","Elk County, PA",47764
"cty55077","Marquette County, WI",47750
"cty39015","Brown County, OH",47722
"cty22113","Vermilion Parish, LA",47719
"cty39005","Ashland County, OH",47719
"cty21091","Hancock County, KY",47713
"cty37021","Buncombe County, NC",47707
"cty19039","Clarke County, IA",47702
"cty48485","Wichita County, TX",47700
"cty12033","Escambia County, FL",47694
"cty51740","Portsmouth city, VA",47691
"cty06089","Shasta County, CA",47687
"cty26159","Van Buren County, MI",47679
"cty39019","Carroll County, OH",47676
"cty27033","Cottonwood County, MN",47652
"cty48041","Brazos County, TX",47639
"cty18125","Pike County, IN",47623
"cty31077","Greeley County, NE",47619
"cty22075","Plaquemines Parish, LA",47611
"cty20109","Logan County, KS",47604
"cty55007","Bayfield County, WI",47600
"cty48503","Young County, TX",47593
"cty48183","Gregg County, TX",47590
"cty22011","Beauregard Parish, LA",47580
"cty50005","Caledonia County, VT",47576
"cty18027","Daviess County, IN",47576
"cty17023","Clark County, IL",47570
"cty48481","Wharton County, TX",47567
"cty36097","Schuyler County, NY",47549
"cty18143","Scott County, IN",47547
"cty18101","Martin County, IN",47537
"cty18001","Adams County, IN",47533
"cty42107","Schuylkill County, PA",47524
"cty49041","Sevier County, UT",47518
"cty53069","Wahkiakum County, WA",47517
"cty01101","Montgomery County, AL",47511
"cty19091","Humboldt County, IA",47511
"cty31097","Johnson County, NE",47497
"cty48155","Foard County, TX",47469
"cty29169","Pulaski County, MO",47460
"cty05053","Grant County, AR",47458
"cty41043","Linn County, OR",47452
"cty48285","Lavaca County, TX",47450
"cty39157","Tuscarawas County, OH",47445
"cty18097","Marion County, IN",47438
"cty05143","Washington County, AR",47426
"cty55103","Richland County, WI",47411
"cty20161","Riley County, KS",47400
"cty46107","Potter County, SD",47393
"cty18163","Vanderburgh County, IN",47377
"cty19159","Ringgold County, IA",47376
"cty48433","Stonewall County, TX",47371
"cty19123","Mahaska County, IA",47365
"cty30075","Powder River County, MT",47358
"cty48401","Rusk County, TX",47354
"cty48007","Aransas County, TX",47338
"cty17047","Edwards County, IL",47311
"cty55047","Green Lake County, WI",47299
"cty17021","Christian County, IL",47298
"cty22037","East Feliciana Parish, LA",47284
"cty27153","Todd County, MN",47279
"cty18139","Rush County, IN",47278
"cty51071","Giles County, VA",47265
"cty18093","Lawrence County, IN",47260
"cty12001","Alachua County, FL",47256
"cty18077","Jefferson County, IN",47245
"cty47043","Dickson County, TN",47243
"cty08065","Lake County, CO",47237
"cty39095","Lucas County, OH",47224
"cty48219","Hockley County, TX",47223
"cty40103","Noble County, OK",47205
"cty29031","Cape Girardeau County, MO",47188
"cty22115","Vernon Parish, LA",47185
"cty17157","Randolph County, IL",47179
"cty48241","Jasper County, TX",47177
"cty24510","Baltimore city, MD",47171
"cty48309","McLennan County, TX",47141
"cty55005","Barron County, WI",47130
"cty27077","Lake of the Woods County, MN",47126
"cty46067","Hutchinson County, SD",47100
"cty37089","Henderson County, NC",47093
"cty29021","Buchanan County, MO",47079
"cty41039","Lane County, OR",47073
"cty20137","Norton County, KS",47057
"cty53003","Asotin County, WA",47052
