"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty48039","Brazoria County, TX",72701
"cty21015","Boone County, KY",72659
"cty27109","Olmsted County, MN",72584
"cty54037","Jefferson County, WV",72434
"cty49051","Wasatch County, UT",72355
"cty41005","Clackamas County, OR",72346
"cty51550","Chesapeake city, VA",72344
"cty41067","Washington County, OR",72212
"cty27025","Chisago County, MN",72118
"cty29165","Platte County, MO",72077
"cty38053","McKenzie County, ND",72039
"cty55131","Washington County, WI",72020
"cty51810","Virginia Beach city, VA",71913
"cty22005","Ascension Parish, LA",71749
"cty02261","Chugach Census Area, AK",71701
"cty25027","Worcester County, MA",71672
"cty06095","Solano County, CA",71650
"cty48393","Roberts County, TX",71597
"cty02185","North Slope Borough, AK",71548
"cty06073","San Diego County, CA",71210
"cty48091","Comal County, TX",71177
"cty44005","Newport County, RI",71175
"cty51003","Albemarle County, VA",71019
"cty48367","Parker County, TX",70910
"cty48071","Chambers County, TX",70882
"cty09011","New London County, CT",70615
"cty39103","Medina County, OH",70602
"cty08097","Pitkin County, CO",70388
"cty51087","Henrico County, VA",70246
"cty53035","Kitsap County, WA",70187
"cty06087","Santa Cruz County, CA",70159
"cty28089","Madison County, MS",70026
"cty08019","Clear Creek County, CO",69997
"cty48453","Travis County, TX",69937
"cty55015","Calumet County, WI",69860
"cty48493","Wilson County, TX",69825
"cty13121","Fulton County, GA",69553
"cty26161","Washtenaw County, MI",69415
"cty10003","New Castle County, DE",69238
"cty13145","Harris County, GA",69228
"cty29189","St. Louis County, MO",69206
"cty13029","Bryan County, GA",69202
"cty51069","Frederick County, VA",69163
"cty27039","Dodge County, MN",69151
"cty32011","Eureka County, NV",69128
"cty34013","Essex County, NJ",68905
"cty48003","Andrews County, TX",68890
"cty17203","Woodford County, IL",68706
"cty33013","Merrimack County, NH",68690
"cty32013","Humboldt County, NV",68684
"cty51093","Isle of Wight County, VA",68638
"cty49035","Salt Lake County, UT",68634
"cty06097","Sonoma County, CA",68475
"cty38015","Burleigh County, ND",68272
"cty44003","Kent County, RI",68129
"cty18059","Hancock County, IN",68079
"cty06083","Santa Barbara County, CA",67979
"cty15009","Maui County, HI",67943
"cty09009","New Haven County, CT",67819
"cty48167","Galveston County, TX",67811
"cty50007","Chittenden County, VT",67773
"cty08117","Summit County, CO",67739
"cty42019","Butler County, PA",67736
"cty40017","Canadian County, OK",67731
"cty24015","Cecil County, MD",67651
"cty34007","Camden County, NJ",67628
"cty20103","Leavenworth County, KS",67612
"cty02220","Sitka City and Borough, AK",67538
"cty19181","Warren County, IA",67486
"cty55025","Dane County, WI",67424
"cty17147","Piatt County, IL",67402
"cty19129","Mills County, IA",67148
"cty17063","Grundy County, IL",67135
"cty38007","Billings County, ND",67122
"cty31177","Washington County, NE",67017
"cty25001","Barnstable County, MA",67001
"cty02240","Southeast Fairbanks Census Area, AK",66949
"cty48211","Hemphill County, TX",66929
"cty34029","Ocean County, NJ",66907
"cty56037","Sweetwater County, WY",66906
"cty49049","Utah County, UT",66895
"cty30083","Richland County, MT",66735
"cty08047","Gilpin County, CO",66702
"cty02130","Ketchikan Gateway Borough, AK",66697
"cty22023","Cameron Parish, LA",66644
"cty29047","Clay County, MO",66615
"cty38061","Mountrail County, ND",66349
"cty49047","Uintah County, UT",66296
"cty25015","Hampshire County, MA",66290
"cty08041","El Paso County, CO",66186
"cty51800","Suffolk city, VA",66170
"cty38025","Dunn County, ND",66130
"cty48187","Guadalupe County, TX",66082
"cty02282","Yakutat City and Borough, AK",66042
"cty15007","Kauai County, HI",66001
"cty22089","St. Charles Parish, LA",65981
"cty34031","Passaic County, NJ",65964
"cty08119","Teller County, CO",65903
"cty22103","St. Tammany Parish, LA",65824
"cty18127","Porter County, IN",65714
"cty48139","Ellis County, TX",65669
"cty30043","Jefferson County, MT",65627
"cty21209","Scott County, KY",65605
"cty38011","Bowman County, ND",65572
"cty56009","Converse County, WY",65549
"cty13135","Gwinnett County, GA",65497
"cty38019","Cavalier County, ND",65493
"cty51187","Warren County, VA",65472
"cty48439","Tarrant County, TX",65443
"cty25005","Bristol County, MA",65427
"cty53011","Clark County, WA",65404
"cty23005","Cumberland County, ME",65401
"cty51065","Fluvanna County, VA",65377
"cty38065","Oliver County, ND",65371
"cty51047","Culpeper County, VA",65337
"cty08049","Grand County, CO",65275
"cty20121","Miami County, KS",65263
"cty37119","Mecklenburg County, NC",65247
"cty37135","Orange County, NC",65236
"cty51149","Prince George County, VA",65186
"cty13177","Lee County, GA",65174
"cty38075","Renville County, ND",65106
"cty02013","Aleutians East Borough, AK",65105
"cty21215","Spencer County, KY",65049
"cty39057","Greene County, OH",65049
"cty02122","Kenai Peninsula Borough, AK",65030
"cty08107","Routt County, CO",65006
"cty42041","Cumberland County, PA",64999
"cty01089","Madison County, AL",64994
"cty24041","Talbot County, MD",64817
"cty17113","McLean County, IL",64815
