"cty","Name","Poverty_Rate_in_2012-16"
"cty12125","Union County, FL",0.2156
"cty13187","Lumpkin County, GA",0.2156
"cty40069","Johnston County, OK",0.2155
"cty48321","Matagorda County, TX",0.2155
"cty13241","Rabun County, GA",0.2155
"cty46005","Beadle County, SD",0.2155
"cty29197","Schuyler County, MO",0.2155
"cty05029","Conway County, AR",0.2153
"cty51051","Dickenson County, VA",0.2151
"cty30047","Lake County, MT",0.215
"cty39095","Lucas County, OH",0.2149
"cty28155","Webster County, MS",0.2149
"cty29055","Crawford County, MO",0.2148
"cty48163","Frio County, TX",0.2146
"cty35007","Colfax County, NM",0.2146
"cty51135","Nottoway County, VA",0.2145
"cty48119","Delta County, TX",0.2144
"cty45001","Abbeville County, SC",0.2142
"cty47063","Hamblen County, TN",0.2137
"cty21009","Barren County, KY",0.2137
"cty29083","Henry County, MO",0.2136
"cty37199","Yancey County, NC",0.2135
"cty30061","Mineral County, MT",0.2134
"cty29019","Boone County, MO",0.2131
"cty51580","Covington city, VA",0.2131
"cty20045","Douglas County, KS",0.213
"cty21055","Crittenden County, KY",0.213
"cty48093","Comanche County, TX",0.213
"cty19053","Decatur County, IA",0.2129
"cty39053","Gallia County, OH",0.2128
"cty06023","Humboldt County, CA",0.2127
"cty53047","Okanogan County, WA",0.2127
"cty12037","Franklin County, FL",0.2127
"cty46023","Charles Mix County, SD",0.2125
"cty06031","Kings County, CA",0.2125
"cty06115","Yuba County, CA",0.2125
"cty06103","Tehama County, CA",0.2125
"cty05065","Izard County, AR",0.2125
"cty13147","Hart County, GA",0.2124
"cty51195","Wise County, VA",0.2124
"cty01129","Washington County, AL",0.2123
"cty17037","DeKalb County, IL",0.2123
"cty26049","Genesee County, MI",0.2122
"cty25025","Suffolk County, MA",0.212
"cty47131","Obion County, TN",0.2119
"cty05047","Franklin County, AR",0.2119
"cty21033","Caldwell County, KY",0.2118
"cty45077","Pickens County, SC",0.2118
"cty47083","Houston County, TN",0.2115
"cty37015","Bertie County, NC",0.2114
"cty39163","Vinton County, OH",0.2114
"cty37193","Wilkes County, NC",0.2113
"cty40097","Mayes County, OK",0.2112
"cty13025","Brantley County, GA",0.2112
"cty01023","Choctaw County, AL",0.2112
"cty28047","Harrison County, MS",0.2109
"cty48279","Lamb County, TX",0.2106
"cty22121","West Baton Rouge Parish, LA",0.2106
"cty54055","Mercer County, WV",0.2105
"cty05091","Miller County, AR",0.2105
"cty47039","Decatur County, TN",0.2105
"cty40101","Muskogee County, OK",0.2104
"cty47171","Unicoi County, TN",0.2104
"cty18155","Switzerland County, IN",0.2104
"cty21183","Ohio County, KY",0.2102
"cty30015","Chouteau County, MT",0.2101
"cty22001","Acadia Parish, LA",0.2099
"cty05139","Union County, AR",0.2098
"cty05071","Johnson County, AR",0.2098
"cty13285","Troup County, GA",0.2098
"cty13319","Wilkinson County, GA",0.2098
"cty45029","Colleton County, SC",0.2096
"cty47077","Henderson County, TN",0.2096
"cty29035","Carter County, MO",0.2096
"cty28077","Lawrence County, MS",0.2095
"cty13275","Thomas County, GA",0.2094
"cty12133","Washington County, FL",0.2092
"cty21023","Bracken County, KY",0.209
"cty29119","McDonald County, MO",0.2089
"cty54099","Wayne County, WV",0.2089
"cty18167","Vigo County, IN",0.2087
"cty20111","Lyon County, KS",0.2085
"cty28095","Monroe County, MS",0.2084
"cty06015","Del Norte County, CA",0.2082
"cty48389","Reeves County, TX",0.2082
"cty39131","Pike County, OH",0.2082
"cty13129","Gordon County, GA",0.2082
"cty13001","Appling County, GA",0.2081
"cty48249","Jim Wells County, TX",0.2081
"cty51520","Bristol city, VA",0.2081
"cty54103","Wetzel County, WV",0.208
"cty21227","Warren County, KY",0.2079
"cty30023","Deer Lodge County, MT",0.2078
"cty05051","Garland County, AR",0.2077
"cty47075","Haywood County, TN",0.2074
"cty01111","Randolph County, AL",0.2074
"cty37045","Cleveland County, NC",0.2073
"cty48207","Haskell County, TX",0.2073
"cty35045","San Juan County, NM",0.2072
"cty39071","Highland County, OH",0.2071
"cty13161","Jeff Davis County, GA",0.207
"cty48465","Val Verde County, TX",0.207
"cty51670","Hopewell city, VA",0.207
"cty08101","Pueblo County, CO",0.2069
"cty51111","Lunenburg County, VA",0.2069
"cty36057","Montgomery County, NY",0.2068
"cty01045","Dale County, AL",0.2068
"cty01121","Talladega County, AL",0.2066
"cty48449","Titus County, TX",0.2066
"cty39127","Perry County, OH",0.2062
"cty18097","Marion County, IN",0.206
"cty13049","Charlton County, GA",0.206
"cty47177","Warren County, TN",0.206
"cty40063","Hughes County, OK",0.2059
"cty13035","Butts County, GA",0.2059
"cty01133","Winston County, AL",0.2059
"cty01015","Calhoun County, AL",0.2058
"cty16037","Custer County, ID",0.2058
"cty40015","Caddo County, OK",0.2057
"cty47113","Madison County, TN",0.2056
"cty29057","Dade County, MO",0.2054
"cty04027","Yuma County, AZ",0.2053
"cty05127","Scott County, AR",0.2053
"cty53077","Yakima County, WA",0.2052
"cty05129","Searcy County, AR",0.2051
"cty29067","Douglas County, MO",0.2049
"cty48271","Kinney County, TX",0.2048
"cty28109","Pearl River County, MS",0.2047
"cty30073","Pondera County, MT",0.2043
"cty23021","Piscataquis County, ME",0.2043
"cty01095","Marshall County, AL",0.2042
"cty08099","Prowers County, CO",0.2042
"cty22087","St. Bernard Parish, LA",0.2042
"cty21161","Mason County, KY",0.2041
"cty22025","Catahoula Parish, LA",0.2041
"cty47101","Lewis County, TN",0.204
"cty22079","Rapides Parish, LA",0.2038
"cty13143","Haralson County, GA",0.2038
"cty21047","Christian County, KY",0.2037
"cty36089","St. Lawrence County, NY",0.2036
"cty48277","Lamar County, TX",0.2035
"cty12043","Glades County, FL",0.2035
"cty48189","Hale County, TX",0.2035
"cty13263","Talbot County, GA",0.2034
"cty45059","Laurens County, SC",0.2033
"cty13159","Jasper County, GA",0.2032
"cty22109","Terrebonne Parish, LA",0.2031
"cty05003","Ashley County, AR",0.203
"cty48075","Childress County, TX",0.203
"cty28131","Stone County, MS",0.203
"cty26051","Gladwin County, MI",0.203
"cty54087","Roane County, WV",0.203
"cty28057","Itawamba County, MS",0.203
"cty45085","Sumter County, SC",0.2029
"cty48245","Jefferson County, TX",0.2028
"cty54007","Braxton County, WV",0.2027
"cty05031","Craighead County, AR",0.2026
"cty04007","Gila County, AZ",0.2025
"cty06045","Mendocino County, CA",0.2025
"cty31133","Pawnee County, NE",0.2025
"cty51169","Scott County, VA",0.2024
"cty45065","McCormick County, SC",0.2024
"cty40111","Okmulgee County, OK",0.2023
"cty46109","Roberts County, SD",0.2022
"cty06113","Yolo County, CA",0.2022
"cty22033","East Baton Rouge Parish, LA",0.2022
"cty45041","Florence County, SC",0.2022
"cty18177","Wayne County, IN",0.2022
"cty41069","Wheeler County, OR",0.2022
"cty48309","McLennan County, TX",0.2021
"cty01021","Chilton County, AL",0.202
"cty06105","Trinity County, CA",0.202
"cty39115","Morgan County, OH",0.2019
"cty26121","Muskegon County, MI",0.2018
"cty54045","Logan County, WV",0.2017
"cty51710","Norfolk city, VA",0.2016
"cty54109","Wyoming County, WV",0.2014
"cty48107","Crosby County, TX",0.2014
"cty01097","Mobile County, AL",0.2012
"cty45087","Union County, SC",0.2012
"cty13257","Stephens County, GA",0.2011
"cty47057","Grainger County, TN",0.201
"cty40061","Haskell County, OK",0.2009
"cty22045","Iberia Parish, LA",0.2009
"cty39059","Guernsey County, OH",0.2008
"cty06021","Glenn County, CA",0.2007
"cty26053","Gogebic County, MI",0.2007
"cty37009","Ashe County, NC",0.2007
"cty04012","La Paz County, AZ",0.2006
"cty12086","Miami-Dade County, FL",0.2006
"cty21061","Edmonson County, KY",0.2006
"cty37067","Forsyth County, NC",0.2005
"cty01017","Chambers County, AL",0.2005
"cty05025","Cleveland County, AR",0.2003
"cty48303","Lubbock County, TX",0.2002
"cty17183","Vermilion County, IL",0.2001
"cty48463","Uvalde County, TX",0.2001
"cty21081","Grant County, KY",0.2001
"cty41039","Lane County, OR",0.1999
"cty48461","Upton County, TX",0.1997
"cty12023","Columbia County, FL",0.1996
"cty48349","Navarro County, TX",0.1996
"cty35011","De Baca County, NM",0.1996
"cty01029","Cleburne County, AL",0.1996
"cty28003","Alcorn County, MS",0.1993
"cty13233","Polk County, GA",0.1993
"cty21233","Webster County, KY",0.1992
"cty37023","Burke County, NC",0.1991
"cty13191","McIntosh County, GA",0.1991
"cty04019","Pima County, AZ",0.199
"cty18053","Grant County, IN",0.1989
"cty37111","McDowell County, NC",0.1989
"cty29221","Washington County, MO",0.1989
"cty30093","Silver Bow County, MT",0.1988
"cty01049","DeKalb County, AL",0.1986
"cty29079","Grundy County, MO",0.1985
"cty37117","Martin County, NC",0.1985
"cty48305","Lynn County, TX",0.1985
"cty13229","Pierce County, GA",0.1984
"cty51001","Accomack County, VA",0.1984
"cty16025","Camas County, ID",0.1983
"cty29103","Knox County, MO",0.1983
"cty26127","Oceana County, MI",0.1983
"cty40041","Delaware County, OK",0.1982
"cty47017","Carroll County, TN",0.198
"cty47133","Overton County, TN",0.198
"cty48195","Hansford County, TX",0.198
"cty05037","Cross County, AR",0.198
"cty48231","Hunt County, TX",0.198
"cty05115","Pope County, AR",0.1979
"cty21177","Muhlenberg County, KY",0.1978
"cty41031","Jefferson County, OR",0.1977
"cty05143","Washington County, AR",0.1976
"cty05089","Marion County, AR",0.1976
"cty45043","Georgetown County, SC",0.1976
"cty12007","Bradford County, FL",0.1975
"cty17115","Macon County, IL",0.1975
"cty13313","Whitfield County, GA",0.1975
"cty53051","Pend Oreille County, WA",0.1974
"cty29077","Greene County, MO",0.1973
"cty48005","Angelina County, TX",0.1973
"cty26143","Roscommon County, MI",0.1971
"cty22053","Jefferson Davis Parish, LA",0.1971
"cty26129","Ogemaw County, MI",0.1971
"cty42063","Indiana County, PA",0.197
"cty48151","Fisher County, TX",0.1969
"cty51630","Fredericksburg city, VA",0.1969
"cty48087","Collingsworth County, TX",0.1968
"cty32021","Mineral County, NV",0.1968
"cty37075","Graham County, NC",0.1968
"cty36013","Chautauqua County, NY",0.1967
"cty18025","Crawford County, IN",0.1966
"cty21087","Green County, KY",0.1966
"cty05061","Howard County, AR",0.1966
"cty39141","Ross County, OH",0.1965
"cty51077","Grayson County, VA",0.1963
"cty05117","Prairie County, AR",0.1962
"cty29179","Reynolds County, MO",0.1962
"cty40029","Coal County, OK",0.1961
"cty48267","Kimble County, TX",0.1961
"cty18041","Fayette County, IN",0.1961
"cty13115","Floyd County, GA",0.1961
"cty05121","Randolph County, AR",0.196
"cty13283","Treutlen County, GA",0.196
"cty28111","Perry County, MS",0.196
"cty48079","Cochran County, TX",0.1958
"cty04003","Cochise County, AZ",0.1957
"cty29201","Scott County, MO",0.1954
"cty37039","Cherokee County, NC",0.1954
"cty19103","Johnson County, IA",0.1952
"cty48223","Hopkins County, TX",0.1951
"cty20133","Neosho County, KS",0.195
"cty26135","Oscoda County, MI",0.1949
"cty13045","Carroll County, GA",0.1949
"cty21079","Garrard County, KY",0.1948
"cty40067","Jefferson County, OK",0.1947
"cty54041","Lewis County, WV",0.1947
"cty30087","Rosebud County, MT",0.1945
"cty47123","Monroe County, TN",0.1945
"cty39007","Ashtabula County, OH",0.1945
"cty05081","Little River County, AR",0.1945
"cty47107","McMinn County, TN",0.1944
"cty48037","Bowie County, TX",0.1943
"cty27013","Blue Earth County, MN",0.1943
"cty47073","Hawkins County, TN",0.1941
"cty37005","Alleghany County, NC",0.1941
"cty29131","Miller County, MO",0.1941
"cty45017","Calhoun County, SC",0.194
"cty48067","Cass County, TX",0.194
"cty41033","Josephine County, OR",0.1938
"cty29015","Benton County, MO",0.1937
"cty01125","Tuscaloosa County, AL",0.1937
"cty48063","Camp County, TX",0.1936
"cty01069","Houston County, AL",0.1936
"cty22085","Sabine Parish, LA",0.1935
"cty13105","Elbert County, GA",0.1935
"cty08033","Dolores County, CO",0.1934
"cty21067","Fayette County, KY",0.1934
"cty40077","Latimer County, OK",0.1933
"cty21101","Henderson County, KY",0.1933
"cty12055","Highlands County, FL",0.1933
"cty12097","Osceola County, FL",0.1932
"cty04015","Mohave County, AZ",0.193
"cty22077","Pointe Coupee Parish, LA",0.193
"cty47079","Henry County, TN",0.193
"cty34011","Cumberland County, NJ",0.1929
"cty05001","Arkansas County, AR",0.1928
"cty13123","Gilmer County, GA",0.1926
"cty38035","Grand Forks County, ND",0.1925
"cty54085","Ritchie County, WV",0.1925
"cty27007","Beltrami County, MN",0.1924
"cty21213","Simpson County, KY",0.1923
"cty05063","Independence County, AR",0.1923
"cty22047","Iberville Parish, LA",0.1923
"cty39113","Montgomery County, OH",0.1922
"cty47115","Marion County, TN",0.1922
"cty29171","Putnam County, MO",0.1922
"cty06071","San Bernardino County, CA",0.1921
"cty40091","McIntosh County, OK",0.192
"cty13311","White County, GA",0.1919
"cty37157","Rockingham County, NC",0.1918
"cty17055","Franklin County, IL",0.1918
"cty48025","Bee County, TX",0.1916
"cty30103","Treasure County, MT",0.1915
"cty48017","Bailey County, TX",0.1915
"cty16027","Canyon County, ID",0.1914
"cty26011","Arenac County, MI",0.1913
"cty08105","Rio Grande County, CO",0.1912
"cty16075","Payette County, ID",0.1912
"cty47175","Van Buren County, TN",0.1909
"cty51089","Henry County, VA",0.1909
"cty20125","Montgomery County, KS",0.1908
"cty15001","Hawaii County, HI",0.1908
"cty28023","Clarke County, MS",0.1908
"cty05083","Logan County, AR",0.1907
"cty17169","Schuyler County, IL",0.1906
"cty13079","Crawford County, GA",0.1904
"cty35037","Quay County, NM",0.1904
"cty13127","Glynn County, GA",0.1904
"cty48217","Hill County, TX",0.1904
"cty21113","Jessamine County, KY",0.1903
"cty13089","DeKalb County, GA",0.1902
"cty47181","Wayne County, TN",0.1901
"cty48001","Anderson County, TX",0.19
"cty47161","Stewart County, TN",0.19
"cty35001","Bernalillo County, NM",0.1899
"cty45081","Saluda County, SC",0.1899
"cty13213","Murray County, GA",0.1898
"cty22011","Beauregard Parish, LA",0.1898
"cty29105","Laclede County, MO",0.1897
"cty45071","Newberry County, SC",0.1897
"cty48125","Dickens County, TX",0.1895
"cty17127","Massac County, IL",0.1895
"cty47053","Gibson County, TN",0.1895
"cty37141","Pender County, NC",0.1895
"cty01071","Jackson County, AL",0.1893
"cty41061","Union County, OR",0.1893
"cty05013","Calhoun County, AR",0.1892
"cty01039","Covington County, AL",0.1892
"cty25015","Hampshire County, MA",0.1892
"cty47045","Dyer County, TN",0.1892
"cty29125","Maries County, MO",0.1891
"cty51083","Halifax County, VA",0.1891
"cty21097","Harrison County, KY",0.1891
"cty37161","Rutherford County, NC",0.189
"cty20175","Seward County, KS",0.189
"cty40105","Nowata County, OK",0.1889
"cty28145","Union County, MS",0.1889
"cty06003","Alpine County, CA",0.1889
"cty54053","Mason County, WV",0.1888
"cty05033","Crawford County, AR",0.1887
"cty48433","Stonewall County, TX",0.1886
"cty54019","Fayette County, WV",0.1886
"cty29121","Macon County, MO",0.1885
"cty26059","Hillsdale County, MI",0.1885
"cty05097","Montgomery County, AR",0.1885
"cty47121","Meigs County, TN",0.1885
"cty42031","Clarion County, PA",0.1884
"cty01093","Marion County, AL",0.1883
"cty21155","Marion County, KY",0.1883
"cty13051","Chatham County, GA",0.1882
"cty12003","Baker County, FL",0.1882
"cty48183","Gregg County, TX",0.1882
"cty21019","Boyd County, KY",0.1882
"cty46011","Brookings County, SD",0.1881
"cty39099","Mahoning County, OH",0.188
"cty47111","Macon County, TN",0.1879
"cty02164","Lake and Peninsula Borough, AK",0.1877
"cty46089","McPherson County, SD",0.1877
"cty37145","Person County, NC",0.1876
"cty21043","Carter County, KY",0.1875
"cty11001","District of Columbia, DC",0.1874
"cty37197","Yadkin County, NC",0.1874
"cty40055","Greer County, OK",0.1874
"cty45079","Richland County, SC",0.1873
"cty28037","Franklin County, MS",0.1873
"cty40049","Garvin County, OK",0.1872
"cty39035","Cuyahoga County, OH",0.1872
"cty26165","Wexford County, MI",0.1872
"cty48307","McCulloch County, TX",0.1872
"cty17069","Hardin County, IL",0.1872
"cty29101","Johnson County, MO",0.1872
"cty26031","Cheboygan County, MI",0.1871
"cty22095","St. John the Baptist Parish, LA",0.1871
"cty28081","Lee County, MS",0.1869
"cty47059","Greene County, TN",0.1869
"cty22043","Grant Parish, LA",0.1868
"cty39111","Monroe County, OH",0.1868
"cty47103","Lincoln County, TN",0.1868
"cty41041","Lincoln County, OR",0.1867
"cty19051","Davis County, IA",0.1865
"cty47011","Bradley County, TN",0.1865
"cty37063","Durham County, NC",0.1864
"cty40123","Pontotoc County, OK",0.1864
"cty29081","Harrison County, MO",0.1864
"cty17153","Pulaski County, IL",0.1862
"cty01055","Etowah County, AL",0.1862
"cty37085","Harnett County, NC",0.1861
"cty48213","Henderson County, TX",0.186
"cty13295","Walker County, GA",0.186
"cty54095","Tyler County, WV",0.186
"cty47099","Lawrence County, TN",0.186
"cty28141","Tishomingo County, MS",0.186
"cty45073","Oconee County, SC",0.1859
"cty29089","Howard County, MO",0.1859
"cty17121","Marion County, IL",0.1857
"cty48113","Dallas County, TX",0.1856
"cty39047","Fayette County, OH",0.1856
"cty54025","Greenbrier County, WV",0.1856
"cty29225","Webster County, MO",0.1856
"cty41019","Douglas County, OR",0.1855
"cty42051","Fayette County, PA",0.1855
"cty29033","Carroll County, MO",0.1855
"cty13253","Seminole County, GA",0.1854
"cty53049","Pacific County, WA",0.1853
"cty48343","Morris County, TX",0.1853
"cty20005","Atchison County, KS",0.1852
"cty48057","Calhoun County, TX",0.1852
"cty21083","Graves County, KY",0.1852
"cty05141","Van Buren County, AR",0.1851
"cty54089","Summers County, WV",0.185
"cty16005","Bannock County, ID",0.1849
"cty54097","Upshur County, WV",0.1849
"cty37105","Lee County, NC",0.1849
"cty12131","Walton County, FL",0.1848
"cty48417","Shackelford County, TX",0.1847
"cty05109","Pike County, AR",0.1846
"cty01073","Jefferson County, AL",0.1845
"cty47085","Humphreys County, TN",0.1845
"cty01077","Lauderdale County, AL",0.1843
"cty40125","Pottawatomie County, OK",0.1842
"cty48385","Real County, TX",0.1841
"cty54075","Pocahontas County, WV",0.1841
"cty51678","Lexington city, VA",0.184
"cty37113","Macon County, NC",0.184
"cty47033","Crockett County, TN",0.1839
"cty13321","Worth County, GA",0.1839
"cty37001","Alamance County, NC",0.1837
"cty46037","Day County, SD",0.1837
"cty22007","Assumption Parish, LA",0.1837
"cty28045","Hancock County, MS",0.1837
"cty41035","Klamath County, OR",0.1836
"cty31117","McPherson County, NE",0.1835
"cty26033","Chippewa County, MI",0.1834
"cty39087","Lawrence County, OH",0.1834
"cty26077","Kalamazoo County, MI",0.1833
"cty01079","Lawrence County, AL",0.1832
"cty30079","Prairie County, MT",0.1832
"cty29031","Cape Girardeau County, MO",0.183
"cty12077","Liberty County, FL",0.183
"cty51005","Alleghany County, VA",0.183
"cty40109","Oklahoma County, OK",0.1829
"cty13153","Houston County, GA",0.1829
"cty47023","Chester County, TN",0.1829
"cty39023","Clark County, OH",0.1829
"cty13005","Bacon County, GA",0.1829
"cty13137","Habersham County, GA",0.1828
"cty06099","Stanislaus County, CA",0.1827
"cty45057","Lancaster County, SC",0.1827
"cty01041","Crenshaw County, AL",0.1827
"cty38069","Pierce County, ND",0.1827
"cty48083","Coleman County, TX",0.1825
"cty08083","Montezuma County, CO",0.1824
"cty05119","Pulaski County, AR",0.1824
"cty39049","Franklin County, OH",0.1823
"cty26123","Newaygo County, MI",0.1823
"cty36075","Oswego County, NY",0.1822
"cty05087","Madison County, AR",0.1818
"cty39061","Hamilton County, OH",0.1817
"cty13139","Hall County, GA",0.1817
"cty28041","Greene County, MS",0.1816
"cty06077","San Joaquin County, CA",0.1815
"cty36033","Franklin County, NY",0.1815
"cty18141","St. Joseph County, IN",0.1815
"cty48203","Harrison County, TX",0.1815
"cty28039","George County, MS",0.1815
"cty35027","Lincoln County, NM",0.1814
"cty21167","Mercer County, KY",0.1814
"cty20099","Labette County, KS",0.1813
"cty54071","Pendleton County, WV",0.1813
"cty48441","Taylor County, TX",0.1812
"cty37081","Guilford County, NC",0.1812
"cty42035","Clinton County, PA",0.1812
"cty26057","Gratiot County, MI",0.1812
"cty12083","Marion County, FL",0.1811
"cty41011","Coos County, OR",0.181
"cty26103","Marquette County, MI",0.181
"cty05145","White County, AR",0.181
"cty29059","Dallas County, MO",0.181
"cty13237","Putnam County, GA",0.181
"cty21141","Logan County, KY",0.181
"cty29021","Buchanan County, MO",0.181
"cty26145","Saginaw County, MI",0.1809
"cty08085","Montrose County, CO",0.1809
"cty48049","Brown County, TX",0.1809
"cty37129","New Hanover County, NC",0.1807
"cty47185","White County, TN",0.1807
"cty21149","McLean County, KY",0.1807
"cty13111","Fannin County, GA",0.1807
"cty22037","East Feliciana Parish, LA",0.1806
"cty29117","Livingston County, MO",0.1806
"cty23025","Somerset County, ME",0.1806
"cty48059","Callahan County, TX",0.1805
"cty29097","Jasper County, MO",0.1804
"cty47037","Davidson County, TN",0.1804
"cty48055","Caldwell County, TX",0.1802
"cty48399","Runnels County, TX",0.1802
"cty40043","Dewey County, OK",0.1802
"cty37159","Rowan County, NC",0.1801
"cty18001","Adams County, IN",0.1801
"cty41029","Jackson County, OR",0.18
"cty31147","Richardson County, NE",0.18
"cty21145","McCracken County, KY",0.18
"cty18091","LaPorte County, IN",0.1799
"cty23029","Washington County, ME",0.1798
"cty36007","Broome County, NY",0.1798
"cty23003","Aroostook County, ME",0.1797
"cty29109","Lawrence County, MO",0.1797
"cty16067","Minidoka County, ID",0.1797
"cty39081","Jefferson County, OH",0.1797
"cty20189","Stevens County, KS",0.1797
"cty18139","Rush County, IN",0.1796
"cty12111","St. Lucie County, FL",0.1794
"cty06067","Sacramento County, CA",0.1794
"cty08027","Custer County, CO",0.1794
"cty46055","Haakon County, SD",0.1794
"cty16039","Elmore County, ID",0.1793
"cty48373","Polk County, TX",0.1792
"cty40071","Kay County, OK",0.1792
"cty13221","Oglethorpe County, GA",0.1792
"cty51173","Smyth County, VA",0.1792
"cty06037","Los Angeles County, CA",0.1791
"cty40035","Craig County, OK",0.179
"cty48473","Waller County, TX",0.179
"cty45051","Horry County, SC",0.1789
"cty28115","Pontotoc County, MS",0.1789
"cty16079","Shoshone County, ID",0.1787
"cty30053","Lincoln County, MT",0.1787
"cty41059","Umatilla County, OR",0.1783
"cty05105","Perry County, AR",0.1783
"cty36065","Oneida County, NY",0.1783
"cty12105","Polk County, FL",0.1782
"cty39067","Harrison County, OH",0.1781
"cty47139","Polk County, TN",0.178
"cty26021","Berrien County, MI",0.1779
"cty29115","Linn County, MO",0.1779
"cty29213","Taney County, MO",0.1778
"cty51117","Mecklenburg County, VA",0.1778
"cty22075","Plaquemines Parish, LA",0.1778
"cty48353","Nolan County, TX",0.1777
"cty29029","Camden County, MO",0.1777
"cty51740","Portsmouth city, VA",0.1776
"cty08009","Baca County, CO",0.1776
"cty37171","Surry County, NC",0.1775
"cty12017","Citrus County, FL",0.1775
"cty18089","Lake County, IN",0.1774
"cty48485","Wichita County, TX",0.1774
"cty48481","Wharton County, TX",0.1774
"cty54067","Nicholas County, WV",0.1773
"cty37013","Beaufort County, NC",0.1772
"cty37121","Mitchell County, NC",0.1772
"cty24001","Allegany County, MD",0.1772
"cty37051","Cumberland County, NC",0.1771
"cty21223","Trimble County, KY",0.1771
"cty17095","Knox County, IL",0.1771
"cty37127","Nash County, NC",0.177
"cty17163","St. Clair County, IL",0.177
"cty48341","Moore County, TX",0.177
"cty48363","Palo Pinto County, TX",0.177
"cty18153","Sullivan County, IN",0.177
"cty29007","Audrain County, MO",0.1769
"cty41055","Sherman County, OR",0.1769
"cty51081","Greensville County, VA",0.1769
"cty40013","Bryan County, OK",0.1768
"cty48133","Eastland County, TX",0.1768
"cty48411","San Saba County, TX",0.1768
"cty48201","Harris County, TX",0.1766
"cty39155","Trumbull County, OH",0.1766
"cty21089","Greenup County, KY",0.1765
"cty12095","Orange County, FL",0.1762
"cty05055","Greene County, AR",0.1762
"cty28093","Marshall County, MS",0.1762
"cty37027","Caldwell County, NC",0.1762
"cty25013","Hampden County, MA",0.1761
"cty32023","Nye County, NV",0.1761
"cty21229","Washington County, KY",0.1761
"cty29175","Randolph County, MO",0.1759
"cty30107","Wheatland County, MT",0.1759
"cty48029","Bexar County, TX",0.1758
"cty45083","Spartanburg County, SC",0.1758
"cty51029","Buckingham County, VA",0.1758
"cty06101","Sutter County, CA",0.1757
"cty05149","Yell County, AR",0.1757
"cty21187","Owen County, KY",0.1757
"cty48425","Somervell County, TX",0.1757
"cty41037","Lake County, OR",0.1757
"cty48383","Reagan County, TX",0.1755
"cty29167","Polk County, MO",0.1755
"cty22019","Calcasieu Parish, LA",0.1754
"cty20057","Ford County, KS",0.1754
"cty17081","Jefferson County, IL",0.1754
"cty34017","Hudson County, NJ",0.1753
"cty26117","Montcalm County, MI",0.1753
"cty51620","Franklin city, VA",0.1752
"cty48147","Fannin County, TX",0.1751
"cty29095","Jackson County, MO",0.175
"cty36003","Allegany County, NY",0.175
"cty04021","Pinal County, AZ",0.1749
"cty29127","Marion County, MO",0.1749
"cty29139","Montgomery County, MO",0.1748
"cty26159","Van Buren County, MI",0.1747
"cty45049","Hampton County, SC",0.1747
"cty36009","Cattaraugus County, NY",0.1746
"cty06089","Shasta County, CA",0.1746
"cty18103","Miami County, IN",0.1746
"cty41013","Crook County, OR",0.1746
"cty54049","Marion County, WV",0.1745
"cty48177","Gonzales County, TX",0.1745
"cty19179","Wapello County, IA",0.1743
"cty36019","Clinton County, NY",0.1743
"cty44007","Providence County, RI",0.1742
"cty34013","Essex County, NJ",0.1742
"cty28015","Carroll County, MS",0.1742
"cty20141","Osborne County, KS",0.1742
"cty26025","Calhoun County, MI",0.1742
"cty51185","Tazewell County, VA",0.1742
"cty54107","Wood County, WV",0.1741
"cty53021","Franklin County, WA",0.1741
"cty29217","Vernon County, MO",0.1741
"cty22099","St. Martin Parish, LA",0.1741
"cty37071","Gaston County, NC",0.174
"cty05009","Boone County, AR",0.174
"cty30081","Ravalli County, MT",0.174
"cty45003","Aiken County, SC",0.174
"cty36061","New York County, NY",0.1739
"cty40121","Pittsburg County, OK",0.1736
"cty51011","Appomattox County, VA",0.1736
"cty20049","Elk County, KS",0.1736
"cty39119","Muskingum County, OH",0.1736
"cty13247","Rockdale County, GA",0.1736
"cty41047","Marion County, OR",0.1735
"cty08073","Lincoln County, CO",0.1735
"cty22113","Vermilion Parish, LA",0.1735
"cty05015","Carroll County, AR",0.1735
"cty41043","Linn County, OR",0.1734
"cty26071","Iron County, MI",0.1734
"cty37003","Alexander County, NC",0.1734
"cty13121","Fulton County, GA",0.1733
"cty53015","Cowlitz County, WA",0.1733
"cty47001","Anderson County, TN",0.1733
"cty26023","Branch County, MI",0.1732
"cty31017","Brown County, NE",0.1732
"cty18135","Randolph County, IN",0.1729
"cty12067","Lafayette County, FL",0.1729
"cty42037","Columbia County, PA",0.1729
"cty48355","Nueces County, TX",0.1728
"cty13149","Heard County, GA",0.1726
"cty54063","Monroe County, WV",0.1726
"cty48407","San Jacinto County, TX",0.1724
"cty41051","Multnomah County, OR",0.1722
"cty48483","Wheeler County, TX",0.1722
"cty54081","Raleigh County, WV",0.1722
"cty17061","Greene County, IL",0.1722
"cty47179","Washington County, TN",0.172
"cty48495","Winkler County, TX",0.172
"cty21103","Henry County, KY",0.1718
"cty18163","Vanderburgh County, IN",0.1717
"cty24011","Caroline County, MD",0.1717
"cty26039","Crawford County, MI",0.1717
"cty48117","Deaf Smith County, TX",0.1717
"cty17005","Bond County, IL",0.1716
"cty55041","Forest County, WI",0.1715
"cty24019","Dorchester County, MD",0.1715
"cty21027","Breckinridge County, KY",0.1713
"cty17113","McLean County, IL",0.1713
