"cty","Name","Incarceration_Rate_rP_gP_pall"
"cty27035","Crow Wing County, MN",0.0058
"cty20157","Republic County, KS",0.0058
"cty31083","Harlan County, NE",0.0058
"cty17063","Grundy County, IL",0.0058
"cty08091","Ouray County, CO",0.0058
"cty27073","Lac qui Parle County, MN",0.0058
"cty55073","Marathon County, WI",0.0057
"cty26099","Macomb County, MI",0.0057
"cty08035","Douglas County, CO",0.0057
"cty38019","Cavalier County, ND",0.0057
"cty08039","Elbert County, CO",0.0057
"cty19021","Buena Vista County, IA",0.0057
"cty49039","Sanpete County, UT",0.0057
"cty36121","Wyoming County, NY",0.0057
"cty31143","Polk County, NE",0.0057
"cty46009","Bon Homme County, SD",0.0057
"cty50023","Washington County, VT",0.0057
"cty55033","Dunn County, WI",0.0057
"cty21057","Cumberland County, KY",0.0057
"cty38101","Ward County, ND",0.0056
"cty38059","Morton County, ND",0.0056
"cty06057","Nevada County, CA",0.0056
"cty23031","York County, ME",0.0056
"cty20191","Sumner County, KS",0.0056
"cty38103","Wells County, ND",0.0056
"cty19027","Carroll County, IA",0.0056
"cty34037","Sussex County, NJ",0.0056
"cty46051","Grant County, SD",0.0056
"cty16051","Jefferson County, ID",0.0056
"cty56003","Big Horn County, WY",0.0056
"cty27077","Lake of the Woods County, MN",0.0056
"cty08007","Archuleta County, CO",0.0056
"cty50019","Orleans County, VT",0.0056
"cty26063","Huron County, MI",0.0056
"cty41027","Hood River County, OR",0.0056
"cty17171","Scott County, IL",0.0056
"cty55103","Richland County, WI",0.0056
"cty56027","Niobrara County, WY",0.0056
"cty38027","Eddy County, ND",0.0056
"cty31185","York County, NE",0.0056
"cty26013","Baraga County, MI",0.0055
"cty37173","Swain County, NC",0.0055
"cty02013","Aleutians East Borough, AK",0.0055
"cty30031","Gallatin County, MT",0.0055
"cty19029","Cass County, IA",0.0055
"cty42129","Westmoreland County, PA",0.0055
"cty31011","Boone County, NE",0.0055
"cty39119","Muskingum County, OH",0.0055
"cty23007","Franklin County, ME",0.0055
"cty17047","Edwards County, IL",0.0055
"cty19137","Montgomery County, IA",0.0055
"cty29091","Howell County, MO",0.0055
"cty36035","Fulton County, NY",0.0055
"cty33003","Carroll County, NH",0.0054
"cty56039","Teton County, WY",0.0054
"cty41001","Baker County, OR",0.0054
"cty21149","McLean County, KY",0.0054
"cty41049","Morrow County, OR",0.0054
"cty01041","Crenshaw County, AL",0.0054
"cty56009","Converse County, WY",0.0054
"cty27151","Swift County, MN",0.0054
"cty19185","Wayne County, IA",0.0054
"cty55071","Manitowoc County, WI",0.0054
"cty17203","Woodford County, IL",0.0054
"cty48065","Carson County, TX",0.0054
"cty19025","Calhoun County, IA",0.0054
"cty50015","Lamoille County, VT",0.0054
"cty29203","Shannon County, MO",0.0054
"cty20013","Brown County, KS",0.0053
"cty36013","Chautauqua County, NY",0.0053
"cty06093","Siskiyou County, CA",0.0053
"cty26139","Ottawa County, MI",0.0053
"cty42117","Tioga County, PA",0.0053
"cty54013","Calhoun County, WV",0.0053
"cty20001","Allen County, KS",0.0053
"cty31095","Jefferson County, NE",0.0053
"cty19015","Boone County, IA",0.0053
"cty27085","McLeod County, MN",0.0053
"cty46087","McCook County, SD",0.0053
"cty31111","Lincoln County, NE",0.0053
"cty13311","White County, GA",0.0053
"cty38055","McLean County, ND",0.0052
"cty55031","Douglas County, WI",0.0052
"cty55003","Ashland County, WI",0.0052
"cty36089","St. Lawrence County, NY",0.0052
"cty55015","Calumet County, WI",0.0052
"cty26053","Gogebic County, MI",0.0052
"cty31123","Morrill County, NE",0.0052
"cty26141","Presque Isle County, MI",0.0052
"cty54035","Jackson County, WV",0.0052
"cty72113","Ponce Municipio, PR",0.0052
"cty30017","Custer County, MT",0.0052
"cty20109","Logan County, KS",0.0052
"cty48433","Stonewall County, TX",0.0052
"cty47135","Perry County, TN",0.0052
"cty17109","McDonough County, IL",0.0052
"cty42113","Sullivan County, PA",0.0052
"cty20027","Clay County, KS",0.0052
"cty26103","Marquette County, MI",0.0051
"cty49005","Cache County, UT",0.0051
"cty06055","Napa County, CA",0.0051
"cty39019","Carroll County, OH",0.0051
"cty21239","Woodford County, KY",0.0051
"cty18063","Hendricks County, IN",0.0051
"cty27069","Kittson County, MN",0.0051
"cty39103","Medina County, OH",0.0051
"cty19105","Jones County, IA",0.0051
"cty31065","Furnas County, NE",0.0051
"cty30085","Roosevelt County, MT",0.005
"cty49037","San Juan County, UT",0.005
"cty53047","Okanogan County, WA",0.005
"cty25005","Bristol County, MA",0.005
"cty26087","Lapeer County, MI",0.005
"cty27097","Morrison County, MN",0.005
"cty18037","Dubois County, IN",0.005
"cty08021","Conejos County, CO",0.005
"cty19035","Cherokee County, IA",0.005
"cty05105","Perry County, AR",0.005
"cty39123","Ottawa County, OH",0.005
"cty46091","Marshall County, SD",0.005
"cty36077","Otsego County, NY",0.005
"cty18087","LaGrange County, IN",0.005
"cty31041","Custer County, NE",0.005
"cty20187","Stanton County, KS",0.005
"cty19039","Clarke County, IA",0.005
"cty17023","Clark County, IL",0.0049
"cty30009","Carbon County, MT",0.0049
"cty46089","McPherson County, SD",0.0049
"cty46039","Deuel County, SD",0.0049
"cty54009","Brooke County, WV",0.0049
"cty19197","Wright County, IA",0.0049
"cty54105","Wirt County, WV",0.0049
"cty17123","Marshall County, IL",0.0049
"cty28129","Smith County, MS",0.0049
"cty27171","Wright County, MN",0.0049
"cty48425","Somervell County, TX",0.0049
"cty19069","Franklin County, IA",0.0049
"cty30073","Pondera County, MT",0.0048
"cty53009","Clallam County, WA",0.0048
"cty27003","Anoka County, MN",0.0048
"cty49051","Wasatch County, UT",0.0048
"cty16061","Lewis County, ID",0.0048
"cty23009","Hancock County, ME",0.0048
"cty20181","Sherman County, KS",0.0048
"cty08009","Baca County, CO",0.0048
"cty31155","Saunders County, NE",0.0048
"cty55065","Lafayette County, WI",0.0048
"cty27041","Douglas County, MN",0.0048
"cty48119","Delta County, TX",0.0048
"cty19103","Johnson County, IA",0.0048
"cty19145","Page County, IA",0.0048
"cty26037","Clinton County, MI",0.0047
"cty27049","Goodhue County, MN",0.0047
"cty50025","Windham County, VT",0.0047
"cty50021","Rutland County, VT",0.0047
"cty36057","Montgomery County, NY",0.0047
"cty05109","Pike County, AR",0.0047
"cty16049","Idaho County, ID",0.0047
"cty31159","Seward County, NE",0.0047
"cty20089","Jewell County, KS",0.0047
"cty19003","Adams County, IA",0.0047
"cty31139","Pierce County, NE",0.0047
"cty42063","Indiana County, PA",0.0047
"cty19041","Clay County, IA",0.0047
"cty38003","Barnes County, ND",0.0047
"cty47027","Clay County, TN",0.0047
"cty36059","Nassau County, NY",0.0046
"cty51059","Fairfax County, VA",0.0046
"cty20031","Coffey County, KS",0.0046
"cty31033","Cheyenne County, NE",0.0046
"cty31035","Clay County, NE",0.0046
"cty17093","Kendall County, IL",0.0046
"cty42057","Fulton County, PA",0.0046
"cty19141","O'Brien County, IA",0.0046
"cty31073","Gosper County, NE",0.0045
"cty30033","Garfield County, MT",0.0045
"cty05097","Montgomery County, AR",0.0045
"cty20003","Anderson County, KS",0.0045
"cty39037","Darke County, OH",0.0045
"cty21071","Floyd County, KY",0.0045
"cty20149","Pottawatomie County, KS",0.0045
"cty36091","Saratoga County, NY",0.0045
"cty06009","Calaveras County, CA",0.0045
"cty48105","Crockett County, TX",0.0045
"cty46027","Clay County, SD",0.0044
"cty06027","Inyo County, CA",0.0044
"cty54073","Pleasants County, WV",0.0044
"cty24023","Garrett County, MD",0.0044
"cty27083","Lyon County, MN",0.0044
"cty46127","Union County, SD",0.0044
"cty29149","Oregon County, MO",0.0044
"cty18057","Hamilton County, IN",0.0044
"cty36095","Schoharie County, NY",0.0044
"cty19097","Jackson County, IA",0.0044
"cty36109","Tompkins County, NY",0.0044
"cty48211","Hemphill County, TX",0.0044
"cty27037","Dakota County, MN",0.0043
"cty31045","Dawes County, NE",0.0043
"cty27153","Todd County, MN",0.0043
"cty31001","Adams County, NE",0.0043
"cty29129","Mercer County, MO",0.0043
"cty27057","Hubbard County, MN",0.0043
"cty39121","Noble County, OH",0.0043
"cty39111","Monroe County, OH",0.0043
"cty38097","Traill County, ND",0.0043
"cty27061","Itasca County, MN",0.0042
"cty27059","Isanti County, MN",0.0042
"cty17155","Putnam County, IL",0.0042
"cty36079","Putnam County, NY",0.0042
"cty19107","Keokuk County, IA",0.0042
"cty26131","Ontonagon County, MI",0.0042
"cty54103","Wetzel County, WV",0.0042
"cty17085","Jo Daviess County, IL",0.0042
"cty27001","Aitkin County, MN",0.0042
"cty20107","Linn County, KS",0.0042
"cty30065","Musselshell County, MT",0.0042
"cty39157","Tuscarawas County, OH",0.0042
"cty36085","Richmond County, NY",0.0042
"cty27169","Winona County, MN",0.0042
"cty19189","Winnebago County, IA",0.0042
"cty17015","Carroll County, IL",0.0042
"cty19093","Ida County, IA",0.0042
"cty21039","Carlisle County, KY",0.0042
"cty08051","Gunnison County, CO",0.0042
"cty31145","Red Willow County, NE",0.0042
"cty27017","Carlton County, MN",0.0041
"cty36087","Rockland County, NY",0.0041
"cty27163","Washington County, MN",0.0041
"cty31177","Washington County, NE",0.0041
"cty27131","Rice County, MN",0.0041
"cty27141","Sherburne County, MN",0.0041
"cty06051","Mono County, CA",0.0041
"cty49027","Millard County, UT",0.0041
"cty17151","Pope County, IL",0.0041
"cty38063","Nelson County, ND",0.0041
"cty31013","Box Butte County, NE",0.0041
"cty17043","DuPage County, IL",0.004
"cty27139","Scott County, MN",0.004
"cty20145","Pawnee County, KS",0.004
"cty02282","Yakutat City and Borough, AK",0.004
"cty19089","Howard County, IA",0.004
"cty16041","Franklin County, ID",0.004
"cty26135","Oscoda County, MI",0.004
"cty32009","Esmeralda County, NV",0.004
"cty17111","McHenry County, IL",0.004
"cty20039","Decatur County, KS",0.004
"cty55035","Eau Claire County, WI",0.0039
"cty17025","Clay County, IL",0.0039
"cty19065","Fayette County, IA",0.0039
"cty31003","Antelope County, NE",0.0039
"cty27047","Freeborn County, MN",0.0039
"cty39055","Geauga County, OH",0.0039
"cty19079","Hamilton County, IA",0.0039
"cty19149","Plymouth County, IA",0.0039
"cty72031","Carolina Municipio, PR",0.0039
"cty25023","Plymouth County, MA",0.0038
"cty38045","LaMoure County, ND",0.0038
"cty37177","Tyrrell County, NC",0.0038
"cty38031","Foster County, ND",0.0038
"cty19053","Decatur County, IA",0.0038
"cty38077","Richland County, ND",0.0038
"cty31077","Greeley County, NE",0.0038
"cty19095","Iowa County, IA",0.0038
"cty31059","Fillmore County, NE",0.0038
"cty19117","Lucas County, IA",0.0038
"cty29103","Knox County, MO",0.0038
"cty54069","Ohio County, WV",0.0038
"cty19099","Jasper County, IA",0.0038
"cty72043","Coamo Municipio, PR",0.0038
"cty19119","Lyon County, IA",0.0038
"cty08053","Hinsdale County, CO",0.0038
"cty17191","Wayne County, IL",0.0038
"cty19083","Hardin County, IA",0.0037
"cty55109","St. Croix County, WI",0.0037
"cty39137","Putnam County, OH",0.0037
"cty53075","Whitman County, WA",0.0037
"cty25011","Franklin County, MA",0.0037
"cty51610","Falls Church city, VA",0.0037
"cty19077","Guthrie County, IA",0.0037
"cty19125","Marion County, IA",0.0037
"cty41069","Wheeler County, OR",0.0037
"cty36031","Essex County, NY",0.0037
"cty17067","Hancock County, IL",0.0036
"cty17147","Piatt County, IL",0.0036
"cty30089","Sanders County, MT",0.0036
"cty37189","Watauga County, NC",0.0036
"cty19037","Chickasaw County, IA",0.0036
"cty38089","Stark County, ND",0.0036
"cty32021","Mineral County, NV",0.0036
"cty27093","Meeker County, MN",0.0036
"cty19059","Dickinson County, IA",0.0036
"cty31175","Valley County, NE",0.0036
"cty51600","Fairfax city, VA",0.0036
"cty48101","Cottle County, TX",0.0036
"cty53055","San Juan County, WA",0.0035
"cty38021","Dickey County, ND",0.0035
"cty49029","Morgan County, UT",0.0035
"cty17079","Jasper County, IL",0.0035
"cty27127","Redwood County, MN",0.0035
"cty55089","Ozaukee County, WI",0.0035
"cty46077","Kingsbury County, SD",0.0035
"cty31099","Kearney County, NE",0.0035
"cty20207","Woodson County, KS",0.0035
"cty46079","Lake County, SD",0.0034
"cty25015","Hampshire County, MA",0.0034
"cty27031","Cook County, MN",0.0034
"cty19135","Monroe County, IA",0.0034
"cty27145","Stearns County, MN",0.0034
"cty20095","Kingman County, KS",0.0034
"cty46083","Lincoln County, SD",0.0034
"cty31051","Dixon County, NE",0.0034
"cty35028","Los Alamos County, NM",0.0034
"cty16065","Madison County, ID",0.0033
"cty39013","Belmont County, OH",0.0033
"cty19043","Clayton County, IA",0.0033
"cty55093","Pierce County, WI",0.0033
"cty27013","Blue Earth County, MN",0.0033
"cty20131","Nemaha County, KS",0.0033
"cty26061","Houghton County, MI",0.0033
"cty31097","Johnson County, NE",0.0033
"cty38105","Williams County, ND",0.0032
"cty25027","Worcester County, MA",0.0032
"cty06041","Marin County, CA",0.0032
"cty34027","Morris County, NJ",0.0032
"cty20051","Ellis County, KS",0.0032
"cty27009","Benton County, MN",0.0032
"cty38009","Bottineau County, ND",0.0032
"cty20201","Washington County, KS",0.0032
"cty16057","Latah County, ID",0.0032
"cty27111","Otter Tail County, MN",0.0031
"cty53059","Skamania County, WA",0.0031
"cty31133","Pawnee County, NE",0.0031
"cty27079","Le Sueur County, MN",0.0031
"cty30043","Jefferson County, MT",0.0031
"cty31117","McPherson County, NE",0.0031
"cty19195","Worth County, IA",0.0031
"cty55043","Grant County, WI",0.0031
"cty44005","Newport County, RI",0.0031
"cty08115","Sedgwick County, CO",0.0031
"cty27133","Rock County, MN",0.0031
"cty19143","Osceola County, IA",0.003
"cty48275","Knox County, TX",0.003
"cty39115","Morgan County, OH",0.003
"cty23015","Lincoln County, ME",0.003
"cty16007","Bear Lake County, ID",0.003
"cty20053","Ellsworth County, KS",0.003
"cty25021","Norfolk County, MA",0.0029
"cty34003","Bergen County, NJ",0.0029
"cty25017","Middlesex County, MA",0.0029
"cty19177","Van Buren County, IA",0.0029
"cty27039","Dodge County, MN",0.0029
"cty38051","McIntosh County, ND",0.0029
"cty31135","Perkins County, NE",0.0029
"cty27091","Martin County, MN",0.0029
"cty38001","Adams County, ND",0.0029
"cty19031","Cedar County, IA",0.0029
"cty17027","Clinton County, IL",0.0029
"cty27159","Wadena County, MN",0.0029
"cty19121","Madison County, IA",0.0028
"cty20163","Rooks County, KS",0.0028
"cty48421","Sherman County, TX",0.0028
"cty27149","Stevens County, MN",0.0028
"cty55107","Rusk County, WI",0.0028
"cty72025","Caguas Municipio, PR",0.0027
"cty27161","Waseca County, MN",0.0027
"cty19081","Hancock County, IA",0.0027
"cty55091","Pepin County, WI",0.0027
"cty54075","Pocahontas County, WV",0.0026
"cty27157","Wabasha County, MN",0.0026
"cty39107","Mercer County, OH",0.0026
"cty54051","Marshall County, WV",0.0026
"cty55121","Trempealeau County, WI",0.0026
"cty19055","Delaware County, IA",0.0025
"cty31131","Otoe County, NE",0.0025
"cty39075","Holmes County, OH",0.0025
"cty25019","Nantucket County, MA",0.0025
"cty27081","Lincoln County, MN",0.0025
"cty19023","Butler County, IA",0.0025
"cty38025","Dunn County, ND",0.0025
"cty19017","Bremer County, IA",0.0024
"cty19167","Sioux County, IA",0.0024
"cty27101","Murray County, MN",0.0024
"cty34019","Hunterdon County, NJ",0.0024
"cty19005","Allamakee County, IA",0.0024
"cty17133","Monroe County, IL",0.0024
"cty38037","Grant County, ND",0.0024
"cty29199","Scotland County, MO",0.0024
"cty30095","Stillwater County, MT",0.0024
"cty21129","Lee County, KY",0.0024
"cty44007","Providence County, RI",0.0023
"cty27019","Carver County, MN",0.0023
"cty55011","Buffalo County, WI",0.0023
"cty20063","Gove County, KS",0.0023
"cty31063","Frontier County, NE",0.0023
"cty30077","Powell County, MT",0.0023
"cty27015","Brown County, MN",0.0023
"cty19169","Story County, IA",0.0023
"cty27029","Clearwater County, MN",0.0022
"cty38033","Golden Valley County, ND",0.0022
"cty20097","Kiowa County, KS",0.0022
"cty31089","Holt County, NE",0.0022
"cty27117","Pipestone County, MN",0.0022
"cty19109","Kossuth County, IA",0.0022
"cty30039","Granite County, MT",0.0022
"cty31137","Phelps County, NE",0.0022
"cty44009","Washington County, RI",0.0021
"cty19001","Adair County, IA",0.0021
"cty27103","Nicollet County, MN",0.0021
"cty48393","Roberts County, TX",0.0021
"cty53069","Wahkiakum County, WA",0.0021
"cty20083","Hodgeman County, KS",0.0021
"cty30057","Madison County, MT",0.0021
"cty37075","Graham County, NC",0.0021
"cty51017","Bath County, VA",0.002
"cty48461","Upton County, TX",0.002
"cty08107","Routt County, CO",0.002
"cty20203","Wichita County, KS",0.002
"cty49043","Summit County, UT",0.002
"cty20197","Wabaunsee County, KS",0.002
"cty31017","Brown County, NE",0.002
"cty17189","Washington County, IL",0.002
"cty53043","Lincoln County, WA",0.002
"cty35019","Guadalupe County, NM",0.002
"cty55049","Iowa County, WI",0.002
"cty19151","Pocahontas County, IA",0.002
"cty16081","Teton County, ID",0.0019
"cty19159","Ringgold County, IA",0.0019
"cty31049","Deuel County, NE",0.0019
"cty49001","Beaver County, UT",0.0019
"cty46105","Perkins County, SD",0.0018
"cty19191","Winneshiek County, IA",0.0018
"cty38095","Towner County, ND",0.0018
"cty46061","Hanson County, SD",0.0018
"cty38029","Emmons County, ND",0.0018
"cty27055","Houston County, MN",0.0018
"cty31075","Grant County, NE",0.0017
"cty46049","Faulk County, SD",0.0017
"cty49015","Emery County, UT",0.0017
"cty31101","Keith County, NE",0.0017
"cty20033","Comanche County, KS",0.0016
"cty32017","Lincoln County, NV",0.0016
"cty19131","Mitchell County, IA",0.0015
"cty08047","Gilpin County, CO",0.0015
"cty31121","Merrick County, NE",0.0015
"cty19009","Audubon County, IA",0.0015
"cty46057","Hamlin County, SD",0.0015
"cty49025","Kane County, UT",0.0015
"cty17013","Calhoun County, IL",0.0014
"cty31009","Blaine County, NE",0.0014
"cty20123","Mitchell County, KS",0.0014
"cty54093","Tucker County, WV",0.0014
"cty27045","Fillmore County, MN",0.0014
"cty55099","Price County, WI",0.0014
"cty30055","McCone County, MT",0.0014
"cty46021","Campbell County, SD",0.0014
"cty20069","Gray County, KS",0.0014
"cty19161","Sac County, IA",0.0013
"cty72103","Naguabo Municipio, PR",0.0013
"cty20183","Smith County, KS",0.0013
"cty31071","Garfield County, NE",0.0013
"cty08117","Summit County, CO",0.0012
"cty27135","Roseau County, MN",0.0012
"cty44003","Kent County, RI",0.0012
"cty38023","Divide County, ND",0.0012
"cty02068","Denali Borough, AK",0.0012
"cty46053","Gregory County, SD",0.0012
"cty20025","Clark County, KS",0.0012
"cty20071","Greeley County, KS",0.0012
"cty72131","San Sebastian Municipio, PR",0.0011
"cty46075","Jones County, SD",0.0011
"cty56031","Platte County, WY",0.0011
"cty31169","Thayer County, NE",0.0011
"cty38075","Renville County, ND",0.0011
"cty20105","Lincoln County, KS",0.001
"cty46037","Day County, SD",0.001
"cty16037","Custer County, ID",0.001
"cty31179","Wayne County, NE",0.001
"cty46059","Hand County, SD",0.001
"cty56011","Crook County, WY",0.0009
"cty16063","Lincoln County, ID",0.0009
"cty40007","Beaver County, OK",0.0008
"cty40025","Cimarron County, OK",0.0008
"cty27011","Big Stone County, MN",0.0008
"cty30091","Sheridan County, MT",0.0008
"cty72129","San Lorenzo Municipio, PR",0.0008
"cty41023","Grant County, OR",0.0008
"cty38061","Mountrail County, ND",0.0007
"cty31029","Chase County, NE",0.0007
"cty20007","Barber County, KS",0.0007
"cty19101","Jefferson County, IA",0.0007
"cty31081","Hamilton County, NE",0.0007
"cty27051","Grant County, MN",0.0007
"cty38053","McKenzie County, ND",0.0006
"cty49017","Garfield County, UT",0.0006
"cty46045","Edmunds County, SD",0.0006
"cty20119","Meade County, KS",0.0006
"cty72041","Cidra Municipio, PR",0.0006
"cty38091","Steele County, ND",0.0006
"cty30059","Meagher County, MT",0.0006
"cty44001","Bristol County, RI",0.0006
"cty06091","Sierra County, CA",0.0005
"cty27063","Jackson County, MN",0.0005
"cty02195","Copper River Census Area, AK",0.0164
"cty02100","Haines Borough, AK",0.0005
"cty20193","Thomas County, KS",0.0005
"cty35003","Catron County, NM",0.0005
"cty46025","Clark County, SD",0.0004
"cty30109","Wibaux County, MT",0.0004
"cty31087","Hitchcock County, NE",0.0004
"cty72053","Fajardo Municipio, PR",0.0004
"cty31039","Cuming County, NE",0.0003
"cty31027","Cedar County, NE",0.0003
"cty46067","Hutchinson County, SD",0.0003
"cty31115","Loup County, NE",0.0003
"cty31149","Rock County, NE",0.0003
"cty17009","Brown County, IL",0.0003
"cty46097","Miner County, SD",0.0003
"cty20199","Wallace County, KS",0.0002
"cty31085","Hayes County, NE",0.0002
"cty32011","Eureka County, NV",0.0002
"cty31163","Sherman County, NE",0.0002
"cty31061","Franklin County, NE",0.0001
"cty38065","Oliver County, ND",0.0001
"cty30083","Richland County, MT",0.0001
"cty27121","Pope County, MN",0.0001
"cty48129","Donley County, TX",0.0001
"cty30079","Prairie County, MT",0
"cty38067","Pembina County, ND",0
"cty49009","Daggett County, UT",0
"cty41021","Gilliam County, OR",0
"cty20179","Sheridan County, KS",0
"cty31129","Nuckolls County, NE",0
"cty46063","Harding County, SD",0
"cty72011","Anasco Municipio, PR",0
"cty02240","Southeast Fairbanks Census Area, AK",0
"cty48095","Concho County, TX",0
"cty48045","Briscoe County, TX",0
"cty08057","Jackson County, CO",0
"cty72099","Moca Municipio, PR",0
"cty20147","Phillips County, KS",0
"cty20141","Osborne County, KS",0
"cty72063","Gurabo Municipio, PR",0
"cty38011","Bowman County, ND",0
"cty38041","Hettinger County, ND",0
"cty30019","Daniels County, MT",0
"cty72089","Luquillo Municipio, PR",0
"cty31165","Sioux County, NE",0
"cty48431","Sterling County, TX",0
"cty30025","Fallon County, MT",0
"cty46003","Aurora County, SD",0
"cty72137","Toa Baja Municipio, PR",0
"cty72007","Aguas Buenas Municipio, PR",0
"cty35021","Harding County, NM",0
"cty08033","Dolores County, CO",0
"cty72005","Aguadilla Municipio, PR",0
"cty30045","Judith Basin County, MT",0
"cty31091","Hooker County, NE",0
"cty72149","Villalba Municipio, PR",0
"cty72037","Ceiba Municipio, PR",0
"cty72021","Bayamon Municipio, PR",0
"cty72151","Yabucoa Municipio, PR",0
"cty72119","Rio Grande Municipio, PR",0
"cty30107","Wheatland County, MT",0
"cty72009","Aibonito Municipio, PR",0
"cty31183","Wheeler County, NE",0
"cty46111","Sanborn County, SD",0
"cty31057","Dundy County, NE",0
"cty72023","Cabo Rojo Municipio, PR",0
"cty20135","Ness County, KS",0
"cty46055","Haakon County, SD",0
"cty31007","Banner County, NE",0
"cty35011","De Baca County, NM",0
"cty31181","Webster County, NE",0
"cty72061","Guaynabo Municipio, PR",0
"cty46119","Sully County, SD",0
"cty30037","Golden Valley County, MT",0
"cty31103","Keya Paha County, NE",0
"cty49033","Rich County, UT",0
"cty72085","Las Piedras Municipio, PR",0
"cty38083","Sheridan County, ND",0
"cty08017","Cheyenne County, CO",0
"cty20075","Hamilton County, KS",0
"cty16033","Clark County, ID",0
"cty30075","Powder River County, MT",0
"cty72123","Salinas Municipio, PR",0
"cty72051","Dorado Municipio, PR",0
"cty48443","Terrell County, TX",0
"cty31015","Boyd County, NE",0
"cty72069","Humacao Municipio, PR",0
"cty48271","Kinney County, TX",0
"cty48311","McMullen County, TX",0
"cty48033","Borden County, TX",0
"cty48261","Kenedy County, TX",0
"cty40059","Harper County, OK",0
"cty08061","Kiowa County, CO",0
"cty30011","Carter County, MT",0
"cty02270",,
"cty48269","King County, TX",
"cty72035","Cayey Municipio, PR",
"cty72054","Florida Municipio, PR",
"cty72087","Loiza Municipio, PR",
"cty72001","Adjuntas Municipio, PR",
"cty72015","Arroyo Municipio, PR",
"cty72095","Maunabo Municipio, PR",
"cty72147","Vieques Municipio, PR",
"cty72079","Lajas Municipio, PR",
"cty72055","Guanica Municipio, PR",
"cty72125","San German Municipio, PR",
"cty72083","Las Marias Municipio, PR",
"cty72029","Canovanas Municipio, PR",
"cty72117","Rincon Municipio, PR",
"cty72109","Patillas Municipio, PR",
"cty72115","Quebradillas Municipio, PR",
"cty72059","Guayanilla Municipio, PR",
"cty72039","Ciales Municipio, PR",
"cty72017","Barceloneta Municipio, PR",
"cty15005","Kalawao County, HI",
"cty30069","Petroleum County, MT",
"cty72091","Manati Municipio, PR",
"cty48301","Loving County, TX",
"cty08079","Mineral County, CO",
"cty72105","Naranjito Municipio, PR",
"cty31005","Arthur County, NE",
"cty72073","Jayuya Municipio, PR",
"cty72145","Vega Baja Municipio, PR",
"cty72067","Hormigueros Municipio, PR",
"cty72143","Vega Alta Municipio, PR",
"cty72049","Culebra Municipio, PR",
"cty72019","Barranquitas Municipio, PR",
"cty72033","Catano Municipio, PR",
"cty72121","Sabana Grande Municipio, PR",
"cty72093","Maricao Municipio, PR",
"cty72045","Comerio Municipio, PR",
