"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty48221","Hood County, TX",0.8946
"cty20137","Norton County, KS",0.8946
"cty29053","Cooper County, MO",0.8946
"cty16005","Bannock County, ID",0.8945
"cty19011","Benton County, IA",0.8945
"cty39107","Mercer County, OH",0.8945
"cty19141","O'Brien County, IA",0.8945
"cty08013","Boulder County, CO",0.8944
"cty17013","Calhoun County, IL",0.8944
"cty27009","Benton County, MN",0.8944
"cty55039","Fond du Lac County, WI",0.8944
"cty26099","Macomb County, MI",0.8942
"cty51683","Manassas city, VA",0.8942
"cty54061","Monongalia County, WV",0.8942
"cty16001","Ada County, ID",0.8941
"cty42095","Northampton County, PA",0.8941
"cty48149","Fayette County, TX",0.8941
"cty34009","Cape May County, NJ",0.8941
"cty19127","Marshall County, IA",0.8941
"cty55069","Lincoln County, WI",0.8941
"cty36083","Rensselaer County, NY",0.894
"cty27081","Lincoln County, MN",0.894
"cty31173","Thurston County, NE",0.8938
"cty55117","Sheboygan County, WI",0.8937
"cty54055","Mercer County, WV",0.8937
"cty38051","McIntosh County, ND",0.8937
"cty50023","Washington County, VT",0.8937
"cty17131","Mercer County, IL",0.8937
"cty20045","Douglas County, KS",0.8935
"cty53065","Stevens County, WA",0.8935
"cty41039","Lane County, OR",0.8935
"cty16023","Butte County, ID",0.8935
"cty36067","Onondaga County, NY",0.8934
"cty29189","St. Louis County, MO",0.8934
"cty29039","Cedar County, MO",0.8934
"cty55017","Chippewa County, WI",0.8933
"cty17075","Iroquois County, IL",0.8933
"cty31013","Box Butte County, NE",0.8933
"cty36037","Genesee County, NY",0.8932
"cty17107","Logan County, IL",0.8932
"cty27041","Douglas County, MN",0.8932
"cty47001","Anderson County, TN",0.8932
"cty20087","Jefferson County, KS",0.8931
"cty20167","Russell County, KS",0.8931
"cty13067","Cobb County, GA",0.893
"cty20101","Lane County, KS",0.893
"cty48031","Blanco County, TX",0.8929
"cty19103","Johnson County, IA",0.8929
"cty24039","Somerset County, MD",0.8928
"cty54035","Jackson County, WV",0.8928
"cty27157","Wabasha County, MN",0.8928
"cty53037","Kittitas County, WA",0.8927
"cty08119","Teller County, CO",0.8926
"cty51101","King William County, VA",0.8926
"cty53033","King County, WA",0.8925
"cty46011","Brookings County, SD",0.8925
"cty08059","Jefferson County, CO",0.8923
"cty37005","Alleghany County, NC",0.8923
"cty50001","Addison County, VT",0.8923
"cty31111","Lincoln County, NE",0.8923
"cty19137","Montgomery County, IA",0.8923
"cty46051","Grant County, SD",0.8922
"cty41005","Clackamas County, OR",0.8921
"cty31039","Cuming County, NE",0.8921
"cty36071","Orange County, NY",0.892
"cty46021","Campbell County, SD",0.8919
"cty17021","Christian County, IL",0.8918
"cty51169","Scott County, VA",0.8917
"cty21055","Crittenden County, KY",0.8917
"cty47159","Smith County, TN",0.8917
"cty05009","Boone County, AR",0.8916
"cty38105","Williams County, ND",0.8915
"cty44007","Providence County, RI",0.8915
"cty31143","Polk County, NE",0.8915
"cty39099","Mahoning County, OH",0.8915
"cty15007","Kauai County, HI",0.8915
"cty06089","Shasta County, CA",0.8914
"cty05003","Ashley County, AR",0.8914
"cty05137","Stone County, AR",0.8914
"cty29223","Wayne County, MO",0.8914
"cty17149","Pike County, IL",0.8914
"cty38083","Sheridan County, ND",0.8913
"cty30095","Stillwater County, MT",0.8913
"cty18183","Whitley County, IN",0.8912
"cty26061","Houghton County, MI",0.8912
"cty19179","Wapello County, IA",0.8911
"cty39073","Hocking County, OH",0.891
"cty19003","Adams County, IA",0.891
"cty51111","Lunenburg County, VA",0.891
"cty17185","Wabash County, IL",0.8908
"cty31031","Cherry County, NE",0.8908
"cty19177","Van Buren County, IA",0.8907
"cty51023","Botetourt County, VA",0.8907
"cty49003","Box Elder County, UT",0.8907
"cty55029","Door County, WI",0.8907
"cty29103","Knox County, MO",0.8907
"cty27153","Todd County, MN",0.8906
"cty08037","Eagle County, CO",0.8906
"cty51550","Chesapeake city, VA",0.8905
"cty31003","Antelope County, NE",0.8905
"cty55037","Florence County, WI",0.8905
"cty55065","Lafayette County, WI",0.8905
"cty27027","Clay County, MN",0.8904
"cty55061","Kewaunee County, WI",0.8904
"cty17177","Stephenson County, IL",0.8904
"cty39137","Putnam County, OH",0.8904
"cty39037","Darke County, OH",0.8903
"cty31055","Douglas County, NE",0.8902
"cty17199","Williamson County, IL",0.8902
"cty51119","Middlesex County, VA",0.8902
"cty47135","Perry County, TN",0.8902
"cty27093","Meeker County, MN",0.8902
"cty23001","Androscoggin County, ME",0.8901
"cty19073","Greene County, IA",0.8901
"cty56021","Laramie County, WY",0.89
"cty26037","Clinton County, MI",0.89
"cty39147","Seneca County, OH",0.89
"cty05023","Cleburne County, AR",0.89
"cty56037","Sweetwater County, WY",0.8899
"cty47079","Henry County, TN",0.8899
"cty34013","Essex County, NJ",0.8898
"cty56005","Campbell County, WY",0.8898
"cty31101","Keith County, NE",0.8898
"cty13145","Harris County, GA",0.8898
"cty23029","Washington County, ME",0.8897
"cty47063","Hamblen County, TN",0.8896
"cty20143","Ottawa County, KS",0.8896
"cty31137","Phelps County, NE",0.8896
"cty20207","Woodson County, KS",0.8896
"cty40103","Noble County, OK",0.8895
"cty31119","Madison County, NE",0.8895
"cty27063","Jackson County, MN",0.8895
"cty51195","Wise County, VA",0.8895
"cty55139","Winnebago County, WI",0.8894
"cty01117","Shelby County, AL",0.8894
"cty51029","Buckingham County, VA",0.8893
"cty36007","Broome County, NY",0.8892
"cty36073","Orleans County, NY",0.8892
"cty32017","Lincoln County, NV",0.8892
"cty51009","Amherst County, VA",0.8891
"cty27085","McLeod County, MN",0.8891
"cty42111","Somerset County, PA",0.889
"cty17037","DeKalb County, IL",0.889
"cty37125","Moore County, NC",0.889
"cty55137","Waushara County, WI",0.8889
"cty20177","Shawnee County, KS",0.8888
"cty29211","Sullivan County, MO",0.8888
"cty35055","Taos County, NM",0.8887
"cty02020","Anchorage Municipality, AK",0.8887
"cty21155","Marion County, KY",0.8887
"cty55067","Langlade County, WI",0.8886
"cty30031","Gallatin County, MT",0.8885
"cty21215","Spencer County, KY",0.8885
"cty06045","Mendocino County, CA",0.8884
"cty53063","Spokane County, WA",0.8882
"cty42065","Jefferson County, PA",0.8882
"cty24015","Cecil County, MD",0.8882
"cty06113","Yolo County, CA",0.8881
"cty05005","Baxter County, AR",0.8881
"cty20015","Butler County, KS",0.888
"cty26087","Lapeer County, MI",0.888
"cty19031","Cedar County, IA",0.888
"cty39063","Hancock County, OH",0.888
"cty55031","Douglas County, WI",0.8879
"cty24037","St. Mary's County, MD",0.8879
"cty36015","Chemung County, NY",0.8879
"cty55107","Rusk County, WI",0.8879
"cty51049","Cumberland County, VA",0.8879
"cty06097","Sonoma County, CA",0.8877
"cty47107","McMinn County, TN",0.8877
"cty20197","Wabaunsee County, KS",0.8877
"cty27049","Goodhue County, MN",0.8876
"cty47141","Putnam County, TN",0.8876
"cty19175","Union County, IA",0.8876
"cty35053","Socorro County, NM",0.8875
"cty27061","Itasca County, MN",0.8875
"cty13135","Gwinnett County, GA",0.8875
"cty27099","Mower County, MN",0.8875
"cty51149","Prince George County, VA",0.8875
"cty41067","Washington County, OR",0.8874
"cty17029","Coles County, IL",0.8874
"cty27109","Olmsted County, MN",0.8874
"cty55021","Columbia County, WI",0.8874
"cty49057","Weber County, UT",0.8873
"cty06095","Solano County, CA",0.8873
"cty26141","Presque Isle County, MI",0.8873
"cty54071","Pendleton County, WV",0.8873
"cty19059","Dickinson County, IA",0.8873
"cty50015","Lamoille County, VT",0.8873
"cty46101","Moody County, SD",0.8872
"cty51163","Rockbridge County, VA",0.8872
"cty38057","Mercer County, ND",0.8871
"cty54077","Preston County, WV",0.8871
"cty08051","Gunnison County, CO",0.887
"cty06059","Orange County, CA",0.8869
"cty51810","Virginia Beach city, VA",0.8869
"cty46053","Gregory County, SD",0.8869
"cty16011","Bingham County, ID",0.8868
"cty41015","Curry County, OR",0.8868
"cty17091","Kankakee County, IL",0.8868
"cty39153","Summit County, OH",0.8867
"cty33015","Rockingham County, NH",0.8867
"cty38045","LaMoure County, ND",0.8867
"cty36053","Madison County, NY",0.8867
"cty56009","Converse County, WY",0.8867
"cty53075","Whitman County, WA",0.8867
"cty08045","Garfield County, CO",0.8866
"cty30105","Valley County, MT",0.8866
"cty21015","Boone County, KY",0.8866
"cty02090","Fairbanks North Star Borough, AK",0.8865
"cty48307","McCulloch County, TX",0.8865
"cty55071","Manitowoc County, WI",0.8865
"cty55125","Vilas County, WI",0.8864
"cty48099","Coryell County, TX",0.8863
"cty08039","Elbert County, CO",0.8863
"cty27045","Fillmore County, MN",0.8863
"cty23011","Kennebec County, ME",0.8862
"cty26077","Kalamazoo County, MI",0.8862
"cty51650","Hampton city, VA",0.8862
"cty48121","Denton County, TX",0.8862
"cty39111","Monroe County, OH",0.8862
"cty06023","Humboldt County, CA",0.8861
"cty41053","Polk County, OR",0.8861
"cty55027","Dodge County, WI",0.8861
"cty06007","Butte County, CA",0.886
"cty30081","Ravalli County, MT",0.8859
"cty36121","Wyoming County, NY",0.8859
"cty51043","Clarke County, VA",0.8859
"cty17143","Peoria County, IL",0.8859
"cty06111","Ventura County, CA",0.8857
"cty18011","Boone County, IN",0.8857
"cty08073","Lincoln County, CO",0.8857
"cty48223","Hopkins County, TX",0.8857
"cty56023","Lincoln County, WY",0.8856
"cty42031","Clarion County, PA",0.8856
"cty54039","Kanawha County, WV",0.8855
"cty31155","Saunders County, NE",0.8855
"cty19067","Floyd County, IA",0.8855
"cty53039","Klickitat County, WA",0.8855
"cty27147","Steele County, MN",0.8855
"cty20053","Ellsworth County, KS",0.8855
"cty05141","Van Buren County, AR",0.8854
"cty56045","Weston County, WY",0.8854
"cty19085","Harrison County, IA",0.8854
"cty18137","Ripley County, IN",0.8854
"cty21037","Campbell County, KY",0.8854
"cty05043","Drew County, AR",0.8853
"cty50019","Orleans County, VT",0.8853
"cty27043","Faribault County, MN",0.8853
"cty08097","Pitkin County, CO",0.8852
"cty20041","Dickinson County, KS",0.8852
"cty29043","Christian County, MO",0.8851
"cty06001","Alameda County, CA",0.8851
"cty12109","St. Johns County, FL",0.8851
"cty48239","Jackson County, TX",0.8851
"cty20001","Allen County, KS",0.8851
"cty51089","Henry County, VA",0.8851
"cty36003","Allegany County, NY",0.885
"cty31017","Brown County, NE",0.885
"cty46025","Clark County, SD",0.8849
"cty27013","Blue Earth County, MN",0.8849
"cty20099","Labette County, KS",0.8847
"cty48199","Hardin County, TX",0.8846
"cty24033","Prince George's County, MD",0.8845
"cty08095","Phillips County, CO",0.8845
"cty19081","Hancock County, IA",0.8845
"cty46035","Davison County, SD",0.8844
"cty27067","Kandiyohi County, MN",0.8844
"cty37031","Carteret County, NC",0.8844
"cty51145","Powhatan County, VA",0.8844
"cty42073","Lawrence County, PA",0.8844
"cty42133","York County, PA",0.8843
"cty30071","Phillips County, MT",0.8843
"cty05047","Franklin County, AR",0.8843
"cty17057","Fulton County, IL",0.8843
"cty06067","Sacramento County, CA",0.8842
"cty02130","Ketchikan Gateway Borough, AK",0.8842
"cty23023","Sagadahoc County, ME",0.8842
"cty29157","Perry County, MO",0.8842
"cty19093","Ida County, IA",0.8842
"cty39161","Van Wert County, OH",0.8841
"cty21117","Kenton County, KY",0.8841
"cty48009","Archer County, TX",0.8841
"cty19145","Page County, IA",0.8841
"cty30003","Big Horn County, MT",0.8839
"cty38009","Bottineau County, ND",0.8839
"cty37183","Wake County, NC",0.8838
"cty27023","Chippewa County, MN",0.8838
"cty39117","Morrow County, OH",0.8838
"cty46057","Hamlin County, SD",0.8838
"cty31065","Furnas County, NE",0.8838
"cty18073","Jasper County, IN",0.8837
"cty48077","Clay County, TX",0.8837
"cty18007","Benton County, IN",0.8836
"cty20037","Crawford County, KS",0.8835
"cty27111","Otter Tail County, MN",0.8835
"cty18165","Vermillion County, IN",0.8835
"cty45063","Lexington County, SC",0.8834
"cty08003","Alamosa County, CO",0.8834
"cty55005","Barron County, WI",0.8834
"cty40119","Payne County, OK",0.8832
"cty26055","Grand Traverse County, MI",0.8832
"cty17087","Johnson County, IL",0.8832
"cty48295","Lipscomb County, TX",0.8832
"cty46029","Codington County, SD",0.8831
"cty36013","Chautauqua County, NY",0.8831
"cty39027","Clinton County, OH",0.8831
"cty31011","Boone County, NE",0.8831
"cty20151","Pratt County, KS",0.8831
"cty55129","Washburn County, WI",0.8831
"cty54015","Clay County, WV",0.8831
"cty20139","Osage County, KS",0.8831
"cty53067","Thurston County, WA",0.883
"cty17173","Shelby County, IL",0.883
"cty08089","Otero County, CO",0.883
"cty29031","Cape Girardeau County, MO",0.883
"cty42089","Monroe County, PA",0.883
"cty47095","Lake County, TN",0.883
"cty17059","Gallatin County, IL",0.8829
"cty51790","Staunton city, VA",0.8829
"cty42037","Columbia County, PA",0.8829
"cty49019","Grand County, UT",0.8829
"cty48197","Hardeman County, TX",0.8829
"cty38091","Steele County, ND",0.8828
"cty39143","Sandusky County, OH",0.8828
"cty33011","Hillsborough County, NH",0.8827
"cty29037","Cass County, MO",0.8826
"cty05125","Saline County, AR",0.8826
"cty21101","Henderson County, KY",0.8826
"cty17195","Whiteside County, IL",0.8826
"cty42049","Erie County, PA",0.8825
"cty18181","White County, IN",0.8825
"cty40007","Beaver County, OK",0.8824
"cty17039","De Witt County, IL",0.8824
"cty18047","Franklin County, IN",0.8824
"cty06109","Tuolumne County, CA",0.8824
"cty37175","Transylvania County, NC",0.8824
"cty53005","Benton County, WA",0.8823
"cty54107","Wood County, WV",0.8823
"cty39043","Erie County, OH",0.8822
"cty42105","Potter County, PA",0.8822
"cty49007","Carbon County, UT",0.8821
"cty17137","Morgan County, IL",0.8821
"cty51143","Pittsylvania County, VA",0.8821
"cty48233","Hutchinson County, TX",0.8821
"cty46019","Butte County, SD",0.8821
"cty38071","Ramsey County, ND",0.882
"cty31131","Otoe County, NE",0.882
"cty16077","Power County, ID",0.882
"cty42011","Berks County, PA",0.882
"cty36081","Queens County, NY",0.8819
"cty36045","Jefferson County, NY",0.8819
"cty48171","Gillespie County, TX",0.8819
"cty47181","Wayne County, TN",0.8819
"cty06009","Calaveras County, CA",0.8819
"cty41011","Coos County, OR",0.8818
"cty31107","Knox County, NE",0.8817
"cty51600","Fairfax city, VA",0.8817
"cty48357","Ochiltree County, TX",0.8816
"cty17047","Edwards County, IL",0.8816
"cty05099","Nevada County, AR",0.8816
"cty27073","Lac qui Parle County, MN",0.8816
"cty55081","Monroe County, WI",0.8815
"cty06093","Siskiyou County, CA",0.8814
"cty34007","Camden County, NJ",0.8814
"cty40131","Rogers County, OK",0.8814
"cty17127","Massac County, IL",0.8814
"cty39097","Madison County, OH",0.8814
"cty29197","Schuyler County, MO",0.8813
"cty24045","Wicomico County, MD",0.8813
"cty23015","Lincoln County, ME",0.8812
"cty47129","Morgan County, TN",0.8812
"cty42043","Dauphin County, PA",0.8811
"cty17163","St. Clair County, IL",0.8811
"cty48157","Fort Bend County, TX",0.8811
"cty42035","Clinton County, PA",0.881
"cty27113","Pennington County, MN",0.881
"cty06033","Lake County, CA",0.8809
"cty26007","Alpena County, MI",0.8809
"cty18131","Pulaski County, IN",0.8809
"cty37059","Davie County, NC",0.8808
"cty54023","Grant County, WV",0.8808
"cty12087","Monroe County, FL",0.8807
"cty49035","Salt Lake County, UT",0.8806
"cty16055","Kootenai County, ID",0.8806
"cty12067","Lafayette County, FL",0.8806
"cty21029","Bullitt County, KY",0.8805
"cty54011","Cabell County, WV",0.8805
"cty08113","San Miguel County, CO",0.8805
"cty49055","Wayne County, UT",0.8805
"cty18029","Dearborn County, IN",0.8805
"cty41035","Klamath County, OR",0.8804
"cty27135","Roseau County, MN",0.8804
"cty48477","Washington County, TX",0.8804
"cty29063","DeKalb County, MO",0.8803
"cty17095","Knox County, IL",0.8803
"cty49033","Rich County, UT",0.8803
"cty27161","Waseca County, MN",0.8802
"cty48119","Delta County, TX",0.8802
"cty13177","Lee County, GA",0.8802
"cty39009","Athens County, OH",0.8801
"cty29015","Benton County, MO",0.88
"cty37189","Watauga County, NC",0.88
"cty55135","Waupaca County, WI",0.88
"cty36095","Schoharie County, NY",0.88
"cty39069","Henry County, OH",0.8799
"cty17011","Bureau County, IL",0.8799
"cty38067","Pembina County, ND",0.8797
"cty36099","Seneca County, NY",0.8797
"cty51171","Shenandoah County, VA",0.8797
"cty08075","Logan County, CO",0.8797
"cty47093","Knox County, TN",0.8796
"cty41017","Deschutes County, OR",0.8796
"cty18043","Floyd County, IN",0.8796
"cty36107","Tioga County, NY",0.8796
"cty54019","Fayette County, WV",0.8796
"cty26081","Kent County, MI",0.8795
"cty17115","Macon County, IL",0.8795
"cty47183","Weakley County, TN",0.8795
"cty50027","Windsor County, VT",0.8795
"cty51067","Franklin County, VA",0.8795
"cty17031","Cook County, IL",0.8793
"cty45013","Beaufort County, SC",0.8793
"cty41057","Tillamook County, OR",0.8793
"cty22087","St. Bernard Parish, LA",0.8793
"cty30013","Cascade County, MT",0.8792
"cty26065","Ingham County, MI",0.8792
"cty09015","Windham County, CT",0.8792
"cty48411","San Saba County, TX",0.8792
"cty39083","Knox County, OH",0.8791
"cty51775","Salem city, VA",0.8789
"cty55127","Walworth County, WI",0.8789
"cty05085","Lonoke County, AR",0.8789
"cty36105","Sullivan County, NY",0.8789
"cty29147","Nodaway County, MO",0.8789
"cty32005","Douglas County, NV",0.8788
"cty25013","Hampden County, MA",0.8788
"cty47039","Decatur County, TN",0.8788
"cty56013","Fremont County, WY",0.8787
"cty06015","Del Norte County, CA",0.8787
"cty19107","Keokuk County, IA",0.8787
"cty54103","Wetzel County, WV",0.8787
"cty39017","Butler County, OH",0.8786
"cty30021","Dawson County, MT",0.8786
"cty46129","Walworth County, SD",0.8785
"cty26089","Leelanau County, MI",0.8785
"cty26115","Monroe County, MI",0.8785
"cty54073","Pleasants County, WV",0.8785
"cty39151","Stark County, OH",0.8784
"cty05059","Hot Spring County, AR",0.8784
"cty23019","Penobscot County, ME",0.8783
"cty21161","Mason County, KY",0.8783
"cty47119","Maury County, TN",0.8783
"cty01099","Monroe County, AL",0.8783
"cty08041","El Paso County, CO",0.8782
"cty12117","Seminole County, FL",0.8782
"cty21229","Washington County, KY",0.8782
"cty29003","Andrew County, MO",0.8782
"cty17161","Rock Island County, IL",0.8781
"cty20059","Franklin County, KS",0.8781
"cty40027","Cleveland County, OK",0.878
"cty12035","Flagler County, FL",0.878
"cty56017","Hot Springs County, WY",0.878
"cty46065","Hughes County, SD",0.8779
"cty17089","Kane County, IL",0.8779
"cty06073","San Diego County, CA",0.8779
"cty05031","Craighead County, AR",0.8779
"cty20169","Saline County, KS",0.8778
"cty18109","Morgan County, IN",0.8778
"cty31185","York County, NE",0.8778
"cty25011","Franklin County, MA",0.8777
"cty51175","Southampton County, VA",0.8777
"cty10003","New Castle County, DE",0.8776
"cty36077","Otsego County, NY",0.8776
"cty21039","Carlisle County, KY",0.8775
"cty36075","Oswego County, NY",0.8774
"cty23027","Waldo County, ME",0.8774
"cty20043","Doniphan County, KS",0.8774
"cty56025","Natrona County, WY",0.8773
"cty38087","Slope County, ND",0.8773
"cty19069","Franklin County, IA",0.8773
"cty19115","Louisa County, IA",0.8773
"cty24043","Washington County, MD",0.8772
"cty21167","Mercer County, KY",0.8772
"cty19189","Winnebago County, IA",0.8771
"cty20035","Cowley County, KS",0.877
"cty02170","Matanuska-Susitna Borough, AK",0.877
"cty36019","Clinton County, NY",0.877
"cty48179","Gray County, TX",0.877
"cty55045","Green County, WI",0.877
"cty21089","Greenup County, KY",0.877
"cty27007","Beltrami County, MN",0.8769
"cty05117","Prairie County, AR",0.8769
"cty31063","Frontier County, NE",0.8769
"cty48243","Jeff Davis County, TX",0.8769
"cty12091","Okaloosa County, FL",0.8768
"cty29195","Saline County, MO",0.8768
"cty17081","Jefferson County, IL",0.8768
"cty27133","Rock County, MN",0.8768
"cty01129","Washington County, AL",0.8767
"cty34031","Passaic County, NJ",0.8767
"cty42009","Bedford County, PA",0.8767
"cty23025","Somerset County, ME",0.8767
"cty31083","Harlan County, NE",0.8767
"cty40017","Canadian County, OK",0.8766
"cty39057","Greene County, OH",0.8766
"cty46111","Sanborn County, SD",0.8766
"cty54001","Barbour County, WV",0.8765
"cty37037","Chatham County, NC",0.8765
"cty21199","Pulaski County, KY",0.8765
"cty31045","Dawes County, NE",0.8764
"cty55075","Marinette County, WI",0.8764
"cty27167","Wilkin County, MN",0.8764
"cty29047","Clay County, MO",0.8763
"cty27039","Dodge County, MN",0.8763
"cty31079","Hall County, NE",0.8763
"cty42097","Northumberland County, PA",0.8763
"cty32510","Carson City, NV",0.8761
"cty26045","Eaton County, MI",0.8761
"cty12085","Martin County, FL",0.8761
"cty19193","Woodbury County, IA",0.876
"cty46093","Meade County, SD",0.876
"cty26043","Dickinson County, MI",0.876
"cty16017","Bonner County, ID",0.8759
"cty48397","Rockwall County, TX",0.8758
"cty20107","Linn County, KS",0.8758
"cty27047","Freeborn County, MN",0.8758
"cty29177","Ray County, MO",0.8758
"cty16051","Jefferson County, ID",0.8757
"cty56039","Teton County, WY",0.8757
"cty54099","Wayne County, WV",0.8757
"cty53049","Pacific County, WA",0.8756
"cty18013","Brown County, IN",0.8756
"cty05025","Cleveland County, AR",0.8756
"cty27131","Rice County, MN",0.8755
"cty30025","Fallon County, MT",0.8755
"cty21227","Warren County, KY",0.8755
"cty38013","Burke County, ND",0.8755
"cty48027","Bell County, TX",0.8753
"cty39157","Tuscarawas County, OH",0.8753
"cty13073","Columbia County, GA",0.8753
"cty31051","Dixon County, NE",0.8753
"cty26097","Mackinac County, MI",0.8752
"cty21017","Bourbon County, KY",0.8752
"cty47175","Van Buren County, TN",0.8752
"cty51069","Frederick County, VA",0.8752
"cty49053","Washington County, UT",0.8751
"cty21005","Anderson County, KY",0.8751
"cty19053","Decatur County, IA",0.875
"cty36025","Delaware County, NY",0.875
"cty19071","Fremont County, IA",0.8749
"cty36009","Cattaraugus County, NY",0.8748
"cty39155","Trumbull County, OH",0.8748
"cty47023","Chester County, TN",0.8748
"cty51680","Lynchburg city, VA",0.8748
"cty30063","Missoula County, MT",0.8747
"cty31037","Colfax County, NE",0.8747
"cty36023","Cortland County, NY",0.8747
"cty05049","Fulton County, AR",0.8746
"cty48023","Baylor County, TX",0.8746
"cty47165","Sumner County, TN",0.8746
"cty18037","Dubois County, IN",0.8745
"cty49039","Sanpete County, UT",0.8745
"cty47033","Crockett County, TN",0.8745
"cty08067","La Plata County, CO",0.8744
"cty18051","Gibson County, IN",0.8744
"cty55095","Polk County, WI",0.8743
"cty51640","Galax city, VA",0.8743
"cty54075","Pocahontas County, WV",0.8742
"cty29073","Gasconade County, MO",0.8742
"cty27075","Lake County, MN",0.8742
"cty54097","Upshur County, WV",0.8741
"cty17193","White County, IL",0.8741
"cty36097","Schuyler County, NY",0.8741
"cty53061","Snohomish County, WA",0.8739
"cty39087","Lawrence County, OH",0.8739
"cty30017","Custer County, MT",0.8739
"cty21225","Union County, KY",0.8739
"cty40065","Jackson County, OK",0.8738
"cty29019","Boone County, MO",0.8738
"cty19159","Ringgold County, IA",0.8738
"cty29179","Reynolds County, MO",0.8738
"cty18005","Bartholomew County, IN",0.8738
"cty27171","Wright County, MN",0.8738
"cty37103","Jones County, NC",0.8737
"cty26017","Bay County, MI",0.8737
"cty05015","Carroll County, AR",0.8737
"cty39093","Lorain County, OH",0.8736
"cty33017","Strafford County, NH",0.8736
"cty36017","Chenango County, NY",0.8736
"cty01091","Marengo County, AL",0.8736
"cty21171","Monroe County, KY",0.8736
"cty25007","Dukes County, MA",0.8736
"cty16015","Boise County, ID",0.8735
"cty50005","Caledonia County, VT",0.8735
"cty29209","Stone County, MO",0.8735
"cty18065","Henry County, IN",0.8735
"cty53029","Island County, WA",0.8734
"cty27011","Big Stone County, MN",0.8734
"cty31133","Pawnee County, NE",0.8734
"cty54003","Berkeley County, WV",0.8734
"cty17187","Warren County, IL",0.8734
"cty12059","Holmes County, FL",0.8734
"cty31165","Sioux County, NE",0.8733
"cty42123","Warren County, PA",0.8733
"cty21151","Madison County, KY",0.8733
"cty21033","Caldwell County, KY",0.8732
"cty48339","Montgomery County, TX",0.8731
"cty47025","Claiborne County, TN",0.8731
"cty48091","Comal County, TX",0.8731
"cty08025","Crowley County, CO",0.8731
"cty17055","Franklin County, IL",0.873
"cty21073","Franklin County, KY",0.8729
"cty20183","Smith County, KS",0.8729
"cty17045","Edgar County, IL",0.8729
"cty20061","Geary County, KS",0.8729
"cty05011","Bradley County, AR",0.8728
"cty42103","Pike County, PA",0.8728
"cty29121","Macon County, MO",0.8727
"cty47017","Carroll County, TN",0.8727
"cty31053","Dodge County, NE",0.8727
"cty40055","Greer County, OK",0.8727
"cty53071","Walla Walla County, WA",0.8726
"cty39019","Carroll County, OH",0.8724
"cty36049","Lewis County, NY",0.8724
"cty41025","Harney County, OR",0.8724
"cty37099","Jackson County, NC",0.8723
"cty50021","Rutland County, VT",0.8723
"cty39077","Huron County, OH",0.8723
"cty17121","Marion County, IL",0.8723
"cty42001","Adams County, PA",0.8722
"cty53035","Kitsap County, WA",0.8721
"cty51125","Nelson County, VA",0.8721
"cty49027","Millard County, UT",0.8721
"cty05077","Lee County, AR",0.8721
"cty16075","Payette County, ID",0.8721
"cty51033","Caroline County, VA",0.872
"cty21193","Perry County, KY",0.872
"cty38073","Ransom County, ND",0.872
"cty21149","McLean County, KY",0.872
"cty46127","Union County, SD",0.872
"cty17201","Winnebago County, IL",0.8719
"cty51075","Goochland County, VA",0.8719
"cty48015","Austin County, TX",0.8719
"cty05055","Greene County, AR",0.8719
"cty17017","Cass County, IL",0.8719
"cty18145","Shelby County, IN",0.8715
"cty42099","Perry County, PA",0.8715
"cty12001","Alachua County, FL",0.8714
"cty20203","Wichita County, KS",0.8714
"cty30111","Yellowstone County, MT",0.8713
"cty13057","Cherokee County, GA",0.8713
"cty18017","Cass County, IN",0.8713
"cty55111","Sauk County, WI",0.8712
"cty47021","Cheatham County, TN",0.8712
"cty32013","Humboldt County, NV",0.871
"cty54045","Logan County, WV",0.8709
"cty36039","Greene County, NY",0.8708
"cty37011","Avery County, NC",0.8708
"cty29205","Shelby County, MO",0.8708
"cty24011","Caroline County, MD",0.8707
"cty08043","Fremont County, CO",0.8707
"cty18031","Decatur County, IN",0.8707
"cty12073","Leon County, FL",0.8706
"cty56015","Goshen County, WY",0.8706
"cty39003","Allen County, OH",0.8706
"cty19173","Taylor County, IA",0.8705
"cty36031","Essex County, NY",0.8705
"cty47149","Rutherford County, TN",0.8704
"cty37129","New Hanover County, NC",0.8703
"cty18003","Allen County, IN",0.8703
"cty51159","Richmond County, VA",0.8703
"cty05027","Columbia County, AR",0.8703
"cty20159","Rice County, KS",0.8702
"cty39059","Guernsey County, OH",0.8702
"cty47089","Jefferson County, TN",0.8702
"cty37089","Henderson County, NC",0.8702
"cty19147","Palo Alto County, IA",0.8702
"cty19007","Appanoose County, IA",0.8702
"cty30091","Sheridan County, MT",0.8701
"cty21179","Nelson County, KY",0.8701
"cty31105","Kimball County, NE",0.8701
"cty36089","St. Lawrence County, NY",0.87
"cty55101","Racine County, WI",0.87
"cty26067","Ionia County, MI",0.87
"cty54017","Doddridge County, WV",0.87
"cty08103","Rio Blanco County, CO",0.87
"cty29127","Marion County, MO",0.87
"cty56033","Sheridan County, WY",0.87
"cty48211","Hemphill County, TX",0.87
"cty18091","LaPorte County, IN",0.8699
"cty41009","Columbia County, OR",0.8698
"cty54101","Webster County, WV",0.8698
"cty18019","Clark County, IN",0.8698
"cty51065","Fluvanna County, VA",0.8698
"cty06043","Mariposa County, CA",0.8696
"cty54083","Randolph County, WV",0.8695
