"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty24031","Montgomery County, MD",0.9245
"cty17027","Clinton County, IL",0.9243
"cty09013","Tolland County, CT",0.9243
"cty17067","Hancock County, IL",0.9242
"cty20051","Ellis County, KS",0.9242
"cty36103","Suffolk County, NY",0.924
"cty51097","King and Queen County, VA",0.9238
"cty18057","Hamilton County, IN",0.9238
"cty20161","Riley County, KS",0.9236
"cty20029","Cloud County, KS",0.9236
"cty55007","Bayfield County, WI",0.9235
"cty18159","Tipton County, IN",0.9235
"cty36085","Richmond County, NY",0.9233
"cty19121","Madison County, IA",0.923
"cty15009","Maui County, HI",0.923
"cty17063","Grundy County, IL",0.923
"cty17169","Schuyler County, IL",0.9229
"cty36029","Erie County, NY",0.9228
"cty18063","Hendricks County, IN",0.9227
"cty19119","Lyon County, IA",0.9227
"cty42045","Delaware County, PA",0.9226
"cty06017","El Dorado County, CA",0.9226
"cty31149","Rock County, NE",0.9226
"cty38077","Richland County, ND",0.9225
"cty31095","Jefferson County, NE",0.9224
"cty36001","Albany County, NY",0.9223
"cty17009","Brown County, IL",0.9223
"cty35028","Los Alamos County, NM",0.9223
"cty20085","Jackson County, KS",0.9222
"cty38049","McHenry County, ND",0.9221
"cty55093","Pierce County, WI",0.9221
"cty09001","Fairfield County, CT",0.922
"cty20013","Brown County, KS",0.9219
"cty36119","Westchester County, NY",0.9217
"cty34037","Sussex County, NJ",0.9217
"cty19037","Chickasaw County, IA",0.9216
"cty27071","Koochiching County, MN",0.9216
"cty51735","Poquoson city, VA",0.9216
"cty38015","Burleigh County, ND",0.9214
"cty24025","Harford County, MD",0.9214
"cty16041","Franklin County, ID",0.9214
"cty51199","York County, VA",0.9214
"cty27015","Brown County, MN",0.9212
"cty42003","Allegheny County, PA",0.9211
"cty20157","Republic County, KS",0.9211
"cty17005","Bond County, IL",0.9208
"cty38047","Logan County, ND",0.9207
"cty40025","Cimarron County, OK",0.9206
"cty21091","Hancock County, KY",0.9206
"cty26161","Washtenaw County, MI",0.9205
"cty09007","Middlesex County, CT",0.9205
"cty25019","Nantucket County, MA",0.9205
"cty54109","Wyoming County, WV",0.9205
"cty51179","Stafford County, VA",0.9204
"cty19083","Hardin County, IA",0.9203
"cty54067","Nicholas County, WV",0.9203
"cty21185","Oldham County, KY",0.9203
"cty51095","James City County, VA",0.9203
"cty20103","Leavenworth County, KS",0.9202
"cty13113","Fayette County, GA",0.9202
"cty56011","Crook County, WY",0.92
"cty19039","Clarke County, IA",0.92
"cty51157","Rappahannock County, VA",0.9198
"cty51185","Tazewell County, VA",0.9192
"cty20065","Graham County, KS",0.9189
"cty27163","Washington County, MN",0.9188
"cty46083","Lincoln County, SD",0.9188
"cty55063","La Crosse County, WI",0.9187
"cty27055","Houston County, MN",0.9187
"cty39041","Delaware County, OH",0.9186
"cty19125","Marion County, IA",0.9185
"cty51061","Fauquier County, VA",0.9185
"cty20131","Nemaha County, KS",0.9185
"cty44003","Kent County, RI",0.9184
"cty55097","Portage County, WI",0.9184
"cty19149","Plymouth County, IA",0.9184
"cty31153","Sarpy County, NE",0.9181
"cty38093","Stutsman County, ND",0.9179
"cty27103","Nicollet County, MN",0.9178
"cty55121","Trempealeau County, WI",0.9177
"cty19061","Dubuque County, IA",0.9176
"cty55133","Waukesha County, WI",0.9175
"cty36093","Schenectady County, NY",0.9175
"cty36087","Rockland County, NY",0.9174
"cty54069","Ohio County, WV",0.9174
"cty55109","St. Croix County, WI",0.917
"cty19191","Winneshiek County, IA",0.917
"cty27173","Yellow Medicine County, MN",0.9169
"cty51021","Bland County, VA",0.9169
"cty44005","Newport County, RI",0.9169
"cty17015","Carroll County, IL",0.9169
"cty38035","Grand Forks County, ND",0.9168
"cty31057","Dundy County, NE",0.9168
"cty18129","Posey County, IN",0.9167
"cty20181","Sherman County, KS",0.9167
"cty30083","Richland County, MT",0.9167
"cty17033","Crawford County, IL",0.9166
"cty20091","Johnson County, KS",0.9164
"cty19029","Cass County, IA",0.9163
"cty55099","Price County, WI",0.9163
"cty19187","Webster County, IA",0.9162
"cty46013","Brown County, SD",0.916
"cty19087","Henry County, IA",0.916
"cty51107","Loudoun County, VA",0.9159
"cty42079","Luzerne County, PA",0.9158
"cty19043","Clayton County, IA",0.9158
"cty49029","Morgan County, UT",0.9157
"cty19023","Butler County, IA",0.9157
